	0	1	2	3	4	5	6	7	8	9
Pyrophosphate	('Tetramannose phosphate', 69)	('Dolichyl D-glucosyl phosphate', 69)	('Dolichyl phosphate D-mannose', 69)	('Dolichyl D-mannosyl phosphate', 69)	"(""Cytidine 5'-monophosphate"", 69)"	('Pentamannose phosphate', 69)	('GlcNAc-pyrophosphoryldecaprenol', 69)	"(""Sucrose 6'-phosphate"", 67)"	('Sucrose 6F-phosphate', 67)	('Tetraacylated phosphatidyl-myo-inositol dimannoside', 66)
L-Cysteine	('UDP-L-arabinose', 86)	('Lc4', 60)	('2R-galactosylacteoside; lamalboside', 60)	"(""Cytidine 5'-monophosphate"", 60)"	('1F-b-fructofuranosyl nystose', 57)	('Glucopsychosine', 56)	('Lactosamines', 55)	('LST c', 54)	('Decaffeoyl acteoside', 54)	('UDP-N-acetyl-D-glucosamine', 54)
Phosphate	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 90)	"(""Adenosine 5'-phosphate"", 90)"	('Trehalose 6-phosphate', 90)	('Tetramannose phosphate', 90)	('Dolichyl D-glucosyl phosphate', 90)	"(""Maltose 6'-phosphate"", 90)"	('Uridine diphosphate glucose', 90)	('Uridene diphosphate galactose', 90)	"(""Lactose 6'-phosphate"", 90)"	('Dolichyl phosphate D-mannose', 90)
Folic acid	('Pharbitic acid D', 86)	('Pharbitic acid B', 86)	('Hyaluronic acid', 86)	('UDP-D-glucuronic acid', 86)	('UDP-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('Pharbitic acid C', 86)	('CMP-N-acetylneuraminic acid', 86)	('Polysialic acid (PSA)', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)
dUMP	('ADP', 57)	('GDP', 57)	('CMP', 57)	('UDP', 57)	('NodRm-IV', 49)	('NodRm-III(Ac); NodRm-IV(Ac)', 49)	('Lacto-N-fucopentaose V', 45)	('Lacto-N-difucohexaitol I', 45)	('Lacto-N-difucohexaose I', 45)	('UDP-D-xylose', 45)
3-Oxooctanoyl-[acyl-carrier protein]	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GalpNAc-1-3-Galp', 86)	('Core 3-sialyl-Tn', 86)	"(""3'-Galactosyllactose"", 86)"	('Gymnepregoside C(3)', 86)	"(""3',8'-LD1"", 86)"	('3-Fucosyllactosamine', 86)
Palmitoyl-CoA	('LM', 90)	('Maltitol', 68)	('LAM', 60)	('ADP', 57)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 56)	('halityloside A 6-O-sulfate', 56)	('Galactosylceramide sulfate', 56)	('halityloside', 56)	('Digalactosylceramide', 56)	('Digalactosylceramide sulfate', 56)
Superoxide anion	('Subproside I', 71)	('Subproside II', 69)	('Squarroside A', 62)	('Hesperidin', 62)	('Symphytoxide A', 60)	('i-antigen', 60)	('I-antigen', 60)	('UDP', 60)	('Alangionoside', 59)	('Alangionoside', 59)
Succinyl-CoA	('Lc4', 60)	('Aescin', 60)	('escin-Ia', 60)	('Escin-IIIa', 55)	('urinary factor S', 54)	('LST c', 54)	('Rutin', 54)	('LST a', 54)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 52)	('Aclacinomycin A', 52)
But-2-enoyl-[acyl-carrier protein]	('Sialyldi-Y-2', 86)	('Glycolipid 2', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('NodRm-IV(Ac,C16:2,S)', 86)	('delta DiH-2,N,6triS', 86)	('delta-DiH-(2,6,N)triS', 86)	('VIM-2 antigen', 86)	('DWA-2', 86)	('delta Di-2,4diS', 86)
(R)-3-Hydroxybutanoyl-[acyl-carrier protein]	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('r-Lactotetraose-HSA', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GalpNAc-1-3-Galp', 86)	"(""VI3VI'3(NeuAc)2-iso-nLc8-Cer"", 86)"	('Core 3-sialyl-Tn', 86)	"(""3'-Galactosyllactose"", 86)"	('Gymnepregoside C(3)', 86)
(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('r-Lactotetraose-HSA', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GalpNAc-1-3-Galp', 86)	"(""VI3VI'3(NeuAc)2-iso-nLc8-Cer"", 86)"	('Core 3-sialyl-Tn', 86)	"(""3'-Galactosyllactose"", 86)"	('Gymnepregoside C(3)', 86)
Orotic acid	('UDP-D-glucuronic acid', 86)	('UDP-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('Polysialic acid (PSA)', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('NCAM polysialic acid', 86)	('UDP-D-galacturonic acid', 86)	('Pectic acid', 73)	('Hyaluronic acid', 69)
Cytidine triphosphate	"(""Cytidine 5'-monophosphate"", 78)"	"(""Uridine 5'-diphosphate"", 74)"	('Uridine diphosphate glucose', 67)	('Guanosine diphosphate', 67)	"(""Adenosine 5'-phosphate"", 65)"	"(""Lactose 6'-phosphate"", 63)"	"(""Guanosine 5'-diphosphate"", 62)"	('Dolichyl phosphate', 62)	('Dolichol phosphate', 62)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 60)"
5-Phosphoribosylamine	('LAM', 90)	('MS 5', 86)	('Triploside 5', 86)	('Zwitterionic glycosphingolipid 5', 86)	('Glycolipid 5', 86)	('GL-5', 86)	('solanine', 68)	('Hyosophorin', 66)	('Hyosophorin', 66)	('LA1', 60)
 1-Pyrroline-5-Carboxylate	('SSEA-1', 86)	('1,4-alpha-Glucan', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('MS 5', 86)	('1-Kestose', 86)	('Diurnoside 1', 86)	('1,4-beta-D-Xylan', 86)	('GalpNAc-1-3-Galp', 86)	('Iso-1-kestose', 86)	('1,6-alpha-Glucan', 86)
Acetoacetyl-[acyl-carrier protein]	('Acetan', 75)	('Acetyl-maltose', 58)	('LST c', 54)	('Rutin', 54)	('LST a', 54)	('Mannoprotein', 52)	('Mannoprotein', 52)	('N-Acetyllactosamine', 52)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 51)	('Saponin', 51)
Ferricytochrome C	('C-mycoside', 86)	('LST c', 86)	('Senegose C', 86)	('Andirobicin C gentiobioside', 86)	('Viridotriose C', 52)	('Sucrose', 51)	('Stachyose', 50)	('3-Ketosucrose', 50)	('sophorose', 50)	('Ristotriose', 50)
Geranyl diphosphate	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 86)	('Uridene diphosphate galactose', 86)	('Guanosine diphosphate', 75)	"(""Guanosine 5'-diphosphate"", 70)"	('Uridine diphosphate glucose', 69)	"(""Uridine 5'-diphosphate"", 69)"	('Tetramannose phosphate', 68)	('Dolichyl D-mannosyl phosphate', 67)	('N-Acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol', 67)	('Trehalose 6-phosphate', 65)
Hexadecanoyl-[acyl-carrier protein]	('Mannoprotein', 64)	('Mannoprotein', 64)	('Acetan', 60)	('Aescin', 60)	('LST c', 54)	('Rutin', 54)	('deca-VIM-2', 54)	('LST a', 54)	('Decaisoide A', 52)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 52)
L-Aspartic acid	('CMP-N-acetylneuraminic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('UDP-D-galacturonic acid', 86)	('Pharbitic acid D', 71)	('Pharbitic acid B', 71)	('Pharbitic acid C', 71)	('Pectic acid', 69)	('Polygalacturonic acid', 61)	('LA1', 60)	('ADP', 60)
4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	('1,4-alpha-D-Glucan', 86)	('1,4-alpha-Glucan', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('Chondroitin 4-sulfate', 86)	('1,4-beta-D-Xylan', 86)	('(1,4-beta-D-Xylan)n', 86)	('(1,4-beta-D-Xylan)n+1', 86)	('Chondroitin 4-sulfate', 86)	('4-O-Methylglucuronoxylan', 86)
Citrulline	('Bruceolline', 67)	('Gracillin', 63)	('Chitin', 62)	('Chitin', 62)	('Mitrin', 62)	('Inulin', 62)	('Mitrin', 62)	('Inulin', 62)	('Chitin', 62)	('Rutinose', 56)
dCMP	('CMP', 86)	('Sda antigen - related compound', 68)	('Campneoside II', 68)	('Sda antigen - related compound', 68)	('CMP-N-acetylneuraminate', 64)	('CMP-N-acetylneuraminic acid', 64)	('ADP', 57)	('GDP', 57)	('UDP', 57)	('GD1c', 50)
Farnesyl pyrophosphate	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 61)	('Trehalose 6-phosphate', 60)	('SLX', 60)	('Guanosine diphosphate', 60)	('Dolichyl phosphate', 60)	"(""Adenosine 5'-phosphate"", 59)"	('Tetramannose phosphate', 59)	('Dolichyl D-mannosyl phosphate', 59)	"(""Uridine 5'-diphosphate"", 59)"	('Pentamannose phosphate', 59)
Malonyl-[Acyl-Carrier Protein]	('Malt-Cer', 64)	('MlO3-Cer', 64)	('Mac-Cer', 61)	('Ml2-Cer', 61)	('Mannoprotein', 57)	('Mannoprotein', 57)	('Maltitol', 56)	('LST c', 54)	('Rutin', 54)	('LST a', 54)
Glyceraldehyde 3-Phosphate	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GL-3', 86)	('GalpNAc-1-3-Galp', 86)	('Core 3-sialyl-Tn', 86)	"(""3',8'-LD1"", 86)"	('3-FL', 86)
D-Glucose	('UDP-D-glucose', 95)	('ADP-glucose', 90)	('UDP-glucose', 90)	('GDP-glucose', 90)	('3-O-beta-D-Glucopyranosyl-D-glucose', 90)	('Scillasaponin D', 86)	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	('1,4-alpha-D-Glucan', 86)	('UDP-N-acetyl-D-mannosamine', 86)	('3-Deoxy-D-manno-octulosonyl-lipid IV(A)', 86)
N-Carbamoyl-L-aspartate	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 86)	('GM2-de-N-Ac', 86)	('Lacto-N-hexaose', 86)	('UDP-L-arabinose', 86)	('GDP-L-fucose', 86)	('GM3-de-N-Ac', 86)	('Monofucosylated iso-lacto-N-octaose', 86)	('beta-D-Glucosyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol', 86)	('Tenuifoliose N', 86)	('beta-1,4-Poly-N-acetyl-D-glucosamine', 86)
Adenosine triphosphate	"(""Adenosine 5'-phosphate"", 86)"	('Guanosine diphosphate', 84)	"(""Guanosine 5'-diphosphate"", 78)"	('Adenosine diphosphoglucose', 75)	('Tetramannose phosphate', 68)	"(""Uridine 5'-diphosphate"", 68)"	('Pentamannose phosphate', 68)	"(""Maltose 6'-phosphate"", 67)"	"(""Lactose 6'-phosphate"", 67)"	('Trehalose 6-phosphate', 65)
Inosinic acid	('UDP-D-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('Polysialic acid (PSA)', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('NCAM polysialic acid', 86)	('UDP-D-galacturonic acid', 86)	('Alginic acid', 72)	('Alginic acid', 72)	('Alginic acid', 72)
dGDP	('DG', 90)	('GDP', 86)	('DGD-II', 68)	('GDP-L-fucose', 68)	('Ac-DGD-I', 68)	('9-O-Acetylated GD3', 68)	('GDP-mannose', 68)	('DGD-I', 67)	('GDP-D-mannose', 64)	('ADP', 57)
Dihydrofolic acid	('Pectic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('Hyaluronic acid', 69)	('FGol', 68)	('Cytidylic acid', 65)	('Lc4', 60)	('Pharbitic acid D', 58)	('UDP-D-glucuronic acid', 58)	('LDFH-I', 57)
D-3-Hydroxyhexanoyl-[acyl-carrier protein]	('Scillasaponin D', 86)	('Aldoligose D', 86)	('UDP-D-xylose', 86)	('1,4-alpha-D-Glucan', 86)	('UDP-N-acetyl-D-mannosamine', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('Floribundasaponin D', 86)	('Pharbitic acid D', 86)	('Ophiopogonin-D', 86)	('1,4-beta-D-Xylan', 86)
L-Arginine	('UDP-L-arabinose', 86)	('RG-II', 72)	('RG-II', 72)	('RG-II', 72)	('RG-II', 72)	('RG-II', 72)	('RG-II', 72)	('RG-II', 72)	('RG-I', 68)	('RG-I', 68)
Mevalonic acid	('UDP-D-glucuronic acid', 86)	('Polygalacturonic acid', 86)	('CMP-N-acetylneuraminic acid', 86)	('homopolymer of alpha 2,8-N-acetyl neuraminic acid', 86)	('UDP-D-galacturonic acid', 86)	('Alginic acid', 77)	('Alginic acid', 77)	('Alginic acid', 77)	('Alginic acid', 77)	('Alginic acid', 77)
Phosphoribosyl pyrophosphate	('Hyosophorin', 66)	('Hyosophorin', 66)	('Dolichyl phosphate', 65)	('Dolichol phosphate', 61)	('sophorose', 60)	"(""Sucrose 6'-phosphate"", 58)"	('Sucrose 6F-phosphate', 58)	('Dolichyl D-glucosyl phosphate', 56)	('Dolichyl D-mannosyl phosphate', 56)	"(""SGL-I'"", 54)"
Hydrogen peroxide	('Nephritogenoside', 61)	('Dregeoside', 59)	('Dregeoside', 59)	('Nephritogenic glycopeptide', 56)	('Glycogen', 56)	('Eruboside B', 55)	('dongnoside A', 55)	('Dongnoside B', 55)	('Hunterioside', 55)	('Junceoside', 54)
5'-Phosphoribosyl-N-formylglycinamide	('Lacto-N-fucopentaose V', 86)	('Lacto-N-difucohexaitol I', 86)	('Lacto-N-difucohexaose I', 86)	('GM2-de-N-Ac', 86)	"(""Adenosine 5'-phosphate"", 86)"	('delta DiH-2,N,6triS', 86)	('delta-DiH-(2,6,N)triS', 86)	('(1,4-beta-D-Xylan)n', 86)	('(1,4-beta-D-Xylan)n+1', 86)	('Lacto-N-neohexaose', 86)
dUDP	('UDP', 86)	('UDP-xylose', 68)	('UDP-L-arabinose', 68)	('UDP-galactose', 68)	('UDP-N-acetylgalactosamine', 68)	('UDP-D-xylose', 64)	('UDP-N-acetyl-D-mannosamine', 64)	('UDP-alpha-D-galactofuranose', 64)	('UDP-N-acetyl-D-glucosamine', 64)	('UDP-N-acetylglucosamine', 64)
7-Dehydrodesmosterol	('MS 7', 86)	('7-O-Ac-GD3', 86)	('MS 7', 86)	('SM4s', 68)	('SM3', 60)	('Dehydrosoyasaponin I', 55)	('Neokestose', 54)	('Cehrioside', 54)	('Amylose', 51)	('Dihydroacarbose', 51)
Coenzyme A	('Viridotetraose A', 86)	('III3-a-Fuc-nLc4Cer', 86)	('sialyl Lewis a antigen, dimeric', 86)	('IV3(Gala1-3Galb1-3Gal)a-Gg4-Cer', 86)	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	('Kdo2-lipid IV(A)', 86)	('A-ristotetraoside', 86)	('Clinopodiside A', 86)	('3-Deoxy-D-manno-octulosonyl-lipid IV(A)', 86)	('halityloside A 6-O-sulfate', 86)
Fructose 1,6-bisphosphate	('SSEA-1', 86)	"(""6'-Sialyllactose"", 86)"	"(""6'-SL"", 86)"	('1,4-alpha-Glucan', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('1-Kestose', 86)	('Diurnoside 1', 86)	('1,4-beta-D-Xylan', 86)	('alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)
Flavin Adenine Dinucleotide Oxidized	"(""2'-FL"", 64)"	('Incanumine', 63)	('Junceoside', 63)	('LNneoT', 60)	('Leucoside', 60)	('Acteoside', 60)	('LA', 60)	('Sulfatide', 60)	('i-antigen', 60)	('Inulin', 60)
Dodecanoyl-[acyl-carrier protein]	('Mannoprotein', 64)	('Mannoprotein', 64)	('dodeca-VIM-2', 60)	('LST c', 54)	('Rutin', 54)	('deca-VIM-2', 54)	('LST a', 54)	('Decaisoide A', 52)	('Decaisoide C', 52)	('Rhamnosyl-N-acetyl-glucosaminyl-decaprenyl diphosphate', 51)
3-Oxodecanoyl-[acyl-carrier protein]	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GalpNAc-1-3-Galp', 86)	('Core 3-sialyl-Tn', 86)	"(""3'-Galactosyllactose"", 86)"	('Gymnepregoside C(3)', 86)	"(""3',8'-LD1"", 86)"	('3-Fucosyllactosamine', 86)
3-Keto-4-methylzymosterol	('Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)', 86)	('SSEA-4', 86)	('1,4-alpha-Glucan', 86)	('3-Deoxy-D-manno-octulosonyl-lipid IV(A)', 86)	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('1,4-beta-D-Xylan', 86)	('3-Ketosucrose', 86)	('alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('Balanitin 3', 86)
Ammonia	('Monosialyl-Gb5', 64)	('Simonin A', 62)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)	(nan, 60)
Oxidized glutathione	('LNT', 60)	('Glucan', 60)	('Glucan', 60)	('UDP-galactose', 56)	('Galactinol', 54)	('EGL-I', 54)	('Mycothione', 54)	('PGL3a', 54)	('Palatinose', 54)	('Rutin', 54)
3-Oxododecanoyl-[acyl-carrier protein]	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GalpNAc-1-3-Galp', 86)	('Core 3-sialyl-Tn', 86)	"(""3'-Galactosyllactose"", 86)"	('Gymnepregoside C(3)', 86)	"(""3',8'-LD1"", 86)"	('3-Fucosyllactosamine', 86)
5-Aminoimidazole ribonucleotide	('MS 5', 86)	('Triploside 5', 86)	('Glycolipid 5', 86)	('GL-5', 86)	('Junceoside', 63)	('LNneoT', 60)	('Aginoside', 60)	('Leucoside', 60)	('MFiLNO', 60)	('Acteoside', 60)
dCDP	('ADP', 57)	('GDP', 57)	('CMP', 57)	('UDP', 57)	('GD1c', 50)	('CD77', 50)	('CD65', 50)	('CD17', 50)	('CD75', 50)	('Decaisoide A', 45)
Carbon dioxide	('Brownioside', 64)	('Digoxin', 64)	('Robinioside', 64)	('cabenoside B', 62)	('Frondoside B', 62)	('Marcogenin diglycoside', 61)	('Mabioside', 61)	('Decaisoide A', 59)	('Chacotrioside', 59)	('Calotroposide', 59)
4'-Hydroxymethyl-5'-Cholesta-8,24-Dien-3'-Ol	('SSEA-4', 86)	('1,4-alpha-D-Glucan', 86)	('1,4-alpha-Glucan', 86)	"(""Adenosine 5'-phosphate"", 86)"	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('Chondroitin 4-sulfate', 86)	('1,4-beta-D-Xylan', 86)	('(1,4-beta-D-Xylan)n', 86)	('(1,4-beta-D-Xylan)n+1', 86)
Fructose 6-phosphate	"(""6'-SL"", 86)"	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('1,6-alpha-D-Mannosyloligosaccharide', 86)	('6-Kestose', 86)	"(""6'-LM1"", 86)"	('alpha2-6 sialylated lactosamines', 86)	"(""6-Fucosyl-N,N'-diacetylchitobiose"", 86)"	('6-(alpha-D-glucosaminyl)-1D-myo-inositol', 86)
3-Hydroxy-3-methylglutaryl-CoA	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('3-Ketosucrose', 86)	('Balanitin 3', 86)	('Glycolipid 3', 86)	('GL-3', 86)	('GalpNAc-1-3-Galp', 86)	('Core 3-sialyl-Tn', 86)	"(""3'-Galactosyllactose"", 86)"	('Gymnepregoside C(3)', 86)	"(""3',8'-LD1"", 86)"
4'-Formyl-5'-Cholesta-8,24-Dien-3'-Ol	('SSEA-4', 86)	('1,4-alpha-D-Glucan', 86)	('1,4-alpha-Glucan', 86)	"(""Adenosine 5'-phosphate"", 86)"	"(""3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate"", 86)"	('alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA', 86)	('Chondroitin 4-sulfate', 86)	('1,4-beta-D-Xylan', 86)	('(1,4-beta-D-Xylan)n', 86)	('(1,4-beta-D-Xylan)n+1', 86)
