	0	1	2	3	4	5	6	7	8	9
But-2-enoyl-[acyl-carrier protein]	('But-2-enoyl-[acyl-carrier protein]', 100)	('Acyl-[acyl-carrier protein]', 95)	('Oct-2-enoyl-[acyl-carrier protein]', 94)	('trans-2-Enoyl-[acyl-carrier protein]', 91)	('Protein', 90)	('Acyl-carrier protein', 90)	('[Acyl-carrier protein]', 90)	('2-Octenoyl-[acyl-carrier protein]', 89)	('trans-Oct-2-enoyl-[acyl-carrier protein]', 88)	('trans-Hex-2-enoyl-[acyl-carrier protein]', 88)
(R)-3-Hydroxybutanoyl-[acyl-carrier protein]	('(R)-3-Hydroxybutanoyl-[acyl-carrier protein]', 100)	('(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]', 99)	('(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]', 95)	('(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]', 94)	('(R)-3-Hydroxydecanoyl-[acyl-carrier protein]', 93)	('(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]', 93)	('(R)-3-Hydroxystearoyl-[acyl-carrier protein]', 93)	('(R)-3-Hydroxyacyl-[acyl-carrier protein]', 92)	('(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]', 92)	('(3R)-3-Hydroxyacyl-[acyl-carrier protein]', 91)
(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	('(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]', 100)	('(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]', 99)	('(R)-3-Hydroxydecanoyl-[acyl-carrier protein]', 95)	('(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]', 95)	('(R)-3-Hydroxybutanoyl-[acyl-carrier protein]', 95)	('(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]', 95)	('(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]', 94)	('(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]', 94)	('(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]', 93)	('(R)-3-Hydroxystearoyl-[acyl-carrier protein]', 93)
Orotic acid	('Orotic acid', 100)	('OT', 90)	('Acid', 90)	('L-Dihydroorotic acid', 90)	('Dihydro-L-orotic acid', 90)	('Cerotic acid', 87)	('Trimethylcolchicinic acid methyl ether', 86)	('2-n-Propyl-4-oxopentanoic acid', 86)	('4-Oxovalproic acid', 86)	('Aromatic amino acid', 86)
Cytidine triphosphate	('Cytidine triphosphate', 100)	"(""Cytidine 5'-triphosphate"", 95)"	('Cytidine diphosphate', 93)	('Triphosphate', 90)	('Phosphate', 90)	('Cytidine', 90)	('Deoxycytidine triphosphate', 89)	('Uridine triphosphate', 88)	"(""1,2-Didodecanoyl-sn-glycero-3-cytidine-5'-diphosphate"", 86)"	('Formamidopyrimidine nucleoside triphosphate', 86)
5-Phosphoribosylamine	('5-Phosphoribosylamine', 100)	('5-Phospho-D-ribosylamine', 93)	('5-Phosphoribosyl-1-amine', 93)	('Amine', 90)	('2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-methylbenzamide', 86)	('trans-5-O-(4-Coumaroyl)-D-quinate', 86)	('9-Hydroxy-3,5,7,11,13,15,17-octaoxo-nonadecanoyl-[acp]', 86)	('2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline', 86)	('Cyanidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)', 86)	('1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(8-(2E,4Z-decadienoyloxy)-5,6-octadienoyl)-sn-glycerol', 86)
 1-Pyrroline-5-Carboxylate	('1-Pyrroline-5-carboxylate', 100)	('1-Pyrroline-2-carboxylate', 96)	('1-Pyrroline 2-carboxylate', 96)	('L-1-Pyrroline-5-carboxylate', 96)	('(S)-1-Pyrroline-5-carboxylate', 95)	('L-1-Pyrroline-3-hydroxy-5-carboxylate', 95)	('3-Hydroxy-L-1-pyrroline-5-carboxylate', 95)	('Delta1-Pyrroline-5-carboxylate', 91)	('1-Pyrroline-4-hydroxy-2-carboxylate', 91)	('Carboxylate', 90)
Acetoacetyl-[acyl-carrier protein]	('Acetoacetyl-[acyl-carrier protein]', 100)	('Acyl-[acyl-carrier protein]', 95)	('Acetyl-[acyl-carrier protein]', 92)	('Protein', 90)	('Acyl-carrier protein', 90)	('[Acyl-carrier protein]', 90)	('Octadecenoyl-[acyl-carrier protein]', 87)	('Octanoyl-[acyl-carrier protein]', 86)	('[Lysine-biosynthesis-protein LysW]-C-terminal-L-glutamate', 86)	('L-Arginyl-protein', 86)
Ferricytochrome C	('Ferricytochrome c', 100)	('Ferricytochrome cL', 97)	('Ferricytochrome c2', 97)	('Ferricytochrome c3', 97)	('Ferricytochrome c-553', 95)	('Ferricytochrome', 95)	('Ferricytochrome b', 94)	('Ferrocytochrome c', 94)	('Ferricytochrome b5', 91)	('Ferrocytochrome c3', 91)
Geranyl diphosphate	('Geranyl diphosphate', 100)	('Geranyl phosphate', 94)	('Dihydrogeranylgeranyl diphosphate', 90)	('all-trans-Geranylgeranyl diphosphate', 90)	('Diphosphate', 90)	('trans,trans,cis-Geranylgeranyl diphosphate', 90)	('2-cis,6-trans,10-trans-Geranylgeranyl diphosphate', 90)	('Phosphate', 90)	('(E)-2-Methylgeranyl diphosphate', 90)	('Tetrahydrogeranylgeranyl diphosphate', 90)
Hexadecanoyl-[acyl-carrier protein]	('Hexadecanoyl-[acyl-carrier protein]', 100)	('Hexadecenoyl-[acyl-carrier protein]', 97)	('Acyl-[acyl-carrier protein]', 95)	('Hexanoyl-[acyl-carrier protein]', 94)	('Decanoyl-[acyl-carrier protein]', 94)	('3-Oxohexadecanoyl-[acyl-carrier protein]', 93)	('Tetradecanoyl-[acyl-carrier protein]', 93)	('Dodecanoyl-[acyl-carrier protein]', 91)	('Octadecanoyl-[acyl-carrier protein]', 91)	('Protein', 90)
L-Aspartic acid	('L-Aspartic acid', 100)	('Aspartic acid', 95)	('D-Aspartic acid', 93)	('erythro-3-Hydroxy-L-aspartic acid', 90)	('N-Acetyl-L-aspartic acid', 90)	('N-Amidino-L-aspartic acid', 90)	('Acid', 90)	('As', 90)	('L-Asp', 90)	('L-N-Hydroxypolyhomomethionine', 86)
4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	('4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol', 100)	('4,4-Dimethyl-5alpha-cholesta-8,24-dien-3beta-ol', 94)	('4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol', 91)	('4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol', 87)	('2-n-Propyl-4-oxopentanoic acid', 86)	('4-Oxovalproic acid', 86)	('4-Keto-VPA', 86)	('2,4-Diketo-3-deoxy-L-fuconate', 86)	('2,4-Diketo-3-deoxy-L-rhamnonate', 86)	('2,4-Didehydro-3-deoxy-L-rhamnonate', 86)
Citrulline	('Citrulline', 100)	('L-Citrulline', 95)	('N-Acetyl-L-citrulline', 90)	('Protein L-citrulline', 90)	('L-Citrulline ester', 90)	('N-Acyl-L-citrulline', 90)	('L-Homocitrulline', 90)	('N-Succinyl-L-citrulline', 90)	('Inuline', 71)	('Citicoline', 70)
dCMP	('dCMP', 100)	('P', 90)	('C', 90)	('5-Substituted dCMP', 90)	('CMP', 86)	('2,5-DCP', 77)	('DMPT', 75)	('DMSP', 75)	('DCPA', 75)	('dAMP', 75)
Farnesyl pyrophosphate	('Farnesyl pyrophosphate', 100)	('Pyrophosphate', 90)	('Phosphate', 90)	('Farnesyl phosphate', 90)	('Solanesyl pyrophosphate', 89)	('Neryl pyrophosphate', 88)	('Farnesyl triphosphate', 88)	('3,4-Dihydroxy-2-methy-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide', 86)	('4-Hydroxy-2-methyl-3-oxo-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide', 86)	('S-Farnesyl protein C-terminal CAAX', 86)
Malonyl-[Acyl-Carrier Protein]	('Malonyl-[acyl-carrier protein]', 100)	('Malonamoyl-[acyl-carrier protein]', 95)	('Malonyl-[acyl-carrier protein] methyl ester', 95)	('Acyl-[acyl-carrier protein]', 95)	('Acyl-carrier protein', 95)	('[Acyl-carrier protein]', 95)	('Pimeloyl-[acyl-carrier protein]', 92)	('Lipoyl-[acyl carrier protein]', 91)	('Oleoyl-[acyl-carrier protein]', 91)	('Pimelyl-[acyl-carrier protein]', 90)
Glyceraldehyde 3-Phosphate	('Glyceraldehyde 3-phosphate', 100)	('Glyceraldehyde 3-phosphate', 100)	('D-Glyceraldehyde 3-phosphate', 96)	('Glyceraldehyde', 90)	('Phosphate', 90)	('Aldehyde', 90)	('Glycolaldehyde phosphate', 88)	('3-Ethynyl-5alpha-androstane-3beta,17beta-diol', 86)	('6alpha,9-Difluoro-11beta-hydroxypregn-4-ene-3,20-dione', 86)	('Cyanidin 3-O-(2-O-beta-D-glucuronosyl)-beta-D-glucoside', 86)
D-Glucose	('D-Glucose', 100)	('UDP-D-glucose', 95)	('CDP-D-Glucose', 95)	('GDP-D-glucose', 95)	('Glucose', 95)	('NDP-D-glucose', 95)	('2-Amino-2,6-dideoxy-D-glucose', 90)	('dTDP-4-oxo-2,6-dideoxy-D-glucose', 90)	('dTDP-4-oxo-2,6-dideoxy-alpha-D-glucose', 90)	('dTDP-4-dehydro-2,6-dideoxy-alpha-D-glucose', 90)
N-Carbamoyl-L-aspartate	('N-Carbamoyl-L-aspartate', 100)	('Carbam', 90)	('Aspartate', 90)	('L-Aspartate', 90)	('L-Asp', 90)	('2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-methylbenzamide', 86)	('[SoxY protein]-S-sulfanyl-L-cysteine', 86)	('n-Propanol', 86)	('1,2-Diacyl-sn-glycerol 3-phospho-L-serine', 86)	('Glycoprotein N-acetyl-D-glucosaminyl-phospho-D-mannose', 86)
Adenosine triphosphate	"(""Adenosine 5'-triphosphate"", 95)"	('Adenosine tetraphosphate', 91)	('Inosine triphosphate', 90)	('Triphosphate', 90)	('Adenosine', 90)	('Deoxyadenosine triphosphate', 90)	('Phosphate', 90)	"(""Adenosine 5'-diphosphate"", 87)"	('Formamidopyrimidine nucleoside triphosphate', 86)	"(""5'-Guanosyl-methylene-triphosphate"", 86)"
Inosinic acid	('Inosinic acid', 100)	"(""5'-Inosinic acid"", 95)"	('Acid', 90)	('Si', 90)	('NO', 90)	('Trimethylcolchicinic acid methyl ether', 86)	('2-n-Propyl-4-oxopentanoic acid', 86)	('Aromatic L-amino acid', 86)	('Oleic acid methyl ester', 86)	('D-2-Aminovaleric acid', 86)
dGDP	('dGDP', 100)	('P', 90)	('8-Oxo-dGDP', 90)	('GDP', 86)	('dTDP', 75)	('dUDP', 75)	('dCDP', 75)	('CDDP', 75)	('EDDP', 75)	('dXDP', 75)
Dihydrofolic acid	('Dihydrofolic acid', 100)	('7,8-Dihydrofolic acid', 95)	('Acid', 90)	('Folic acid', 90)	('Trimethylcolchicinic acid methyl ether', 86)	('2-n-Propyl-4-oxopentanoic acid', 86)	('(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid ethyl ester', 86)	"(""(9Z,11E,1'E,3'Z)-12-(1',3'-Hexadienyloxy)-9,11-dodecadienoic acid"", 86)"	('(4-Amino-1-hydroxybutylidene)bisphosphonic acid', 86)	('Acid Red 26', 86)
D-3-Hydroxyhexanoyl-[acyl-carrier protein]	('D-3-Hydroxyhexanoyl-[acyl-carrier protein]', 100)	('(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]', 96)	('D-3-Hydroxydodecanoyl-[acyl-carrier protein]', 93)	('(R)-3-Hydroxydecanoyl-[acyl-carrier protein]', 92)	('(R)-3-Hydroxyhexadecanoyl-[acyl-carrier protein]', 92)	('(3R)-3-Hydroxyhexadecanoyl-[acyl-carrier protein]', 91)	('(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]', 90)	('Protein', 90)	('Acyl-carrier protein', 90)	('[Acyl-carrier protein]', 90)
L-Arginine	('L-Arginine', 100)	('Arginine', 95)	('L-Tyrosyl-L-arginine', 90)	('8-L-Arginine vasopressin', 90)	('N(omega)-Nitro-L-arginine', 90)	('N(G)-Nitro-L-arginine', 90)	('Protein Nomega-(1-hydroxy-2-oxopropyl)-L-arginine', 90)	('[Protein]-Nomega-(1-hydroxy-2-oxopropyl)-L-arginine', 90)	('L-Arginine ester', 90)	('[Dinitrogen reductase]-L-arginine', 90)
Mevalonic acid	('Mevalonic acid', 100)	('(S)-Mevalonic acid', 95)	('Malonic acid', 92)	('(R)-Mevalonic acid 5-phosphate', 90)	('Acid', 90)	('Al', 90)	('Mevaldic acid', 89)	('Trimethylcolchicinic acid methyl ether', 86)	('2-n-Propyl-4-oxopentanoic acid', 86)	('Aromatic L-amino acid', 86)
Phosphoribosyl pyrophosphate	('5-Phosphoribosyl 1-pyrophosphate', 95)	('Pyrophosphate', 90)	('Phosphate', 90)	"(""1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxylate"", 86)"	"(""1-(5'-Phosphoribosyl)-5-amino-4-carboxyimidazole"", 86)"	"(""5'-Phosphoribosyl-5-amino-4-imidazolecarboxylate"", 86)"	"(""1-(5'-Phosphoribosyl)-4-carboxy-5-aminoimidazole"", 86)"	"(""5'-Phosphoribosyl-4-carboxy-5-aminoimidazole"", 86)"	"(""1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide"", 86)"	"(""5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide"", 86)"
Hydrogen peroxide	('Hydrogen peroxide', 100)	('Hydrogen oxide', 90)	('Hydrogen', 90)	('Hydroperoxide', 87)	('Butoctamide hydrogen succinate', 86)	"(""Methyl (9-cis)-hydrogen-6,6'-diapo-psi,psi-carotenedioate"", 86)"	('21-Hydroxypregn-4-ene-3,20-dione hydrogen succinate', 86)	('11-Deoxycorticosterone hydrogen succinate', 86)	('Dimethyl hydrogen phosphite', 86)	('Hydrogen iodide', 81)
5'-Phosphoribosyl-N-formylglycinamide	"(""5'-Phosphoribosyl-N-formylglycinamide"", 100)"	"(""5'-Phosphoribosyl-N-formylglycinamidine"", 97)"	"(""5'-Phosphoribosylformylglycinamidine"", 93)"	"(""1-(5'-Phosphoribosyl)-N-formylglycinamidine"", 92)"	('Amide', 90)	('2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-methylbenzamide', 86)	('n-Propanol', 86)	('n-Propyl alcohol', 86)	('Di-n-hexyl phthalate', 86)	('N-Acetylhexosamine', 86)
dUDP	('dUDP', 100)	('P', 90)	('UDP', 86)	('dTDP', 75)	('dCDP', 75)	('CDDP', 75)	('EDDP', 75)	('dXDP', 75)	('EDDP', 75)	('dUMP', 75)
7-Dehydrodesmosterol	('7-Dehydrodesmosterol', 100)	('DES', 90)	('DES', 90)	('Desmosterol', 90)	('Sterol', 90)	('9-Hydroxy-3,5,7,11,13,15,17-octaoxo-nonadecanoyl-[acp]', 86)	('2-(4-Ethoxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one', 86)	('1,2,3,4-Tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal', 86)	('ent-Apigeniflavan-(2alpha->7,4alpha->8)-epiafzelechin', 86)	('1,2,3,4,6,7,8-Heptachlorodibenzofuran', 86)
Coenzyme A	('Coenzyme A', 100)	('Coenzyme M', 90)	('Coenzyme Q', 90)	('Acetoacetyl coenzyme A', 90)	('Fluoroacetyl-coenzyme A', 90)	('Lauroyl coenzyme A', 90)	('Dephosphocoenzyme A', 90)	('Stearyl coenzyme A', 90)	('3-Hydroxyisobutyryl coenzyme A', 90)	('Coenzyme R', 90)
Fructose 1,6-bisphosphate	('D-Fructose 1,6-bisphosphate', 96)	('beta-D-Fructose 1,6-bisphosphate', 95)	('D-Fructose 2,6-bisphosphate', 92)	('beta-D-Fructose 2,6-bisphosphate', 91)	('Fructose', 90)	('Phosphate', 90)	('Fructose', 90)	('6-Acetylmorphine', 86)	('D-Fructose', 86)	('Propane-1-ol', 86)
Flavin Adenine Dinucleotide Oxidized	('Flavin adenine dinucleotide', 95)	('Nucleotide', 90)	('Adenine', 90)	('Dinucleotide', 90)	('Flavin', 90)	('Oxidized flavoprotein', 86)	('Oxidized amicyanin', 86)	('DNA adenine', 86)	('Adenine in DNA', 86)	('Reduced flavin', 86)
Dodecanoyl-[acyl-carrier protein]	('Dodecanoyl-[acyl-carrier protein]', 100)	('Decanoyl-[acyl-carrier protein]', 97)	('Acyl-[acyl-carrier protein]', 95)	('Octanoyl-[acyl-carrier protein]', 94)	('Octadecanoyl-[acyl-carrier protein]', 94)	('3-Oxododecanoyl-[acyl-carrier protein]', 93)	('3-Oxodecanoyl-[acyl-carrier protein]', 93)	('Octadecenoyl-[acyl-carrier protein]', 91)	('Hexadecanoyl-[acyl-carrier protein]', 91)	('Hexanoyl-[acyl-carrier protein]', 90)
3-Oxodecanoyl-[acyl-carrier protein]	('3-Oxodecanoyl-[acyl-carrier protein]', 100)	('3-Oxododecanoyl-[acyl-carrier protein]', 97)	('3-Oxohexadecanoyl-[acyl-carrier protein]', 95)	('Acyl-[acyl-carrier protein]', 95)	('3-Oxooctanoyl-[acyl-carrier protein]', 94)	('3-Oxohexanoyl-[acyl-carrier protein]', 94)	('Dodecanoyl-[acyl-carrier protein]', 93)	('3-Oxotetradecanoyl-[acyl-carrier protein]', 93)	('Decanoyl-[acyl-carrier protein]', 92)	('3-Oxoacyl-[acyl-carrier protein]', 91)
3-Keto-4-methylzymosterol	('3-Keto-4-methylzymosterol', 100)	('Zymosterol', 90)	('Sterol', 90)	('4-Keto-VPA', 86)	('2-Bromo-5-hydroxy-N-[2-(4-hydroxyphenyl)ethyl]-4-methoxy-N-methylbenzamide', 86)	('3-Ethynyl-5alpha-androstane-3beta,17beta-diol', 86)	('6alpha,9-Difluoro-11beta-hydroxypregn-4-ene-3,20-dione', 86)	('Cyanidin 3-O-(2-O-beta-D-glucuronosyl)-beta-D-glucoside', 86)	"(""Medioresinol 4'-O-beta-D-glucopyranoside"", 86)"	('1,2-Diacyl-sn-glycerol 3-phospho-L-serine', 86)
Ammonia	('Ammonia', 100)	('Adenylyl-[L-glutamate:ammonia ligase (ADP-forming)]', 90)	('[L-Glutamate:ammonia ligase (ADP-forming)] inactive form', 90)	('A', 90)	('[L-Glutamate:ammonia ligase (ADP-forming)]', 90)	('[L-Glutamate:ammonia ligase (ADP-forming)]-L-tyrosine', 90)	('I-', 90)	('Ammonia ion', 90)	('(E)-4-(Trimethylammonio)but-2-enoyl-CoA', 77)	('Monoammonium glycyrrhizinate', 77)
