Name	Identifiers
(2E)-Tetradecenoyl-[acp]	['C05760', '10735']
L-Asparagine	['50347', '17196', '58048', 'C00152']
Adenylsuccinic acid	[]
L-Carnitine	['C00318', '50384', '16347']
Glucose 6-phosphate	['C00092']
Glyceric acid 1,3-biphosphate	['89363', 'DPG']
5-Phosphoribosylamine	['C03090', '37737']
Isopentenyl pyrophosphate	['C00129', '16584', '128769']
3-Oxohexadecanoyl-[acyl-carrier protein]	['1639', 'C05762']
Cytidine monophosphate	[]
4'-Carboxy-5'-Cholesta-8,24-Dien-3'-Ol	[]
Fructose 1,6-bisphosphate	['C00354', 'FRUCTOSE-16-DIPHOSPHATE', '16905', '24105']
5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	['C04751', '28413']
L-Alanine	['16977', '46217', 'C00041', '57972']
Sedoheptulose 1,7-bisphosphate	['17969', '58335', 'C00447']
D-Sedoheptulose 7-phosphate	['15721', 'C00281', '57483', 'D-SEDOHEPTULOSE-7-P', 'C05382']
Malonyl-[Acyl-Carrier Protein]	['17330', '58107', 'C01209']
Coenzyme A	['C00010', '15346', '57287']
Adenosine diphosphate	['22252', 'G11113', '73342', '456216', '22251', '16761', 'C00008']
Urea	['UREA', 'C00086', '16199']
Ornithine	['18257', '44667', 'C01602']
D-Ribulose 5-phosphate	['RIBULOSE-5P', '58121', '17363', 'C00199']
Uridine 5'-diphosphate	['17659', 'C00015', '58223', 'G10619', 'UDP']
3-Oxohexanoyl-[acyl-carrier protein]	['1642', 'C05746']
Putrescine	['17148', '326268', 'PUTRESCINE', 'C00134']
Malonyl-CoA	['C00083', '15531', '57384', 'MALONYL-COA']
N-Carbamoyl-L-aspartate	['15859', '32814', 'CARBAMYUL-L-ASPARTATE', 'C00438']
Pyruvic acid	['32816', 'C00022', 'PYRUVATE', '15361']
Uridine 5'-monophosphate	['C00105', '16695', '46470']
Hexadecanoyl-[acyl-carrier protein]	['C05764', '5697']
5alpha-Cholesta-7,24-dien-3beta-ol	['16290', 'C05439']
(S)-Dihydroorotate	['17025', 'DI-H-OROTATE', '30864', 'C00337']
HMA	['C04688', '76400']
L-Glutamate 5-semialdehyde	['17232', '58066', 'C01165']
4'-Hydroxymethyl-5'-Cholesta-8,24-Dien-3'-Ol	[]
4alpha-Methylzymosterol	['4-METHYL-824-CHOLESTADIENOL', 'C05103', '1949']
6-Phosphogluconic acid	[]
L-Glutamic acid	['29985', '16015', 'C00025', 'GLT', '29988', '29972']
Tetrahydrofolic acid	['67016', '26907', 'C00101', '20506', '15635']
Hydrogen peroxide	['C00027', '16240']
Oxalacetic acid	['C00036', '30744', '16452', 'OXALACETIC_ACID']
Carbamoyl phosphate	['C00169', '17672', '58228']
biomasss	[]
But-2-enoyl-[acyl-carrier protein]	['17017', 'C04246']
Dimethylallylpyrophosphate	[]
Octanoyl-[acyl-carrier protein]	['7725', 'C05752']
Acetoacetyl-[acyl-carrier protein]	['2393', 'C05744']
Phosphoribosyl formamidocarboxamide	[]
CDP	['C00112', '3611', '17239', '58069']
Desmosterol	['C01802', 'DESMOSTEROL-CPD', '17737']
Isocitric acid	['151', '24885', 'C00311', '30887', 'C00451']
Flavin Adenine Dinucleotide Oxidized	[]
(R)-5-Diphosphomevalonate	['C01143', '15899', '57557']
Geranyl diphosphate	['C00341', '58057', '17211']
QH2	['17976', '13422', 'C00390']
Citrulline	['18211', 'C00327', '16349']
(2E)-Decenoyl-[acp]	['C05754', '10724']
Citric acid	['133748', '16947', 'CIT', '30769', 'C00158', '50744']
Oxoglutaric acid	['C00026', '30915']
SAICAR	['P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE', 'C04823', '18319']
Inosinic acid	['17202', 'C00130']
(2E)-Dodecenoyl-[acp]	['10725', 'C05758']
Squalene	['15440', 'C00751']
(2E)-Octenoyl-[acp]	['C05751']
Fumaric acid	['29806', '24123', '18012', 'C00122']
Xanthosine monophosphate	['15652', 'C00655']
Deoxyadenosine monophosphate	['DAMP', '17713', 'C00360']
(R)-5-Phosphomevalonate	['58146', '17436', 'C01107']
3-phospho-D-glycerate	['C00197', 'G3P', '17794']
4,4-Dimethyl-14Alpha-Hydroxymethyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	[]
Succinyl-CoA	['57292', 'C00091', '15380']
5,10-Methylene-THF	['1989', 'C00143']
Ferrocytochrome C	['16928', 'C00126']
Presqualene diphosphate	['C03428', '57310', '15442']
3-Keto-4-methylzymosterol	['50593', 'C15816']
Ubiquinone-1	['46234']
4,4-Dimethyl-14Alpha-Formyl-5Alpha-Cholesta-8,24-Dien-3Beta-Ol	[]
L-Proline	['60039', 'C00148', '58054', '17203', '50342']
GMP	['C00144', 'GMP', '17345', '58115']
2'-Deoxyguanosine 5'-monophosphate	['C00362', '16192']
L-Arginine	['C00062', '16467', 'ARG', '32682', '29952']
Phosphoenolpyruvic acid	['44897', 'C00074', '18021', '58702']
3-Hydroxy-3-methylglutaryl-CoA	['C00356', '11814', '3-HYDROXY-3-METHYL-GLUTARYL-COA', '15467', '43074']
Phosphoserine	['37712', 'C01005', '45522', '15811']
Butyryl-[acyl-carrier protein]	['3247', 'C05745']
L-Lactic acid	['422', 'L-LACTATE', 'C00186', '16651']
L-Palmitoylcarnitine	['CPD-419', 'C02990', '17490']
5'-Phosphoribosyl-N-formylglycinamide	['18272', 'C04376']
D-3-Hydroxydodecanoyl-[acyl-carrier protein]	['C05757', '325']
Ferricytochrome C	['C00125', '15991']
Acetyl-[acyl-carrier protein]	['17093', 'C03939']
6-Phosphonoglucono-D-lactone	[]
3-Oxododecanoyl-[acyl-carrier protein]	['1637', 'C05756']
Phosphoribosyl pyrophosphate	['17111', 'C00119', 'PRPP']
Mevalonic acid	['25351', '25350', 'C00418', '17710']
L-Cysteine	['C00097', '29950', '17561', '35235']
NAD	['15846', '13389', 'C00003']
dGDP	['28862', 'DGDP', '58595', 'C00361']
Oxidized glutathione	['17858', 'C00127']
dCDP	['28846', '58593', '11098', 'DCDP', 'C00705']
Phosphoribosylformylglycineamidine	[]
dUMP	['C00365', 'DUMP', '246422', '17622']
D-3-Hydroxyhexanoyl-[acyl-carrier protein]	['326', 'C05747']
(R)-3-Hydroxybutanoyl-[acyl-carrier protein]	['C04618']
Xylulose 5-phosphate	['27354']
dCMP	['15918', '57566', 'C00239', '11099']
Acetyl-CoA	['15351', '57288', 'C00024']
 Acyl Carrier Protein	[]
4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	['C15808', '50591']
Dihydrofolic acid	['C00415', '23743', '67014', '15633']
Phosphohydroxypyruvic acid	['18110', '3-P-HYDROXYPYRUVATE', 'C03232', '30933']
(2E)-Hexenoyl-[acp]	['10727', 'C05748']
L-Glutamine	['32666', 'GLN', 'C00064', '18050', '30011', '58359']
Pyrophosphate	['18361', '29888', 'C00013']
