	0	1	2	3	4	5	6	7	8	9
Succinic acid	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('juvenile hormone I acid', 86)	('juvenile hormone III acid', 86)	('juvenile hormone II acid', 86)	('dihydromonacolin L acid', 86)	('3&alpha;-hydroxy-3,5-dihydromonacolin L acid', 86)	('O-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester', 86)	('8-demethylnovobiocic acid', 86)	('ulvanobiouronic acid 3-sulfate A', 86)	('ulvanobiouronic acid 3-sulfate B', 86)
Pyrophosphate	('p-(bromoacetamido)phenyl uridyl pyrophosphate', 90)	('bromohydrin of isopentenyl pyrophosphate', 90)	('a pyrophosphate group', 90)	('polyprenylpyrophosphate', 90)	"(""2'-methoxythiamine pyrophosphate"", 90)"	('bacimethrin pyrophosphate', 90)	('4-amino-2-trifluoromethyl 5-hydroxymethylpyrimidine pyrophosphate', 90)	('(S)-farnesyl thiopyrophosphate', 90)	('phosphate', 82)	('propylphosphonate', 80)
L-Cysteine	('L-cysteine', 100)	('L-cystine', 95)	('&gamma;-L-glutamyl-L-cysteine', 90)	('S-geranylgeranyl-L-cysteine', 90)	('S-prenyl-L-cysteine', 90)	('a [prolipoprotein]-S-1,2-diacyl-sn-glyceryl-L-cysteine', 90)	('4-hydroxy-2-nonenal-N-acetyl-L-cysteine', 90)	('D-cysteine', 90)	('S-hydroxy-L-cysteine', 90)	('S-methyl-L-cysteine', 90)
Phosphate	('phosphate', 100)	('1-deoxy-2,3-hexodiulose-6-phosphate', 90)	('&omega;-saturated C55 dolichol phosphate', 90)	"(""5-fluorouridine 5'-monophosphate"", 90)"	('allyl diphosphate', 90)	('N-acetyl-&beta;-neuraminate 9-phosphate', 90)	('&alpha;-D-ribose-1-[N-(phosphonomethyl)glycine] 5-phosphate', 90)	('&alpha;-D-ribose-1-[N-(phosphonomethyl)glycine] 5-triphosphate', 90)	('&alpha;-D-ribose-1-(2-N-acetamidomethylphosphonate) 5-phosphate', 90)	('&alpha;-D-ribose 1-(acetamidomethylphosphonate) 5-triphosphate', 90)
Folic acid	('pseudolaric acid C', 86)	('pseudolaric acid A', 86)	('pseudolaric acid B', 86)	('tenuazonic acid', 86)	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('juvenile hormone I acid', 86)	('guadinomic acid', 86)	('juvenile hormone III acid', 86)	('juvenile hormone II acid', 86)	('huvastatin acid', 86)
dUMP	('dUMP', 100)	"(""5-iodo-2'-dUMP"", 90)"	('F-dUMP', 90)	('UMP', 86)	('dCMP', 75)	('dUTP', 75)	('dTMP', 75)	('dUDP', 75)	('dIMP', 75)	('dGMP', 75)
3-Oxooctanoyl-[acyl-carrier protein]	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine', 86)	('(2R)-3-{[1-(5,6-dihydropyridin-2-yl)-2-hydroxy-2-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}ethyl]sulfanyl}-2-acetamidopropanoate', 86)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)	('N-[(3R)-8-[(2E)-but-2-enoyl]-6-(5,6-dihydropyridin-2-yl)-2-oxo-4,8-dihydro-3H-1,5-oxathiocin-3-yl]acetamide', 86)
Palmitoyl-CoA	('palmitoyl-CoA', 100)	('palmitoleoyl-CoA', 90)	('(R)-2-hydroxy-palmitoyl-CoA', 90)	('16-hydroxypalmitoyl-CoA', 90)	('10,16-dihydroxypalmitoyl-CoA', 90)	('16-oxo-palmitoyl-CoA', 90)	('3-hydroxy-5-oxohexanoyl-CoA', 86)	('2-hydroxy-2-methylpropanoyl-CoA', 86)	('2-methyl-3-butenoyl-CoA', 86)	('1,4-diketo-2-naphthoyl-CoA', 86)
Superoxide anion	('superoxide', 90)	('excited-state coelenteramide disulfonate anion', 86)	('spheroiden-2-one', 69)	('spheroidene', 67)	('spheroiden-2-ol', 65)	('hydrogen peroxide', 64)	('bromide', 64)	('betanin', 64)	('spermidine', 63)	('esculeoside A', 62)
Succinyl-CoA	('succinyl-CoA', 100)	('benzoylsuccinyl-CoA', 90)	('(3-methylbenzyl)succinyl-CoA', 90)	('(2S)-methylsuccinyl-CoA', 90)	('(S)-benzylsuccinyl-CoA', 90)	('(R)-benzylsuccinyl-CoA', 90)	('(E)-2-benzylidenesuccinyl-CoA', 90)	('3-hydroxy-5-oxohexanoyl-CoA', 86)	('2-hydroxy-2-methylpropanoyl-CoA', 86)	('2-methyl-3-butenoyl-CoA', 86)
But-2-enoyl-[acyl-carrier protein]	('2-amino-3-[(2,5-dihydroxyphenyl)sulfanyl]propanoate', 86)	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)	('5-methyl-N-(4-nitrophenyl)-1-oxo-1&lambda;<sup>4</sup>-thiophene-2-carboxamide', 86)	('5-methyl-N-(4-nitrophenyl)-1,1-dioxo-1&lambda;<sup>6</sup>-thiophene-2-carboxamide', 86)	('(2E,5S,6E,8E,10E)-1-aminododeca-2,6,8,10-tetraen-5-ol', 86)	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)
(R)-3-Hydroxybutanoyl-[acyl-carrier protein]	('2-(R)-hydroxypropyl-CoM', 86)	"(""3',5'-di-C-glucosylphloretin"", 86)"	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('3-hydroxy-5-oxohexanoyl-CoA', 86)	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine', 86)	('(2R)-3-{[1-(5,6-dihydropyridin-2-yl)-2-hydroxy-2-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}ethyl]sulfanyl}-2-acetamidopropanoate', 86)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)
(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	('2-(R)-hydroxypropyl-CoM', 86)	"(""3',5'-di-C-glucosylphloretin"", 86)"	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('3-hydroxy-5-oxohexanoyl-CoA', 86)	('(1E,3S,4Z)-7-amino-1-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}hepta-1,4-dien-3-ol', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydropyridine', 86)	('(2R)-3-{[1-(5,6-dihydropyridin-2-yl)-2-hydroxy-2-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}ethyl]sulfanyl}-2-acetamidopropanoate', 86)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)
Orotic acid	('pseudolaric acid C', 86)	('pseudolaric acid A', 86)	('pseudolaric acid B', 86)	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('juvenile hormone I acid', 86)	('juvenile hormone III acid', 86)	('juvenile hormone II acid', 86)	('dihydromonacolin L acid', 86)	('3&alpha;-hydroxy-3,5-dihydromonacolin L acid', 86)	('O-perylenebutylmethylphosphonic-acid-p-nitrophenyl ester', 86)
Cytidine triphosphate	('cytidine', 90)	('triphosphate', 90)	('phosphate', 90)	('&alpha;-D-ribose-1-[N-(phosphonomethyl)glycine] 5-triphosphate', 86)	('&alpha;-D-ribose 1-(acetamidomethylphosphonate) 5-triphosphate', 86)	"(""(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate"", 86)"	('[1-(2-amino-7-methyl-4-oxo-7,8-dihydro-3H-pteridin-6-yl)]ethyl-(4-aminophenyl)-1-deoxy-5-[1-&alpha; -D- ribofuranosyl triphosphate]-D-ribitol', 86)	"(""3'-deoxyadenosine 5'-triphosphate"", 86)"	"(""4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol"", 86)"	"(""2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol"", 86)"
5-Phosphoribosylamine	('2-amino-3-[(2,5-dihydroxyphenyl)sulfanyl]propanoate', 86)	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)	('2-((2-(1,3-dioxan-2-yl)ethyl)thio)-5-phenyl-1,3,4-oxadiazole', 86)	('5-methyl-N-(4-nitrophenyl)-1-oxo-1&lambda;<sup>4</sup>-thiophene-2-carboxamide', 86)	('5-methyl-N-(4-nitrophenyl)-1,1-dioxo-1&lambda;<sup>6</sup>-thiophene-2-carboxamide', 86)	('5-methyl-N-(4-nitrophenyl)thiophene-2-carboxamide', 86)	('(2E,5S,6E,8E,10E)-1-aminododeca-2,6,8,10-tetraen-5-ol', 86)	('(3Z,5S,6E,8E,10E)-1-aminododeca-3,6,8,10-tetraen-5-ol', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)
 1-Pyrroline-5-Carboxylate	('1-pyrroline-2-carboxylate', 96)	('(S)-1-pyrroline-5-carboxylate', 95)	('(R)-1-pyrroline-5-carboxylate', 95)	('1-pyrroline-2-methyl-5-carboxylate', 95)	('3-methyl-pyrroline-5-carboxylate', 91)	('1-pyrroline-4-hydroxy-2-carboxylate', 91)	('3-vinyl-2,3-pyrroline-5-carboxylate', 91)	('3-propylidene-&Delta; 1-pyrroline-5-carboxylate', 90)	('(3R,5S)-3-hydroxy-1-pyrroline-5-carboxylate', 90)	('1-pyrroline', 90)
Acetoacetyl-[acyl-carrier protein]	('tetra-acyl estolide', 86)	('tri-acyl estolide', 86)	"(""3,5,3'-triiodo-L-thyronine acyl &beta;-D-glucuronide"", 86)"	('des-acyl avenacin A', 86)	('acetoacetyl-CoA', 86)	('a [protein]-N<sup>6</sup>-[1,1-(5-adenosylyl-&alpha;-D-ribose-1,2-di-O-yl)ethyl]-L-lysine', 86)	('2-(4-hydroxylaminophenyl)-L-seryl-[CmlP-peptidyl-carrier-protein]', 86)	('[acyl-carrier protein]-group', 83)	('[polyketide synthase acyl-carrier protein]-group', 73)	('acetyl AMP', 72)
Ferricytochrome C	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	"(""3',5'-di-C-glucosylphloretin"", 86)"	('1,6,8-trihydroxy-1H,3H-cyclohepta[c]furan-5-one', 86)	"(""2'-N,N-dihydroxy-nocardicin c"", 86)"	('2-C-methyl-D-erythritol-2,4-cyclodiphosphate', 86)	('prepatellamide C containing thiazoline residues', 86)	('2-C-methyl-D-erythritol 4-phosphate', 86)	('O-carbamoyl-deacetylcephalosporin C', 86)	"(""4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol"", 86)"	('dTDP-2,3,6-trideoxy-3-C-methyl-3-nitro-&beta;-L-arabino-hexopyranose', 86)
Geranyl diphosphate	('geranyl diphosphate', 100)	('(E)-2-methylgeranyl diphosphate', 90)	('2-cis,6-trans,10-trans-geranylgeranyl diphosphate', 90)	('diphosphate', 90)	('phosphate', 90)	('tetrahydrogeranylgeranyl diphosphate', 90)	('dihydrogeranylgeranyl diphosphate', 90)	('neryl diphosphate', 89)	('[5-(aminomethyl)furan-3-yl]methyl diphosphate', 86)	"(""N<sup>7</sup>-methylguanosine 5'-diphosphate"", 86)"
Hexadecanoyl-[acyl-carrier protein]	('phosphatidylethanolamine (1-myristoyl, 2-cis-9,10-methylene hexadecanoyl)', 86)	('phosphatidylethanolamine (1-palmitoyl, 2-cis-9,10-methylene hexadecanoyl)', 86)	('phosphatidylglycerol (1-palmitoyl, 2-cis-9,10-methylene hexadecanoyl)', 86)	('phosphatidylglycerol (1-myristoyl, 2-cis-9,10-methylene hexadecanoyl)', 86)	('1-hexadecanoyl-2-{12-[(7-nitro-2,1,3-benzoxadiazol-4-yl)amino]dodecanoyl}-sn-glycero-3-phosphocholine', 86)	('cardiolipin (1,3-palmitoyl, 2,4-cis-9,10-methylene hexadecanoyl)', 86)	('tetra-acyl estolide', 86)	('tri-acyl estolide', 86)	"(""3,5,3'-triiodo-L-thyronine acyl &beta;-D-glucuronide"", 86)"	('des-acyl avenacin A', 86)
L-Aspartic acid	('N6-acetyl-L-&beta;-lysine', 86)	('(L-firefly luciferyl)adenylate', 86)	('N(&alpha;)-benzyloxycarbonyl-L-leucine', 86)	('&gamma;-L-glutamyl-glycylglycine', 86)	('cyanidin 3-O-(4-coumaroyl-&alpha;-L-rhamnosyl-(1&rarr;6)-&beta;-D-glucoside', 86)	('delphinidin 3-O-(4-coumaroyl-&alpha;-L-rhamnosyl-(1&rarr;6)-&beta;-D-glucoside', 86)	('(+)-dehydrodiconiferyl acid carboxylate', 86)	('L-prolyl-trans-4-hydroxy-L-proline', 86)	('a mature peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-meso-2,6-diaminopimeloyl-glycine) tetrapeptide', 86)	('4-O-(&alpha;-L-rhamnopyranosyl)-hydroxybenzoate methyl ester', 86)
4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	('4,4-dimethyl-5-&alpha;-cholesta-8,14,24-trien-3-&beta;-ol', 94)	('4,4-dimethyl-5-&alpha;-cholesta-8,14-dien-3-&beta;-ol', 88)	('4&alpha;-methyl-5&alpha;-cholesta-8,14,24-trien-3&beta;-ol', 88)	('4,4-dimethyl-5&alpha;-cholesta-8-en-3&beta;-ol', 87)	('1,4-dideoxy-1,4-imino-D-mannitol', 86)	('6-bromo-4-cyclohexene-1,2,3-triol', 86)	('5-methyl-N-(4-nitrophenyl)-1-oxo-1&lambda;<sup>4</sup>-thiophene-2-carboxamide', 86)	('5-methyl-N-(4-nitrophenyl)-1,1-dioxo-1&lambda;<sup>6</sup>-thiophene-2-carboxamide', 86)	('(1S,2Z)-5-amino-1-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)pent-2-en-1-ol', 86)	('2-(3-{3-[(1E)-prop-1-en-1-yl]oxiran-2-yl}oxiran-2-yl)-5,6-dihydro-1H-pyridin-2-ol', 86)
Citrulline	('L-citrulline', 95)	('N-succinyl-L-citrulline', 90)	('L-homocitrulline', 90)	('N-acetyl-L-citrulline', 90)	('thiocitrulline', 83)	('O-citryl-L-serine', 67)	('&beta;-citraurin', 67)	('torulene', 67)	('chelirubine', 67)	('cirsilineol', 67)
dCMP	('dCMP', 100)	('CMP', 86)	('dUMP', 75)	('dCTP', 75)	('dCDP', 75)	('dTMP', 75)	('dIMP', 75)	('dGMP', 75)	('dAMP', 75)	('dXMP', 75)
Farnesyl pyrophosphate	('phosphate', 90)	('farnesyl triphosphate', 88)	('farnesyl-5,7-dihydroxy-4,6-dimethylphthalide', 86)	('p-(bromoacetamido)phenyl uridyl pyrophosphate', 86)	('bromohydrin of isopentenyl pyrophosphate', 86)	('2-methyl-6-farnesyl-1,4-benzoquinol', 86)	('4-amino-2-trifluoromethyl 5-hydroxymethylpyrimidine pyrophosphate', 86)	('(S)-farnesyl thiopyrophosphate', 86)	('4-hydroxy-2-methyl-3-oxo-4-farnesyl-3,4-dihydroquinoline-1-oxide', 86)	('3,4-dihydroxy-2-methyl-4-farnesyl-3H-quinolin-1-ium-1-olate', 86)
Malonyl-[Acyl-Carrier Protein]	"(""kaempferol 7-O-&beta;-D-(6''-O-malonyl)-glucoside"", 86)"	"(""delphinidin 3-O-(6''-O-malonyl)-&beta;-glucoside"", 86)"	"('cyanidin 3-O-(6""-O-malonyl)-&beta;-glucoside', 86)"	"('pelargonidin-3-O-(6""-O-malonyl-&beta;-D-glucoside)', 86)"	('cyanidin 3-O-[6-O-(4-O-&beta;-D-glucosyl-p-coumaroyl)-2-O-(&beta;-D-xylosyl)-&beta;-D-glucosyl]-5-O-(6-O-malonyl-&beta;-D-glucoside)', 86)	"(""3-hydroxyflavone-3-O-(6'-O-malonyl)glucoside"", 86)"	"('quercetin 3-O-(6""-O-malonyl)-&beta;-D-glucoside-7-O-&alpha;-L-rhamnoside', 86)"	"('quercetin 3-O-&beta;-D-(6""-O-malonyl)glucoside', 86)"	"('quercetin 7-O-&beta;-D-(6""-O-malonyl)glucoside', 86)"	('7-hydroxyflavone 7-O-(6-malonyl-&beta;-D-glucoside)', 86)
Glyceraldehyde 3-Phosphate	('D-glyceraldehyde 3-phosphate', 96)	('L-glyceraldehyde 3-phosphate', 96)	('phosphate', 90)	('glycolaldehyde phosphate', 88)	('(R)-3,4-dihydroxymandelonitrile &beta;-D-glucoside', 86)	('2-amino-3-[(2,5-dihydroxyphenyl)sulfanyl]propanoate', 86)	('(2Z,3Z)-deca-2,3-dienoyl-N-acetylcysteamine', 86)	"(""3,5-di-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane"", 86)"	('&omega;-saturated C55 dolichol phosphate', 86)	('2-[2-(1,3-dioxan-2-yl)ethanesulfinyl]-5-phenyl-1,3,4-oxadiazole', 86)
D-Glucose	('1-(2-oxindole-3-acetyl)-&beta;-D-glucose', 90)	('nigerosyl-&alpha;-(1&rarr;4)-D-glucose', 90)	('UDP-4-dehydro-6-deoxy-&alpha;-D-glucose', 90)	('1-O-(indol-3-ylacetyl)-&beta;-D-glucose', 90)	('UDP-3-dehydro-&alpha;-D-glucose', 90)	('6-deoxy-D-glucose', 90)	('D-glucosone', 90)	('2-deoxy-D-glucose 6-phosphate', 90)	('aldehydo-D-glucose 6-phosphate', 90)	('1,2-di-O-sinapoyl-&beta;-D-glucose', 90)
N-Carbamoyl-L-aspartate	('N-carbamoyl-L-aspartate', 100)	('L-aspartate', 90)	('(Z)-N-hydroxy-2-(4-hydroxyphenyl)acetimidothioate', 86)	('(2Z,3Z)-deca-2,3-dienoyl-N-acetylcysteamine', 86)	('5-methyl-N-(4-nitrophenyl)-1-oxo-1&lambda;<sup>4</sup>-thiophene-2-carboxamide', 86)	('5-methyl-N-(4-nitrophenyl)-1,1-dioxo-1&lambda;<sup>6</sup>-thiophene-2-carboxamide', 86)	('5-methyl-N-(4-nitrophenyl)thiophene-2-carboxamide', 86)	('N-[(3R)-6-(5,6-dihydropyridin-2-yl)-7-hydroxy-8-[(2E)-1-hydroxybut-2-en-1-yl]-2-oxo-1,5-oxathiocan-3-yl]acetamide', 86)	('N-[(3R)-8-[(2E)-but-2-enoyl]-6-(5,6-dihydropyridin-2-yl)-2-oxo-4,8-dihydro-3H-1,5-oxathiocin-3-yl]acetamide', 86)	('N(&alpha;)-benzyloxycarbonyl-L-leucine', 86)
Adenosine triphosphate	('adenosine thiamine triphosphate', 95)	('adenosine tetraphosphate', 91)	('adenosine', 90)	('triphosphate', 90)	('phosphate', 90)	('adenosine pentaphosphate', 87)	('&alpha;-D-ribose-1-[N-(phosphonomethyl)glycine] 5-triphosphate', 86)	('&alpha;-D-ribose 1-(acetamidomethylphosphonate) 5-triphosphate', 86)	"(""(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate"", 86)"	('[1-(2-amino-7-methyl-4-oxo-7,8-dihydro-3H-pteridin-6-yl)]ethyl-(4-aminophenyl)-1-deoxy-5-[1-&alpha; -D- ribofuranosyl triphosphate]-D-ribitol', 86)
