RxnId	Equation	Definition
R04956	C05749 + C00006 <=> C05748 + C00005 + C00080	Hexanoyl-[acp] + NADP+ <=> trans-Hex-2-enoyl-[acp] + NADPH + H+
R04959	C05752 + C00006 <=> C05751 + C00005 + C00080	Octanoyl-[acp] + NADP+ <=> trans-Oct-2-enoyl-[acp] + NADPH + H+
R04962	C05755 + C00006 <=> C05754 + C00005 + C00080	Decanoyl-[acp] + NADP+ <=> trans-Dec-2-enoyl-[acp] + NADPH + H+
R04967	C05761 + C00006 <=> C05760 + C00005 + C00080	Tetradecanoyl-[acp] + NADP+ <=> trans-Tetradec-2-enoyl-[acp] + NADPH + H+
R04970	C05764 + C00006 <=> C05763 + C00005 + C00080	Hexadecanoyl-[acp] + NADP+ <=> trans-Hexadec-2-enoyl-[acp] + NADPH + H+
R06985	C05271 + C00005 + C00080 <=> C05270 + C00006	trans-Hex-2-enoyl-CoA + NADPH + H+ <=> Hexanoyl-CoA + NADP+
R07162	C00040 + C00006 <=> C00658 + C00005 + C00080	Acyl-CoA + NADP+ <=> trans-2,3-Dehydroacyl-CoA + NADPH + H+
R01799	C00063 + C00416 <=> C00013 + C00269	CTP + Phosphatidate <=> Diphosphate + CDP-diacylglycerol
R00277	C00647 + C00001 + C00007 <=> C00018 + C00014 + C00027	Pyridoxamine phosphate + H2O + Oxygen <=> Pyridoxal phosphate + Ammonia + Hydrogen peroxide
R00278	C00627 + C00007 <=> C00027 + C00018	Pyridoxine phosphate + Oxygen <=> Hydrogen peroxide + Pyridoxal phosphate
R01710	C00534 + C00001 + C00007 <=> C00250 + C00014 + C00027	Pyridoxamine + H2O + Oxygen <=> Pyridoxal + Ammonia + Hydrogen peroxide
R01711	C00314 + C00007 <=> C00250 + C00027	Pyridoxine + Oxygen <=> Pyridoxal + Hydrogen peroxide
R02964	C00828 + C00080 + C00004 <=> C05819 + C00003	Menaquinone + H+ + NADH <=> Menaquinol + NAD+
R03643	C01628 + C00004 + C00080 <=> C05850 + C00003	Vitamin K + NADH + H+ <=> Reduced Vitamin K + NAD+
R03816	C02059 + C00004 + C00080 <=> C03313 + C00003	Phylloquinone + NADH + H+ <=> Phylloquinol + NAD+
R05970	G10610 + G00001 <=> G10619 + G00002	UDP-N-acetyl-D-glucosamine + N-Acetyl-D-glucosaminyldiphosphodolichol <=> UDP + N,N'-Chitobiosyldiphosphodolichol
R00943	C00101 + C00058 + C00002 <=> C00008 + C00009 + C00234	Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate
R01220	C00143 + C00006 <=> C00445 + C00005	5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH
R01655	C00445 + C00001 <=> C00234 + C00080	5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+
R05972	G10614 + G00002 <=> G10620 + G00003	GDP-D-mannose + N,N'-Chitobiosyldiphosphodolichol <=> GDP + G00003
R01054	C00301 + C00001 <=> C00020 + C00117	ADP-ribose + H2O <=> AMP + D-Ribose 5-phosphate
R03098	C00956 + C00002 <=> C05560 + C00013	L-2-Aminoadipate + ATP <=> L-2-Aminoadipate adenylate + Diphosphate
R04390	C05535 + C00005 + C00080 <=> C04076 + C11482 + C00006	alpha-Aminoadipoyl-S-acyl enzyme + NADPH + H+ <=> L-2-Aminoadipate 6-semialdehyde + Holo-Lys2 + NADP+
R04863	C05560 + C11482 <=> C05535 + C00020	L-2-Aminoadipate adenylate + Holo-Lys2 <=> alpha-Aminoadipoyl-S-acyl enzyme + AMP
R11679	C04076 + C00006 + C00020 + C00013 <=> C00956 + C00005 + C00080 + C00002	L-2-Aminoadipate 6-semialdehyde + NADP+ + AMP + Diphosphate <=> L-2-Aminoadipate + NADPH + H+ + ATP
R01067	C00085 + C00118 <=> C00279 + C00231	D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate
R01641	C05382 + C00118 <=> C00117 + C00231	Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Ribose 5-phosphate + D-Xylulose 5-phosphate
R01830	C05345 + C00118 <=> C00279 + C00231	beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate
R06590	C12214 + C00117 <=> C12215 + C05382	Aminofructose 6-phosphate + D-Ribose 5-phosphate <=> Iminoerythrose 4-phosphate + Sedoheptulose 7-phosphate
R02737	C00029 + C00668 <=> C00015 + C00689	UDP-glucose + alpha-D-Glucose 6-phosphate <=> UDP + alpha,alpha'-Trehalose 6-phosphate
R11783	C00498 + C00092 <=> C00008 + C00689	ADP-glucose + D-Glucose 6-phosphate <=> ADP + alpha,alpha'-Trehalose 6-phosphate
R00623	C00226 + C00003 <=> C00071 + C00004 + C00080	Primary alcohol + NAD+ <=> Aldehyde + NADH + H+
R00754	C00469 + C00003 <=> C00084 + C00004 + C00080	Ethanol + NAD+ <=> Acetaldehyde + NADH + H+
R02124	C00473 + C00003 <=> C00376 + C00004 + C00080	Retinol + NAD+ <=> Retinal + NADH + H+
R04880	C05576 + C00003 <=> C05577 + C00004 + C00080	3,4-Dihydroxyphenylethyleneglycol + NAD+ <=> 3,4-Dihydroxymandelaldehyde + NADH + H+
R05233	C06611 + C00003 <=> C06613 + C00004 + C00080	trans-3-Chloro-2-propene-1-ol + NAD+ <=> trans-3-Chloroallyl aldehyde + NADH + H+
R05234	C06612 + C00003 <=> C16348 + C00004 + C00080	cis-3-Chloro-2-propene-1-ol + NAD+ <=> cis-3-Chloroallyl aldehyde + NADH + H+
R06917	C14089 + C00003 <=> C14090 + C00004 + C00080	1-Hydroxymethylnaphthalene + NAD+ <=> 1-Naphthaldehyde + NADH + H+
R06927	C02909 + C00003 <=> C14099 + C00004 + C00080	(2-Naphthyl)methanol + NAD+ <=> 2-Naphthaldehyde + NADH + H+
R07105	C06899 + C00004 + C00080 <=> C07490 + C00003 + C00001	Chloral hydrate + NADH + H+ <=> Trichloroethanol + NAD+ + H2O
R08281	C07645 + C00004 + C00080 <=> C16551 + C00003	Aldophosphamide + NADH + H+ <=> Alcophosphamide + NAD+
R08306	C16586 + C00003 <=> C16587 + C00004 + C00080	2-Phenyl-1,3-propanediol monocarbamate + NAD+ <=> 3-Carbamoyl-2-phenylpropionaldehyde + NADH + H+
R08310	C16595 + C00003 <=> C16596 + C00004 + C00080	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one + NAD+ <=> 5-Phenyl-1,3-oxazinane-2,4-dione + NADH + H+
R01574	C00216 + C00003 <=> C00652 + C00004 + C00080	D-Arabinose + NAD+ <=> D-Arabinono-1,4-lactone + NADH + H+
R01575	C00216 + C00006 <=> C00652 + C00005 + C00080	D-Arabinose + NADP+ <=> D-Arabinono-1,4-lactone + NADPH + H+
R09375	C01304 + C00004 + C00080 <=> C18910 + C00003	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + NADH + H+ <=> 2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one + NAD+
R09376	C01304 + C00005 + C00080 <=> C18910 + C00006	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + NADPH + H+ <=> 2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one + NADP+
R02352	C00951 + C00003 <=> C00468 + C00004 + C00080	Estradiol-17beta + NAD+ <=> Estrone + NADH + H+
R02353	C00951 + C00006 <=> C00468 + C00005 + C00080	Estradiol-17beta + NADP+ <=> Estrone + NADPH + H+
R04681	C05141 + C00003 <=> C05300 + C00004 + C00080	Estriol + NAD+ <=> 16alpha-Hydroxyestrone + NADH + H+
R04682	C05141 + C00006 <=> C05300 + C00005 + C00080	Estriol + NADP+ <=> 16alpha-Hydroxyestrone + NADPH + H+
R07759	C16216 + C00005 + C00080 <=> C16217 + C00006	3-Oxostearoyl-CoA + NADPH + H+ <=> 3-Hydroxyoctadecanoyl-CoA + NADP+
R08945	C18075 + C00003 <=> C05284 + C00004 + C00080	11beta,17beta-Dihydroxy-4-androsten-3-one + NAD+ <=> 11beta-Hydroxyandrost-4-ene-3,17-dione + NADH + H+
R08980	C18075 + C00006 <=> C05284 + C00005 + C00080	11beta,17beta-Dihydroxy-4-androsten-3-one + NADP+ <=> 11beta-Hydroxyandrost-4-ene-3,17-dione + NADPH + H+
R10826	C20878 + C00006 <=> C20877 + C00005 + C00080	Very-long-chain (3R)-3-hydroxyacyl-CoA + NADP+ <=> Very-long-chain 3-oxoacyl-CoA + NADPH + H+
R01730	C00254 + C00006 <=> C01179 + C00011 + C00005 + C00080	Prephenate + NADP+ <=> 3-(4-Hydroxyphenyl)pyruvate + CO2 + NADPH + H+
R01226	C00143 + C00141 + C00001 <=> C00101 + C00966	5,10-Methylenetetrahydrofolate + 3-Methyl-2-oxobutanoic acid + H2O <=> Tetrahydrofolate + 2-Dehydropantoate
R00771	C00092 <=> C00085	D-Glucose 6-phosphate <=> D-Fructose 6-phosphate
R02739	C00668 <=> C01172	alpha-D-Glucose 6-phosphate <=> beta-D-Glucose 6-phosphate
R02740	C00668 <=> C05345	alpha-D-Glucose 6-phosphate <=> beta-D-Fructose 6-phosphate
R03321	C01172 <=> C05345	beta-D-Glucose 6-phosphate <=> beta-D-Fructose 6-phosphate
R00005	C01010 + C00001 <=> 2 C00011 + 2 C00014	Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia
R00774	C00002 + C00086 + C00288 <=> C00008 + C00009 + C01010	ATP + Urea + HCO3- <=> ADP + Orthophosphate + Urea-1-carboxylate
R02864	C00748 + 2 C00080 <=> C14818 + C05778	Siroheme + 2 H+ <=> Fe2+ + Sirohydrochlorin
R03947	C02463 + C00003 <=> C05778 + C00004 + C00080	Precorrin 2 + NAD+ <=> Sirohydrochlorin + NADH + H+
R00344	C00002 + C00022 + C00288 <=> C00008 + C00009 + C00036	ATP + Pyruvate + HCO3- <=> ADP + Orthophosphate + Oxaloacetate
R00014	C00022 + C00068 <=> C05125 + C00011	Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2
R00209	C00022 + C00010 + C00003 <=> C00024 + C00011 + C00004 + C00080	Pyruvate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+
R01699	C00022 + C15972 <=> C16255 + C00011	Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2
R03270	C05125 + C15972 <=> C16255 + C00068	2-(alpha-Hydroxyethyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + Thiamin diphosphate
R01558	C00002 + C00209 + C00010 <=> C00020 + C00013 + C00313	ATP + Oxalate + CoA <=> AMP + Diphosphate + Oxalyl-CoA
R05980	C00001 + G00171 <=> C00031 + G00010	H2O + G00171 <=> D-Glucose + G00010
R05981	C00001 + G00010 <=> C00031 + G00011	H2O + G00010 <=> D-Glucose + G00011
R05969	C00043 + C00110 <=> C00105 + G00001	UDP-N-acetyl-alpha-D-glucosamine + Dolichyl phosphate <=> UMP + N-Acetyl-D-glucosaminyldiphosphodolichol
R04558	C04916 + C00064 <=> C04666 + C04677 + C00025	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide + L-Glutamine <=> D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + L-Glutamate
R01826	C00074 + C00279 + C00001 <=> C04691 + C00009	Phosphoenolpyruvate + D-Erythrose 4-phosphate + H2O <=> 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate + Orthophosphate
R02100	C00460 + C00001 <=> C00365 + C00013	dUTP + H2O <=> dUMP + Diphosphate
R11896	C21751 + C00001 <=> C04242 + C00013	5-Fluorodeoxyuridine triphosphate + H2O <=> 5-Fluorodeoxyuridine monophosphate + Diphosphate
R00066	2 C04332 <=> C00255 + C04732	2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil
R00945	C00143 + C00037 + C00001 <=> C00101 + C00065	5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine
R09099	C00065 + C01217 <=> C04377 + C00037 + C00001	L-Serine + 5,6,7,8-Tetrahydromethanopterin <=> 5,10-Methylenetetrahydromethanopterin + Glycine + H2O
R02978	C00836 + C00006 <=> C02934 + C00005 + C00080	Sphinganine + NADP+ <=> 3-Dehydrosphinganine + NADPH + H+
R00801	C00089 + C00001 <=> C00095 + C00031	Sucrose + H2O <=> D-Fructose + D-Glucose
R01718	C00252 + C00001 <=> C00267 + C00031	Isomaltose + H2O <=> alpha-D-Glucose + D-Glucose
R01791	C00721 + C00001 <=> C00031 + C00721	Dextrin + H2O <=> D-Glucose + Dextrin
R06199	G10545(n+1) + C00001 <=> C00267 + G10545(n)	Starch(n+1) + H2O <=> alpha-D-Glucose + Starch(n)
R00220	C00065 <=> C00022 + C00014	L-Serine <=> Pyruvate + Ammonia
R00590	C00065 <=> C02218 + C00001	L-Serine <=> Dehydroalanine + H2O
R00996	C00188 <=> C00109 + C00014	L-Threonine <=> 2-Oxobutanoate + Ammonia
R05919	G10617 + G00145 <=> G10622 + G00146	Dolichyl phosphate D-mannose + G00145 <=> Dolichyl phosphate + G00146
R00126	C00008 + C00002 <=> C00009 + C01260	ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate
R00530	C00008 + C00059 <=> C00009 + C00224	ADP + Sulfate <=> Orthophosphate + Adenylyl sulfate
R01618	C00224 + C00002 <=> C00059 + C01260	Adenylyl sulfate + ATP <=> Sulfate + P1,P4-Bis(5'-adenosyl)tetraphosphate
R00137	C00002 + C00455 <=> C00013 + C00003	ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+
R03005	C00002 + C01185 <=> C00013 + C00857	ATP + Nicotinate D-ribonucleotide <=> Diphosphate + Deamino-NAD+
R00299	C00002 + C00031 <=> C00008 + C00092	ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate
R00760	C00002 + C00095 <=> C00008 + C00085	ATP + D-Fructose <=> ADP + D-Fructose 6-phosphate
R00867	C00002 + C00095 <=> C00008 + C05345	ATP + D-Fructose <=> ADP + beta-D-Fructose 6-phosphate
R01326	C00002 + C00159 <=> C00008 + C00275	ATP + D-Mannose <=> ADP + D-Mannose 6-phosphate
R01600	C00002 + C00221 <=> C00008 + C01172	ATP + beta-D-Glucose <=> ADP + beta-D-Glucose 6-phosphate
R01786	C00002 + C00267 <=> C00008 + C00668	ATP + alpha-D-Glucose <=> ADP + alpha-D-Glucose 6-phosphate
R01961	C00002 + C00329 <=> C00008 + C00352	ATP + D-Glucosamine <=> ADP + D-Glucosamine 6-phosphate
R03920	C00002 + C02336 <=> C00008 + C05345	ATP + beta-D-Fructose <=> ADP + beta-D-Fructose 6-phosphate
R01158	C00860 + 2 C00003 + C00001 <=> C00135 + 2 C00004 + 2 C00080	L-Histidinol + 2 NAD+ + H2O <=> L-Histidine + 2 NADH + 2 H+
R01163	C01929 + C00001 + C00003 <=> C00135 + C00004 + C00080	L-Histidinal + H2O + NAD+ <=> L-Histidine + NADH + H+
R03012	C00860 + C00003 <=> C01929 + C00004 + C00080	L-Histidinol + NAD+ <=> L-Histidinal + NADH + H+
R04035	C02739 + C00001 <=> C02741 + C00013	1-(5-Phospho-D-ribosyl)-ATP + H2O <=> Phosphoribosyl-AMP + Diphosphate
R04037	C02741 + C00001 <=> C04896	Phosphoribosyl-AMP + H2O <=> 5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide
R00994	C00109 + C00011 + C00004 + C00080 <=> C06032 + C00003	2-Oxobutanoate + CO2 + NADH + H+ <=> D-erythro-3-Methylmalate + NAD+
R04426	C04411 + C00003 <=> C04236 + C00004 + C00080	(2R,3S)-3-Isopropylmalate + NAD+ <=> (2S)-2-Isopropyl-3-oxosuccinate + NADH + H+
R10052	C04411 + C00003 <=> C00233 + C00011 + C00004 + C00080	(2R,3S)-3-Isopropylmalate + NAD+ <=> 4-Methyl-2-oxopentanoate + CO2 + NADH + H+
R07460	C15811 + C00097 <=> C15812 + C00041	[Enzyme]-cysteine + L-Cysteine <=> [Enzyme]-S-sulfanylcysteine + L-Alanine
R11528	C00097 + C02743 <=> C00041 + C21440	L-Cysteine + [Protein]-L-cysteine <=> L-Alanine + [Protein]-S-sulfanyl-L-cysteine
R11529	C15812 + C02743 <=> C15811 + C21440	[Enzyme]-S-sulfanylcysteine + [Protein]-L-cysteine <=> [Enzyme]-cysteine + [Protein]-S-sulfanyl-L-cysteine
R00006	C00900 + C00011 <=> 2 C00022	2-Acetolactate + CO2 <=> 2 Pyruvate
R00226	C06010 + C00011 <=> 2 C00022	(S)-2-Acetolactate + CO2 <=> 2 Pyruvate
R03050	C00900 + C00068 <=> C05125 + C00022	2-Acetolactate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + Pyruvate
R04672	C06010 + C00068 <=> C05125 + C00022	(S)-2-Acetolactate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + Pyruvate
R04673	C00109 + C05125 <=> C06006 + C00068	2-Oxobutanoate + 2-(alpha-Hydroxyethyl)thiamine diphosphate <=> (S)-2-Aceto-2-hydroxybutanoate + Thiamin diphosphate
R08648	C00022 + C00109 <=> C06006 + C00011	Pyruvate + 2-Oxobutanoate <=> (S)-2-Aceto-2-hydroxybutanoate + CO2
R01801	C00269 + C00093 <=> C00055 + C03892	CDP-diacylglycerol + sn-Glycerol 3-phosphate <=> CMP + Phosphatidylglycerophosphate
R00351	C00158 + C00010 <=> C00024 + C00001 + C00036	Citrate + CoA <=> Acetyl-CoA + H2O + Oxaloacetate
R01512	C00002 + C00197 <=> C00008 + C00236	ATP + 3-Phospho-D-glycerate <=> ADP + 3-Phospho-D-glyceroyl phosphate
R07758	C00083 + C00154 <=> C16216 + C00010 + C00011	Malonyl-CoA + Palmitoyl-CoA <=> 3-Oxostearoyl-CoA + CoA + CO2
R07762	C05764 + C01209 <=> C16219 + C00229 + C00011	Hexadecanoyl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxostearoyl-[acp] + Acyl-carrier protein + CO2
