	Name	Matches
37	Fumaric acid	['Fumaric acid']
38	2-Phospho-D-glyceric acid	['2-phospho-D-glyceric acid']
39	2-Oxoglutaramate	['2-oxoglutaramate']
40	Phosphoribosyl pyrophosphate	['phosphoribosyl pyrophosphate']
41	Malonyl-CoA	['Malonyl-CoA']
42	Citrulline	['Citrulline']
43	L-Cystine	['L-Cystine']
44	Succinyl-CoA	['Succinyl-CoA']
45	Cytidine triphosphate	['Cytidine triphosphate']
46	NADPH	['NADPH']
47	dUMP	['dUMP']
48	Succinic acid	['Succinic acid']
49	 Acyl Carrier Protein	['[Acyl-carrier protein]']
50	Water	['Water']
51	Hexadecanoyl-[acyl-carrier protein]	['Hexadecanoyl-[acyl-carrier protein]']
52	Adenosine diphosphate	['adenosine diphosphate']
53	Ferricytochrome C	['Ferricytochrome c']
54	Hydrogen peroxide	['Hydrogen peroxide']
55	Phosphoenolpyruvic acid	['Phosphoenolpyruvic acid']
56	4alpha-Methylzymosterol	['4alpha-Methylzymosterol']
57	(R)-5-Diphosphomevalonate	['(R)-5-Diphosphomevalonate']
58	Hydrogen carbonate	['hydrogen carbonate']
59	Coenzyme A	['Coenzyme A']
60	Adenosine monophosphate	['ADENOSINE MONOPHOSPHATE']
61	3-phospho-D-glycerate	['3-Phospho-D-glycerate']
62	Glyceraldehyde 3-Phosphate	['Glyceraldehyde 3-phosphate']
63	L-Asparagine	['L-Asparagine']
64	Acetyl-[acyl-carrier protein]	['Acetyl-[acyl-carrier protein]']
65	Citric acid	['Citric acid']
66	Acetoacetyl-CoA	['Acetoacetyl-CoA']
67	3-Oxodecanoyl-[acyl-carrier protein]	['3-Oxodecanoyl-[acyl-carrier protein]']
68	Formic acid	['Formic acid']
69	Phosphohydroxypyruvic acid	['phosphohydroxypyruvic acid']
70	Inosinic acid	['Inosinic acid']
71	L-Carnitine	['L-Carnitine']
72	(2E)-Decenoyl-[acp]	['(2E)-Decenoyl-[acp]']
73	Uridine triphosphate	['Uridine triphosphate']
74	L-Glutamate 5-semialdehyde	['L-Glutamate 5-semialdehyde']
75	Uridine 5'-diphosphate	"[""Uridine 5'-diphosphate""]"
76	Urea	['Urea']
77	Glycineamideribotide	['Glycineamideribotide']
78	D-3-Hydroxyhexanoyl-[acyl-carrier protein]	['D-3-Hydroxyhexanoyl-[acyl-carrier protein]']
79	Ubiquinone-1	['UBIQUINONE-1']
80	dCDP	['dCDP']
81	Octanoyl-[acyl-carrier protein]	['Octanoyl-[acyl-carrier protein]']
82	Carbon dioxide	['Carbon dioxide']
83	HMA	['HMA']
84	Guanidoacetic acid	['Guanidoacetic acid']
85	5'-Phosphoribosyl-N-formylglycinamide	"[""5'-Phosphoribosyl-N-formylglycinamide""]"
86	L-Glutamine	['L-Glutamine']
87	D-Glucose	['D-Glucose']
88	Hexanoyl-[acyl-carrier protein]	['Hexanoyl-[acyl-carrier protein]']
89	(2E)-Hexenoyl-[acp]	['(2E)-Hexenoyl-[acp]']
90	Xanthosine monophosphate	['xanthosine monophosphate']
91	L-Arginine	['L-Arginine']
92	(S)-2,3-Epoxysqualene	['(S)-2,3-Epoxysqualene']
93	Ammonia	['Ammonia']
94	3-Oxohexadecanoyl-[acyl-carrier protein]	['3-Oxohexadecanoyl-[acyl-carrier protein]']
95	NAD	['NAD']
96	D-Ribulose 5-phosphate	['D-Ribulose 5-phosphate']
97	L-Serine	['L-Serine']
98	QH2	['QH2']
99	Superoxide anion	['Superoxide anion']
100	gamma-Glutamylcysteine	['gamma-Glutamylcysteine']
101	5-Aminoimidazole ribonucleotide	['5-aminoimidazole ribonucleotide']
102	3-Keto-4-methylzymosterol	['3-Keto-4-methylzymosterol']
103	Butyryl-[acyl-carrier protein]	['Butyryl-[acyl-carrier protein]']
104	Mevalonic acid	['Mevalonic acid']
105	Sedoheptulose 1,7-bisphosphate	['Sedoheptulose 1,7-bisphosphate']
106	Presqualene diphosphate	['Presqualene diphosphate']
107	Ferrocytochrome C	['Ferrocytochrome c']
108	Squalene	['Squalene']
109	Tetrahydrofolic acid	['Tetrahydrofolic acid']
110	3-Oxododecanoyl-[acyl-carrier protein]	['3-Oxododecanoyl-[acyl-carrier protein]']
111	Phosphoserine	['PHOSPHOSERINE']
112	Malonyl-[Acyl-Carrier Protein]	['Malonyl-[acyl-carrier protein]']
113	L-Cysteine	['L-Cysteine']
114	7-Dehydrodesmosterol	['7-Dehydrodesmosterol']
115	Carbamoyl phosphate	['Carbamoyl phosphate']
116	L-Palmitoylcarnitine	['L-Palmitoylcarnitine']
117	GDP	['GDP']
118	Acetoacetyl-[acyl-carrier protein]	['Acetoacetyl-[acyl-carrier protein]']
119	3-Oxohexanoyl-[acyl-carrier protein]	['3-Oxohexanoyl-[acyl-carrier protein]']
120	3-Oxotetradecanoyl-[acyl-carrier protein]	['3-Oxotetradecanoyl-[acyl-carrier protein]']
121	3-Hydroxy-3-methylglutaryl-CoA	['3-Hydroxy-3-methylglutaryl-CoA']
122	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	['4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol']
123	CDP	['CDP']
124	Glycine	['Glycine']
125	Adenosine triphosphate	['Adenosine triphosphate']
126	Tetradecanoyl-[acyl-carrier protein]	['Tetradecanoyl-[acyl-carrier protein]']
127	Phosphate	['Phosphate']
128	(2E)-Tetradecenoyl-[acp]	['(2E)-Tetradecenoyl-[acp]']
129	14-Demethyllanosterol	['14-Demethyllanosterol']
130	Decanoyl-[acyl-carrier protein]	['Decanoyl-[acyl-carrier protein]']
131	Putrescine	['Putrescine']
132	10-Formyltetrahydrofolate	['10-Formyltetrahydrofolate']
133	Oxoglutaric acid	['Oxoglutaric acid']
134	5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	"[""5'-Phosphoribosyl-4-carboxy-5-aminoimidazole""]"
135	Orotic acid	['Orotic acid']
136	3-Oxooctanoyl-[acyl-carrier protein]	['3-Oxooctanoyl-[acyl-carrier protein]']
137	Oxalacetic acid	['Oxalacetic acid']
138	Folic acid	['Folic acid']
139	D-Ribose 5-phosphate	['D-Ribose 5-phosphate']
140	Oxidized glutathione	['Oxidized glutathione']
141	(S)-Dihydroorotate	['(S)-dihydroorotate']
142	L-Malic acid	['L-Malic acid']
143	SAICAR	['SAICAR']
144	(R)-5-Phosphomevalonate	['(R)-5-Phosphomevalonate']
145	L-Aspartic acid	['L-Aspartic acid']
146	Orotidylic acid	['Orotidylic acid']
147	Zymosterol	['Zymosterol']
148	Palmitoyl-CoA	['Palmitoyl-CoA']
149	L-Glutamic acid	['L-Glutamic acid']
150	NADH	['NADH']
151	NADP(+)	['NADP']
152	Glutathione	['Glutathione']
153	Dihydrofolic acid	['Dihydrofolic acid']
154	Oxygen	['Oxygen']
155	Pyruvic acid	['Pyruvic acid']
156	Geranyl diphosphate	['Geranyl diphosphate']
157	5-Phosphoribosylamine	['5-Phosphoribosylamine']
158	dCMP	['dCMP']
159	Pyrophosphate	['Pyrophosphate']
160	(2E)-Dodecenoyl-[acp]	['(2E)-Dodecenoyl-[acp]']
161	Lanosterol	['Lanosterol']
162	Ornithine	['Ornithine']
163	Glyceric acid 1,3-biphosphate	['Glyceric acid 1,3-biphosphate']
