MetaCycId	Uniprot	lSpecies	lCatalyzes	Names	lGenes	Locations	Component_of	Components	Go_terms	modified_form	component_coefficients	appears_in_left_side_of	isozyme_sequence_similarity
|G185E-7845-MONOMER|	P9WND9	['|TAX-83332|']	['|ENZRXN-19685|']	['Protein', '3-hydroxy-9,10-seconandrost-1,3,5(10)-triene-9,17-dione 4-hydroxylase reductase component', 'a protein', 'HsaB']	['|G185E-7845|']	[]	['|CPLX-8368|']	[]	[]	[]	[]	[]	[]
|MONOMER-17745|	H1ZV37	['|TAX-75697|']	['|ENZRXN-26765|', '|ENZRXN-20987|']	['geranial dehydrogenase', 'GeoB', 'Protein', 'a protein']	['|G-15426|']	[]	[]	[]	[]	[]	[]	[]	[]
|AT4G21990-MONOMER|	P92980	['|ORG-5993|']	[]	['Protein', 'APR3', 'a protein']	['|AT4G21990|']	[]	['|CPLX-1284|']	[]	[]	[]	[]	[]	[]
|MONOMER-576|	P75044	['|TAX-272634|']	['|ENZRXN-2899|']	['PrsA', 'Protein', 'a protein']	['|G-157|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-15409|	C0SVZ6	['|TAX-136217|']	['|ENZRXN-17459|', '|ENZRXN-17458|']	['Protein', 'a protein', 'curcumin synthase']	['|G-11801|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-19735|	A0A182D0P3	['|TAX-1079|']	['|ENZRXN-24635|']	['chlorophyllide <i>a</i> 3<sup>1</sup>-hydratase', 'BchF', 'Protein', 'a protein']	['|G-44439|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-11676|		['|TAX-13443|']	['|ENZRXN-12093|', '|ENZRXN-12041|', '|ENZRXN-12038|']	['caffeine synthase', 'Protein', 'a protein']	['|G-9084|']	[]	[]	[]	[]	[]	[]	[]	[]
|G6770-MONOMER|	P77567	['|TAX-511145|']	[]	['arylamine <i>N</i>-acetyltransferase', 'NhoA', 'Protein', 'a protein', 'YddI']	['|G6770|']	[]	['|CPLX0-236|']	[]	['|GO:0008080|', '|GO:0005737|', '|GO:0005829|', '|GO:0004060|', '|GO:0042803|', '|GO:0016407|', '|GO:0016740|', '|GO:0016746|', '|GO:0046990|']	[]	[]	[]	[]
|BSU02100-MONOMER|	O31440	['|TAX-1423|']	['|ENZRXN-18336|']	['CypC', 'YbdT', 'fatty-acid peroxygenase', 'Protein', 'a protein', 'CYP152A1']	['|BSU02100|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-862|		['|TAX-2242|']	['|ENZRXN-26474|', '|ENZRXN-3182|']	['Protein', 'a protein']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-20159|	Q8TM02	['|TAX-188937|']	[]	['Protein', 'HdrA2', 'a protein']	['|G-55049|']	[]	['|CPLX-9204|']	[]	[]	[]	[]	[]	[]
|MONOMER-14810|	P10605	['|TAX-10090|']	['|ENZRXN-16569|', '|ENZRXN-16564|', '|ENZRXN-16561|']	['cathepsin B1', 'Protein', 'cathepsin B', 'a protein']	['|G-11307|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-17707|	Q4JZA9	['|TAX-1313|']	['|ENZRXN-20940|']	['Protein', 'MnpB', 'a protein']	['|G-15405|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-18170|	Q8VWB4	['|TAX-33899|']	[]	['aklanoate anthrone monooxygenase monomer', 'Protein', 'a protein', 'AknX']	['|G-17681|']	[]	['|CPLX-8731|']	[]	[]	[]	[]	[]	[]
|MONOMER-15369|	Q50EL0	['|TAX-746128|']	[]	['4-dimethylallyltryptophan synthase monomer', 'Protein', 'a protein']	['|G-11772|']	[]	['|CPLX-7993|']	[]	[]	[]	[]	[]	[]
|G6634-MONOMER|	P77766	['|TAX-511145|']	['|ENZRXN0-7965|', '|ENZRXN0-7964|']	['TrpH', 'RNase AM', 'YciV', 'Protein', 'a protein', "RNA/ssDNA 5'&rarr;3' exonuclease"]	['|G6634|']	[]	[]	[]	['|GO:0006259|', '|GO:0090503|', '|GO:0090305|', '|GO:0046872|', '|GO:0030145|', '|GO:0016787|', '|GO:0016311|', '|GO:0008252|', '|GO:0004527|', '|GO:0004518|', '|GO:0000166|', '|GO:0004534|', '|GO:0035312|', '|GO:0005829|', '|GO:0003824|']	[]	[]	[]	[]
|GUTB-MONOMER|	P05706	['|TAX-511145|']	[]	['Enzyme III<sup>sorbitol</sup>', 'sorbitol-specific PTS enzyme IIA component', 'GutB', 'enzyme IIA component of sorbitol PTS', 'Protein', 'a protein', 'SrlB']	['|EG10970|']	[]	['|CPLX-169|']	[]	['|GO:0016773|', '|GO:0034219|', '|GO:0005829|', '|GO:0008982|', '|GO:0016310|', '|GO:0016740|', '|GO:0016301|', '|GO:0008643|', '|GO:0005737|', '|GO:0009401|']	[]	[]	[]	[]
|MONOMER-20121|	E1V7V8	['|TAX-768066|']	['|ENZRXN-25475|']	['DoeC', 'aspartate-semialdehyde dehydrogenase (non-phosphorylating)', 'Protein', 'a protein']	['|G-55010|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-18134|	A2BD24	['|TAX-265948|']	['|ENZRXN-21966|']	['Fcd', 'Protein', 'a protein', 'WsbK']	['|G-17641|']	[]	[]	[]	[]	[]	[]	[]	[]
|EG10211-MONOMER|	P0AED9	['|TAX-511145|']	['|ENZRXN0-2081|']	['Mec', 'Protein', 'a protein', 'DNA-cytosine methyltransferase', 'Dcm']	['|EG10211|']	[]	[]	[]	['|GO:0090116|', '|GO:0009307|', '|GO:0032259|', '|GO:0016740|', '|GO:0008168|', '|GO:0005829|', '|GO:0005515|', '|GO:0003886|']	[]	[]	[]	[]
|MONOMER-12284|		['|ORG-5889|']	[]	['L-<i>erythro</i>-3,5-diaminohexanoate dehydrogenase subunit', 'Protein', 'a protein']	[]	[]	['|CPLX-7128|']	[]	[]	[]	[]	[]	[]
|GLYCOPHOSPHORYL-MONOMER|	P0AC86	['|TAX-511145|']	[]	['glycogen phosphorylase', 'GlgY', 'GlgP', 'Protein', 'a protein']	['|EG10380|']	[]	['|GLYCOPHOSPHORYL-CPLX|']	[]	['|GO:0005515|', '|GO:0102250|', '|GO:0102499|', '|GO:0005737|', '|GO:0042803|', '|GO:0005980|', '|GO:0030170|', '|GO:0016757|', '|GO:0016740|', '|GO:0008184|', '|GO:0008152|', '|GO:0005977|', '|GO:0005975|', '|GO:0004645|', '|GO:0003824|', '|GO:0005829|']	[]	[]	[]	[]
|NACGLCTRANS-MONOMER|	P17443	['|TAX-511145|']	['|NACGLCTRANS-ENZRXN|']	['MurG', 'Protein', 'a protein']	['|EG10623|']	[]	[]	[]	['|GO:0005515|', '|GO:0005975|', '|GO:0071555|', '|GO:0016758|', '|GO:0016757|', '|GO:0016740|', '|GO:0030259|', '|GO:0051991|', '|GO:0005886|', '|GO:0051301|', '|GO:0016020|', '|GO:0008360|', '|GO:0007049|', '|GO:0050511|', '|GO:0009252|']	[]	[]	[]	[]
|E3-MONOMER|	P0A9P0	['|TAX-511145|']	[]	['Dhl', 'Lpd', 'E3 subunit', 'lipoamide dehydrogenase', 'Protein', 'a protein', 'LpdA']	['|EG10543|']	[]	['|E3-CPLX|']	[]	['|GO:0005623|', '|GO:0006979|', '|GO:0016668|', '|GO:0016491|', '|GO:0045454|', '|GO:0042802|', '|GO:0008270|', '|GO:0015036|', '|GO:0006103|', '|GO:0006090|', '|GO:0055114|', '|GO:0005886|', '|GO:0005829|', '|GO:0050660|', '|GO:0016020|', '|GO:0006096|', '|GO:0005515|', '|GO:0004148|', '|GO:0045250|', '|GO:0005960|', '|GO:0045248|', '|GO:0019464|', '|GO:0005737|']	[]	[]	[]	[]
|MONOMERQT-2769|	F4JWS8	['|ORG-5993|']	[]	['Protein', 'cytochrome <i>bc</i><sub>1</sub> complex subunit 7-2', 'a protein']	['|GQT-5775|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-20575|	Q8RL63	['|ORG-6360|']	['|ENZRXN-26600|']	['5,6,7,13-tetrahydroxy-8,12-dimethyl-3-oxotetradec-10-enoyl-[acp] 3-acetyltransferase', 'MupH', 'Protein', 'a protein']	['|G-58732|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-20541|	Q8I034	['|TAX-9685|']	['|ENZRXN-26504|']	['carboxylesterase 5A', 'Protein', 'a protein', 'cauxin']	['|G-58332|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-12814|		['|TAX-1396|']	[]	['L-alanine dehydrogenase subunit', 'Protein', 'a protein']	[]	[]	['|CPLX-7261|']	[]	[]	[]	[]	[]	[]
|MONOMER-12861|		['|TAX-3988|']	['|ENZRXN-13700|']	['PGM<sub>p</sub>', 'Protein', 'a protein', 'phosphoglyceromutase', 'plastidic cofactor-independent phosphoglycerate mutase', 'plastidic phosphoglycerate mutase']	[]	[]	[]	[]	['|GO:0009536|']	[]	[]	[]	[]
|SAPD-MONOMER|	P0AAH4	['|TAX-511145|']	[]	['TrkE', 'Protein', 'putrescine ABC exporter ATP binding protein SapD', 'a protein']	['|EG12304|']	[]	['|ABC-29-CPLX|']	[]	['|GO:0006813|', '|GO:0006811|', '|GO:0043190|', '|GO:0015489|', '|GO:0015847|', '|GO:0071805|', '|GO:0016887|', '|GO:0005886|', '|GO:0016020|', '|GO:0015833|', '|GO:0005524|', '|GO:0000166|']	[]	[]	[]	[]
|MONOMER-15841|	P95619	['|TAX-28068|']	['|ENZRXN-19691|', '|ENZRXN-19690|', '|ENZRXN-19689|', '|ENZRXN-18129|', '|ENZRXN-18125|']	['CrtC', 'acyclic carotenoid 1,2-hydratase', 'neurosporene and anhydrorhodovibrin hydratase', 'Protein', 'a protein']	['|G-12167|']	[]	[]	[]	[]	[]	[]	[]	[]
|SFUA-MONOMER|	P31550	['|TAX-511145|']	[]	['ThiB', 'TbpA', 'TBP', 'SfuA', 'Protein', 'a protein', 'YabL', 'thiamine ABC transporter periplasmic binding protein']	['|EG11574|']	[]	['|ABC-32-CPLX|']	[]	['|GO:0055085|', '|GO:0030976|', '|GO:0030975|', '|GO:0030288|', '|GO:0015888|', '|GO:0042597|']	[]	[]	[]	[]
|MONOMER-18536|	Q7BSH1	['|TAX-386|']	[]	['L-rhamnose mutarotase monomer', 'Protein', 'RhaU', 'a protein']	['|G-18009|']	[]	['|CPLX-8840|']	[]	[]	[]	[]	[]	[]
|MONOMER-16259|	Q5UZI9	['|TAX-2238|']	['|ENZRXN-18771|']	['citrate synthase', 'CitZ', 'Protein', 'a protein']	['|G-12552|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-15879|	B0L7F5	['|TAX-168695|']	[]	['Protein', "5'-chloro-5'-deoxyadenosine synthase monomer", 'a protein', 'SalL']	['|G-12198|']	[]	['|CPLX-8149|']	[]	[]	[]	[]	[]	[]
|HS03550-MONOMER|	P51649	['|TAX-9606|']	[]	['Aldehyde dehydrogenase family 5 member A1', 'NAD(+)-dependent succinic semialdehyde dehydrogenase', 'Succinate-semialdehyde dehydrogenase, mitochondrial', 'Protein', 'a protein']	['|HS03550|']	[]	['|CPLX-6888|']	[]	['|GO:0009450|', '|GO:0005739|', '|GO:0004777|']	[]	[]	[]	[]
|EG11334-MONOMER|	P25772	['|TAX-511145|']	['|ENZRXN0-2701|']	['LigB', 'YicF', 'DNA ligase B', 'Protein', 'a protein']	['|EG11334|']	[]	[]	[]	['|GO:0051103|', '|GO:0006288|', '|GO:0005829|', '|GO:0016874|', '|GO:0006259|', '|GO:0006266|', '|GO:0006974|', '|GO:0006281|', '|GO:0006260|', '|GO:0003911|']	[]	[]	[]	[]
|MONOMER-13327|	P95563	['|TAX-232721|']	[]	['ferredoxin<sub>2NT</sub>', '2-nitrotoluene dioxygenase complex ferredoxin component', 'Protein', 'a protein']	['|G-44081|']	[]	['|CPLX-7469|']	[]	[]	[]	[]	[]	[]
|MONOMER-20974|	F0M433	['|TAX-361575|']	[]	['levoglucosan dehydrogenase monomer', 'Protein', 'a protein']	['|G-80500|']	[]	['|CPLX-9440|']	[]	[]	[]	[]	[]	[]
|MONOMER-18924|	Q841K1	['|TAX-68214|']	['|ENZRXN-23186|']	["cytidine 5'-phosphate hydrolase", 'Protein', 'a protein', 'CMP hydrolase', 'BlsM']	['|G-34633|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-18573|		['|TAX-29440|']	[]	['Protein', 'a protein', 'L-carnitine dehydrogenase monomer']	[]	[]	['|CPLX-8848|']	[]	[]	[]	[]	[]	[]
|HS08412-MONOMER|	P12821	['|TAX-9606|']	['|ENZRXN-18870|']	['dipeptidyl carboxypeptidase I', 'Protein', 'a protein', 'kininase II', 'angiotensin-converting enzyme', 'peptidyl-dipeptidase A']	['|HS08412|']	[]	[]	[]	[]	[]	[]	[]	[]
|AT2G01350-MONOMER|		['|ORG-5993|']	['|ENZRXN-13367|']	['Protein', 'a protein']	['|AT2G01350|']	[]	[]	[]	['|GO:0009507|']	[]	[]	[]	[]
|MONOMER-16309|		['|TAX-60916|']	['|ENZRXN-18832|']	['Protein', 'a protein']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|USHA-MONOMER|	P07024	['|TAX-511145|']	['|5-NUCLEOTID-ENZRXN|', '|UDPSUGARHYDRO-ENZRXN|', '|ENZRXN0-7705|', '|ENZRXN0-8315|', '|ENZRXN0-8319|', '|ENZRXN0-8320|']	["5'-nucleotidase / UDP-sugar hydrolase", 'Protein', 'UshA', 'a protein']	['|EG11060|']	[]	[]	[]	['|GO:0016311|', '|GO:0042597|', '|GO:0016788|', '|GO:0016787|', '|GO:0030288|', '|GO:0046872|', '|GO:0009166|', '|GO:0000166|', '|GO:0008253|', '|GO:0008768|']	[]	[]	[]	[]
|MONOMER-3190|	Q01103	['|TAX-303|']	[]	['PcaI', '&alpha; subunit of &beta;-ketoadipate succinyl-CoA transferase', 'Protein', 'a protein']	['|G-2290|']	[]	['|CPLX-2722|']	[]	[]	[]	[]	[]	[]
|HS03945-MONOMER|	P09848	['|TAX-9606|']	[]	['lactase-phlorizin hydrolase subunit', 'Protein', 'a protein']	['|HS03945|']	[]	['|CPLX-7457|']	[]	['|GO:1901657|', '|GO:0016798|', '|GO:0016787|', '|GO:0016324|', '|GO:0016021|', '|GO:0016020|', '|GO:0008422|', '|GO:0008152|', '|GO:0005886|', '|GO:0004553|', '|GO:0003824|', '|GO:0017042|', '|GO:0005975|', '|GO:0005887|', '|GO:0000016|']	[]	[]	[]	[]
|MONOMER-13764|	O81192	['|TAX-38868|']	[]	['(+)-bornyl diphosphate synthase', '(+)-bornyl diphosphate synthase monomer', 'Protein', 'a protein']	['|G-10498|']	[]	['|CPLX-8430|']	[]	['|GO:0043693|']	[]	[]	[]	[]
|YOR126C-MONOMER|	P41734	['|TAX-559292|']	[]	['isoamyl acetate-hydrolyzing esterase monomer', 'Protein', 'a protein']	['|YOR126C|']	[]	['|CPLX-9284|']	[]	['|GO:0016788|', '|GO:0016787|', '|GO:0016042|', '|GO:0006629|', '|GO:0006083|', '|GO:0005575|']	[]	[]	[]	[]
|EG11441-MONOMER|	P27298	['|TAX-511145|']	['|ENZRXN0-4262|']	['oligopeptidase A', 'OpdA', 'Protein', 'a protein', 'PrlC']	['|EG11441|']	[]	[]	[]	['|GO:0006518|', '|GO:0016787|', '|GO:0004222|', '|GO:0006465|', '|GO:0005829|', '|GO:0006260|', '|GO:0046872|', '|GO:0008237|', '|GO:0008233|', '|GO:0006508|', '|GO:0005737|']	[]	[]	[]	[]
|MONOMER-16774|		['|ORG-6187|']	['|ENZRXN-19423|']	['Protein', 'NADH:Fe(III)EDTA oxidoreductase', 'a protein']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-14267|	Q92MZ4	['|ORG-6069|']	[]	['<i>N</i>-carbamoyl-L-amino-acid hydrolase subunit', 'Protein', 'a protein', 'HyuC']	['|G-10896|']	[]	['|CPLX-7673|']	[]	[]	[]	[]	[]	[]
|MONOMER-2101|	Q9SB48	['|ORG-5993|']	[]	['Protein', 'a protein']	['|G-1441|']	[]	[]	[]	[]	[]	[]	[]	[]
|ENSG00000138744-MONOMER|	Q02083	['|TAX-9606|']	[]	['<i>N</i>-acylethanolamine-hydrolyzing acid amidase proenzyme', 'Protein', 'a protein']	['|HS06545|']	[]	[]	[]	['|GO:0098793|', '|GO:0045202|', '|GO:0016810|', '|GO:0016787|', '|GO:0008150|', '|GO:0008134|', '|GO:0006629|', '|GO:0005764|', '|GO:0005737|', '|GO:0005575|', '|GO:0003674|']	['|MONOMER-20826|', '|MONOMER-20825|']	[]	[]	[]
|MONOMER-19312|	Q820V4	['|TAX-1351|']	['|ENZRXN-23821|']	['FabO', 'Protein', 'a protein']	['|G-44022|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-18957|	A0A1D8PQ07	['|TAX-237561|']	['|ENZRXN-23220|']	['Protein', 'a protein']	['|G-43703|']	[]	[]	[]	['|GO:0005739|']	[]	[]	[]	[]
|MONOMER-17242|	Q7TXM0	['|TAX-1765|']	[]	['phthiodiolenone synthase', 'Protein', 'PpsA', 'a protein']	['|G-15029|']	[]	['|CPLX-9045|']	[]	[]	[]	[]	[]	[]
|MCRBMSARC-MONOMER|		['|TAX-2210|']	[]	['McrB', '&beta; subunit', 'Protein', 'a protein']	['|G-364|']	[]	['|CPLX-501|']	[]	[]	[]	[]	[]	[]
|HS08830-MONOMER|	Q15126	['|TAX-9606|']	['|ENZRXN66-460|']	['phosphomevalonate kinase', 'PMKASE', 'Protein', 'a protein']	['|HS08830|']	[]	[]	[]	['|GO:0005782|']	[]	[]	[]	[]
|G185E-7817-MONOMER|	I6Y3T7	['|TAX-83332|']	['|ENZRXN-19792|']	['3-oxo-23,24-bisnorchol-4-en-17-ol-22-oyl-CoA lyase', 'Protein', 'a protein']	['|G185E-7817|']	[]	[]	[]	[]	[]	[]	[]	[]
|AT4G17050-MONOMER|	Q8GXV5	['|ORG-5993|']	['|ENZRXN-17369|']	['Protein', 'a protein']	['|AT4G17050|']	[]	[]	[]	['|GO:0005783|']	[]	[]	[]	[]
|AT2G21940-MONOMER|	Q9SJ05	['|ORG-5993|']	['|ENZRXN-18397|']	['shikimate kinase', 'Protein', 'a protein']	['|AT2G21940|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-551|	P75189	['|TAX-272634|']	['|ENZRXN-2870|']	['Eno', 'Protein', 'a protein']	['|G-203|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-19719|	B3EQ32	['|TAX-331678|']	['|ENZRXN-24612|']	['BchR', 'Protein', 'a protein', '8-ethyl-12-methyl-3-vinylbacteriochlorophyllide <i>d</i> C-12<sup>1</sup>-methyltransferase']	['|G-44423|']	[]	[]	[]	[]	[]	[]	[]	[]
|YBHS-MONOMER|	P0AFQ2	['|TAX-511145|']	[]	['Protein', 'putative ABC exporter membrane subunit YbhS', 'a protein', 'YbhS']	['|G6410|']	[]	['|ABC-57-CPLX|']	[]	['|GO:1990961|', '|GO:0055085|', '|GO:0043190|', '|GO:0015562|', '|GO:0005887|', '|GO:0005886|', '|GO:0016021|', '|GO:0016020|']	[]	[]	[]	[]
|MONOMER-11651|		['|TAX-29760|']	[]	['Protein', 'STS I subunit', 'a protein']	[]	[]	['|CPLX-6931|']	[]	[]	[]	[]	[]	[]
|BETAGALACTOSID-MONOMER|	P00722	['|TAX-511145|']	[]	['LacZ', 'Protein', 'a protein', '&beta;-galactosidase']	['|EG10527|']	[]	['|BETAGALACTOSID-CPLX|']	[]	['|GO:0042802|', '|GO:0046872|', '|GO:0016798|', '|GO:0016787|', '|GO:0008152|', '|GO:0005975|', '|GO:0004553|', '|GO:0003824|', '|GO:0030246|', '|GO:0005829|', '|GO:0031420|', '|GO:0000287|', '|GO:0005990|', '|GO:0009341|', '|GO:0004565|']	[]	[]	[]	[]
|MONOMER-3422|	Q9AEQ0	['|TAX-303|']	[]	['subunit of catechol 1,2-dioxygenase', 'CatA', 'Protein', 'a protein']	['|G-2485|']	[]	['|CPLX-2842|']	[]	[]	[]	[]	[]	[]
|MONOMER-858|		['|ORG-5993|']	[]	['glycine decarboxylase P protein', 'Protein', 'a protein']	[]	[]	['|GLYCINEDECARBOXYLASE|', '|CPLX-822|']	[]	[]	[]	[]	[]	[]
|MONOMER-14769|	O86041	['|TAX-70356|']	['|ENZRXN-16398|']	['gentisate 1,2-dioxygenase', 'Protein', 'NagI', 'a protein']	['|G-11272|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-13809|	O86169	['|TAX-1422|']	['|ENZRXN-21394|', '|ENZRXN-14757|']	['S-adenosylmethionine:2-demethylmenaquinol methyltransferase', 'MenH', 'MenG', 'UbiE', 'Protein', 'a protein']	['|G-10534|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-17680|		['|TAX-59788|']	['|ENZRXN-20884|', '|ENZRXN-20883|']	['Protein', 'a protein']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-15335|	A4QB64	['|TAX-340322|']	['|ENZRXN-17386|']	['QsuC', 'AroQ', 'Protein', 'a protein']	['|G-11738|']	[]	[]	[]	[]	[]	[]	[]	[]
|YTFQ-MONOMER|	P39325	['|TAX-511145|']	[]	['Protein', 'a protein', 'galactofuranose ABC transporter periplasmic binding protein']	['|EG12517|']	[]	['|ABC-46-CPLX|']	[]	['|GO:0008643|', '|GO:0030288|', '|GO:0015757|', '|GO:0005534|', '|GO:0042597|']	[]	[]	[]	[]
|G66-32717-MONOMER|	Q5VYX0	['|TAX-9606|']	['|ENZRXN-23934|', '|ENZRXN-23933|', '|ENZRXN-23932|', '|ENZRXN-23931|']	['MAO-C', 'monoamine oxidase-C', 'Protein', 'a protein', 'renalase']	['|G66-32717|']	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-20105|	C5AP81	['|TAX-272630|']	[]	['crotonyl-CoA carboxylase/reductase monomer', 'Ccr', 'Protein', 'a protein']	['|G-54993|']	[]	['|CPLX-9179|']	[]	[]	[]	[]	[]	[]
|MONOMER-16819|	P45741	['|TAX-49283|']	['|ENZRXN-19562|']	['thiaminase I', 'Protein', 'a protein']	['|G-14650|']	[]	[]	[]	['|GO:0005576|']	[]	[]	[]	[]
|MONOMER-18117|		['|ORG-6231|']	['|ENZRXN-21916|', '|ENZRXN-21915|', '|ENZRXN-21914|', '|ENZRXN-21913|', '|ENZRXN-21912|']	['Protein', 'a protein', '20-O-multi-glycoside ginsenosidase']	[]	[]	[]	[]	[]	[]	[]	[]	[]
|MONOMER-12254|	P61431	['|TAX-1280|']	['|ENZRXN-12882|']	['MurB', 'Protein', 'a protein']	['|G-9474|']	[]	[]	[]	['|GO:0005829|']	[]	[]	[]	[]
|MONOMER-14303|	O02766	['|TAX-9986|']	['|ENZRXN-15521|']	['CYPVIIIB1', 'cytochrome P450 8B1', 'Protein', 'a protein']	['|G-10912|']	[]	[]	[]	['|GO:0005789|']	[]	[]	[]	[]
|GLUTATHIONE-REDUCT-NADPH-MONOMER|	P06715	['|TAX-511145|']	[]	['glutathione reductase (NADPH)', 'Gor', 'Protein', 'a protein', 'GorA']	['|EG10412|']	[]	['|GLUTATHIONE-REDUCT-NADPH-CPLX|']	[]	['|GO:0034599|', '|GO:0005829|', '|GO:0005623|', '|GO:0098869|', '|GO:0071949|', '|GO:0016668|', '|GO:0016491|', '|GO:0050661|', '|GO:0050660|', '|GO:0045454|', '|GO:0006749|', '|GO:0042803|', '|GO:0055114|', '|GO:0004362|', '|GO:0005737|']	[]	[]	[]	[]
|DSRCGIGAS-MONOMER|	B6HY20	['|TAX-879|']	[]	['DsrC', 'Protein', 'a protein', 'DsrC monomer (<i>D. gigas</i>)']	['|G-12345|']	[]	['|CPLX-8184|']	[]	['|GO:0005829|']	[]	[]	[]	[]
|ENSG00000154227-MONOMER|	Q8IU89	['|TAX-9606|']	['|ENZRXN-26968|', '|ENZRXN-26966|', '|ENZRXN-26932|', '|ENZRXN-26928|', '|ENZRXN-26927|', '|ENZRXN-26925|']	['LAG1 longevity assurance homolog 3', 'ceramide synthase 3', 'Protein', 'a protein']	['|HS07961|']	[]	[]	[]	['|GO:0050291|', '|GO:0046513|', '|GO:0031965|', '|GO:0030216|', '|GO:0030148|', '|GO:0016740|', '|GO:0016021|', '|GO:0016020|', '|GO:0006629|', '|GO:0005783|', '|GO:0005634|', '|GO:0003677|', '|GO:0006355|', '|GO:0003700|']	[]	[]	[]	[]
|MONOMER-20525|	Q8LM92	['|TAX-39947|']	['|ENZRXN-26412|', '|ENZRXN-26411|', '|ENZRXN-26410|']	['Protein', "flavonoid 3'-hydroxylase/flavone 5'-hydroxylase", 'a protein']	['|G-58315|']	[]	[]	[]	[]	[]	[]	[]	[]
