Id	Name	ChebiId	PubchemId	Rxns
C18904	['Methylselenopyruvate', 'beta-Methylselenopyruvate']	['82049']	['124489576']	['R09373']
C05954	['Prostaglandin B2', 'PGB2']	['28099']	['8238']	['R05057']
C12006	['Liposidomycin B']	['29619']	['14165']	[]
C14948	['2-(4-Ethoxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one']	['79472']	['17395946']	[]
C10859	['Knightinol']	['6140']	['13042']	[]
C13106	['Gadodiamide hydrate', 'Gadodiamide']	['31642']	['585170']	[]
C04284	['2-Heptyl-4-hydroxyquinoline-N-oxide', 'HQNO']	['28362']	['6946']	[]
C02648	['4-Hydroxy-2-butynal', '4-Hydroxybut-2-ynal']	['16711']	['5625']	['R03963']
C21137	['dTDP-3-amino-4-oxo-2,3,6-trideoxy-L-allose', 'dTDP-3-amino-4-keto-2,3,6-trideoxy-L-allose']	[]	['313046617']	['R11138', 'R11139']
C08711	['Spiredine']	['9238']	['10904']	[]
C05922	['Formamidopyrimidine nucleoside triphosphate']	[]	['8210']	['R00428', 'R05046']
C12313	['cis-1,2-Cyclohexanediol', 'cis-Cyclohexane-1,2-diol']	['32329']	['582704']	['R06621']
C09179	['Resiniferatoxin', 'RTX']	['8809']	['11371']	[]
C19591	['1,2,3,4-Tetrahydro-alpha,7-dihydroxy-beta-(hydroxymethyl)-9-methoxy-3,4-dioxocyclopenta[c][1]benzopyran-6-propanal']	['82582']	['124490263']	['R09412', 'R09414']
C19855	['D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-1-diphospho-ditrans,octacis-undecaprenol']	[]	['135626322']	['R09732', 'R09733']
C05021	['N-Acetyl-beta-D-galactosamine']	['28497']	['7497']	[]
C05562	['1H-Imidazole-4-methanol', 'Imidazole-4-methanol']	['28182']	['7892']	[]
C16249	['2-Bromomaleylacetate']	['19480']	['47205557']	['R07781', 'R07785']
C06006	['(S)-2-Aceto-2-hydroxybutanoate', '(S)-2-Hydroxy-2-ethyl-3-oxobutanoate']	['27681', '49256']	['8279']	['R04673', 'R05069', 'R08648']
C17253	['9-Methylthiononanaldoxime', '(E)-9-(Methylthio)nonanaldoxime']	['134685', '50704']	['96023660']	['R08675']
C15441	['Cholesteryl linoleate', '(Z,Z)-(3beta)-Cholest-5-en-3-ol 9,12-octadecadienoate']	['41509']	['17396438']	[]
C17086	['Tyrindoxyl sulfate']	['80916']	['96023561']	[]
C17387	['Cycleanine']	['81051']	['96023740']	[]
C20242	['(-)-Sabinene', '(1S,5S)-1-Isopropyl-4-methylenebicyclo[3.1.0]hexane']	[]	['163311985']	['R09965']
C21401	['tert-Amyl alcohol', '2-Methyl-2-butanol', 'TAA']	[]	['328082944']	['R11477']
C01728	['Mannobiose', 'alpha-1,6-Mannobiose', 'alpha-D-Manp-(1->6)-D-Manp']	['28085', '62357']	['4865']	['R10809']
C11357	['(-)-Anabasine']	['74']	['13532']	[]
C16009	['Big endothelin']	['80239']	['47205320']	[]
C21678	['(3R)-3-Hydroxy-16-methoxy-1,2-didehydro-2,3-dihydrotabersonine']	[]	['350078255']	['R11777', 'R11810']
C20014	['Brevetoxin B2']	[]	['135626480']	[]
C07174	['Trimethaphan']	['9728']	['9383']	[]
C20795	['Penitrem C']	[]	['254741262']	[]
C14219	['2-Chlorophenol', '2-Chloro-1-hydroxybenzene']	['47083']	['7847029']	[]
C15904	['Galantide']	['80163']	['47205223']	[]
C09652	['Daucol']	['4329']	['11842']	[]
C10091	['Swerchirin', '5-O-Methylbellidifolin', '3,5-Dimethoxy-1,8-dihydroxyxanthone']	['9368']	['12277']	[]
C19710	['[L-Asp(4-L-Arg)]n-L-Asp']	[]	['135626178']	['R09592', 'R09593']
C11074	['THTC', '2-n-Tetrahydrothiophenecarboxylic acid']	['9384']	['13256']	[]
C16835	['Succinic aldehyde', 'Succindialdehyde']	['80762']	['96023359']	['R08225']
C05587	['3-Methoxytyramine']	['1582']	['7912']	['R04301', 'R04890', 'R08831']
C05840	['Iminoaspartate', 'Iminoaspartic acid', 'Iminosuccinate']	['50616']	['8133']	['R00481', 'R04292', 'R07407', 'R07410']
C14357	['2,3,4-Trichlorobiphenyl', 'PCB 21']	['34222']	['17395357']	[]
C03629	['O-Phosphorylhydroxylamine', 'O-Phosphonohydroxylamine']	['28048']	['6412']	[]
C09952	['Methysticin']	['6895']	['12138']	[]
C12261	['2,3,4-Trioxycyclopentanone']	['31068']	['14406']	[]
C02041	['Eicosanoyl-CoA', 'Icosanoyl-CoA', 'Arachidoyl-CoA']	['15527']	['5132']	['R02224', 'R08175', 'R10926', 'R11450']
C01132	['N-Acetyl-D-galactosamine', 'N-Acetyl-D-chondrosamine', '2-Acetamido-2-deoxy-D-galactose']	['28037']	['4363']	['R03492', 'R04183', 'R04184', 'R04586', 'R05963', 'R05966', 'R06001', 'R06004', 'R08366', 'R08967']
C01380	['Ethylene glycol', '1,2-Ethanediol', 'Ethane-1,2-diol']	['30742']	['4575']	['R01781', 'R05842', 'R11541']
C22103	['3beta-Hydroxy-4,4-dimethylsteroid']	[]	['405226298']	['R12357', 'R12360']
C09643	['Sinomenine']	['9163']	['11833']	[]
C16014	['cis-Stilbene oxide']	['50004']	['47205325']	['R07627']
C00855	['D-Methionine', 'D-2-Amino-4-(methylthio)butyric acid']	['16867']	['4112']	['R00655', 'R03001']
C16645	['(13Z,16Z)-Docosadienoyl-CoA', '(13Z,16Z)-Docosadi-13,16-enoyl-CoA', '13Z,16Z-Docosadienoyl-CoA']	['80632']	['51090970']	['R08273']
C21115	['(6Z)-Hexadec-6-enoyl-[acyl-carrier protein]', 'Delta6-Hexadecenoyl-[acyl-carrier protein]', 'Sapienoyl-[acyl-carrier-protein]']	[]	['312642084']	['R11109']
C05475	['11beta,21-Dihydroxy-5beta-pregnane-3,20-dione', '5beta-Pregnane-11beta,21-diol-3,20-dione']	['86381']	['7835']	['R03850', 'R04837', 'R04838']
C06177	['Retronecine']	['8821']	['8428']	['R06725', 'R06726']
C19755	['Patchoulol']	[]	['135626222']	['R09629']
C20985	['2-Sulfotrehalose', '2-O-Sulfo-alpha,alpha-trehalose']	[]	['254741444']	['R10971', 'R12465', 'R12466']
C10314	['Chrysophanic acid 9-anthrone', 'Chrysophanol anthrone', 'Chrysarobin']	['3686']	['12500']	[]
C19819	['Cucurbitadienol']	[]	['135626286']	['R09688', 'R12007', 'R12008']
C14313	["3',4',7-Trihydroxyisoflavone"]	['50399']	['17395313']	[]
C01401	['Alanine', '2-Aminopropionic acid', '2-Aminopropanoic acid']	['16449']	['4590']	['R03542', 'R05840']
C09356	['Chamissonin diacetate']	['3575']	['11547']	[]
C06457	['Bialaphos', 'Bilanafos', '2-Amino-4-(methylphosphino)butyrylalanylalanine', 'gamma-(Hydroxymethylphosphinyl)-L-alpha-aminobutyryl-L-alanyl-L-alanine', 'Phosphinothricin tripeptide']	['3088']	['8690']	['R08876', 'R11481']
C07531	['Prilocaine']	['8404']	['9734']	[]
C15308	['3-Hydroxy-1-methylestra-1,3,5(10),6-tetraen-17-one', '1-Methyl-6-dehydroestrone']	['79810']	['17396305']	[]
C01723	['Lactenocin', 'Demycarosylmacrocin']	['6352']	['4860']	[]
C07091	['cis-Acetylacrylate']	['28993']	['9302']	['R05510']
C09744	['alpha-Vetivone']	['10339']	['11932']	[]
C17667	['Avicholate', 'Avicholic acid']	['81261']	['96024010']	[]
C18405	['Prothiofos']	['38873']	['124489079']	[]
C06297	["NeuGc-alpha2->8NeuGc2->3Gal-beta1->4Glc-beta1->1'Cer", 'NeuGc-alpha2->8NeuGc2->3LacCer']	[]	['8534']	[]
C21919	['Delta14-Steroid']	[]	['376218952']	['R12118', 'R12121', 'R12317', 'R12322']
C19709	['[L-Asp(4-L-Arg)]n', 'Cyanophycin']	['65318']	['135626177']	['R09592', 'R09722']
C01926	['Indomethacin', 'Indometacin']	['49662']	['5032']	[]
C10400	['Supinidine']	['9360']	['12586']	[]
C19587	['Aflatoxin P1', 'AFP1']	['82579']	['124490259']	[]
C14390	['Heptanal', 'n-Heptaldehyde']	['34787']	['17395390']	[]
C04866	['alpha-D-Galactosyl-(1,3)-[alpha-L-fucosyl-(1,2)]-D-galactoside', 'Glycoprotein alpha-D-galactosyl-(1,3)-[alpha-L-fucosyl-(1,2)]-D-galactose', 'alpha-D-Galactosyl-(1->3)-[alpha-L-fucosyl(1->2)]-D-galactosyl-R']	[]	['7421']	['R04548']
C02730	['2-Succinylbenzoate', 'o-Succinylbenzoate', 'Succinylbenzoate']	['18325', '44788']	['5692']	['R04030', 'R04031', 'R05454']
C00816	['Collagenase']	[]	['4074']	[]
C16369	['Cyanidin 3-(6-p-caffeoyl)glucoside']	['80476']	['47205677']	['R07928']
C15624	['GW 2433']	[]	['17396614']	[]
C10245	['Astringin']	['2899']	['12431']	[]
C18216	['4-Hydroxyphenyl-4-hydroxybenzoate']	['81593']	['103061398']	['R09104', 'R09105']
C19926	['Pseudoazurin']	[]	['135626392']	[]
C02242	['7-Methylguanine']	['2274', '28664']	['5305']	[]
C12221	['Myxochelin B']	['7061']	['14366']	[]
C10642	['Arborine', 'Glycosine']	['2803']	['12825']	[]
C11440	['Methionyl peptide']	[]	['13612']	['R05635']
C15363	['6beta,11alpha-Dihydroxyprogesterone', '6beta,11alpha-Dihydroxypregn-4-ene-3,20-dione']	['79865']	['17396360']	[]
C15502	["3-Epihydroxy-2'-deoxymugineic acid"]	['38159']	['17396494']	['R07187']
C20416	['alpha-L-Rhamnopyranosyl-(1->3)-N-acetyl-alpha-D-glucosaminyl-diphospho-trans,octacis-decaprenol']	[]	['163312153']	['R10175']
C21532	['Coniferonoyl-[glycerolipid]', '(5Z,9Z,12Z,15Z)-Octadeca-5,9,12,15-tetraenoyl-[glycerolipid]']	[]	['336445170']	['R11645']
C03391	['DNA 6-methylaminopurine', 'N6-Methyladenine in DNA']	[]	['6222']	['R02961', 'R11345']
C00503	['Erythritol', 'Erythrol', 'Phycitol', 'Phycite', 'Erythrite']	['17113', '48299']	['3786']	['R02430', 'R11536']
C17177	['Aplysinal']	[]	['135626092']	[]
C05545	['Protein N6,N6-dimethyl-L-lysine']	['8552']	['7881']	['R04866', 'R04867', 'R09510', 'R10056', 'R12460', 'R12462', 'R12463']
C21545	['Mecillinam', 'Amdinocillin']	[]	['336445183']	[]
C14977	['2alpha-(Hydroxymethyl)-17-methyl-5alpha-androstane-3beta,17beta-diol']	['79501']	['17395975']	[]
C02817	['Chlordecone alcohol']	['17184']	['5767']	['R03716']
C09553	['Jatrorrhizine']	['6087']	['11744']	[]
C15150	['14-Hydroxyandrosta-1,4-diene-3,17-dione']	['79668']	['17396147']	[]
C04013	['Multi-methyl-branched acyl-CoA']	['18100']	['6720']	[]
C11290	['3-Chlorosalicylanilide']	['1475']	['13465']	[]
C17879	['Nigakinone']	['81365']	['96024130']	[]
C11850	['Divinylchlorophyll a']	['73113']	['14012']	['R06287', 'R06288']
C12628	["Vitexin 2''-O-beta-L-rhamnoside", "2''-O-Rhamnosylvitexin", "Vitexin 2''-rhamnoside"]	['32298']	['583018']	['R06823', 'R06824']
C18841	['R1128B']	['82002']	['124489515']	[]
C01080	['Reduced coenzyme F420']	['15823']	['4318']	['R03025', 'R04456', 'R04464', 'R05459', 'R09192', 'R09550', 'R09749', 'R10572', 'R10574', 'R10602', 'R10603', 'R10797', 'R10803', 'R11874', 'R11928']
C10060	['3,5-Dimethoxy-1,6-dihydroxyxanthone']	['1406']	['12246']	[]
C10234	['Mahuannin D', 'ent-Apigeniflavan-(2alpha->7,4alpha->8)-epiafzelechin']	['6647']	['12420']	[]
C00919	['Choline sulfate']	['16822']	['4173']	['R01027', 'R01028']
C08342	['Triglochinin', '2-Hexenedioic acid,4-(cyano(beta-D-glucopyranosyloxy)methylene)-, (E,Z)-']	['9717']	['10540']	[]
C17949	['N-Acetyldemethylphosphinothricin', 'N-Adpt']	['81405']	['96024170']	['R08871', 'R08872', 'R08873']
C10012	['Pandamine']	['7909']	['12198']	[]
C19582	['1-(3-Pyridinyl)-1,4-butanediol']	['82576']	['124490254']	['R09436', 'R09440']
C01943	['Obtusifoliol', '4alpha,14alpha-Dimethyl-5alpha-ergosta-8,24(28)-dien-3beta-ol', '4alpha,14alpha-Dimethyl-24-methylene-5alpha-cholesta-8-en-3beta-ol']	['17791']	['5047']	['R03775', 'R05731']
C02630	['2-Hydroxyglutarate', 'alpha-Hydroxyglutarate']	['17084']	['5610']	['R00932', 'R03534', 'R04000', 'R08198']
C19501	['Polyacrylic acid']	['51133']	['124490173']	[]
C08669	['Cassaidine']	['3453']	['10862']	[]
C17672	['Torachrysone']	['81265']	['96024015']	[]
C10500	['1,3,4,5-Tetracaffeoylquinic acid']	['512']	['12683']	[]
C11841	['N-(3-Oxooctanoyl)homoserine lactone', 'N-(3-Oxooctanoyl)-L-homoserine lactone', 'OOHL']	[]	['14003']	[]
C13808	['Levuglandin D2', 'LGD2', '9,10-Seco-9,11-dioxo-15S-hydroxy-5Z,13E-prostadienoic acid', '9,10-Seco-9,11-dioxo-15S-hydroxy-5Z,13E-prostadienoate']	['34820']	['854053']	[]
