Name	Identifiers_fuzzy	Identifiers_classic	Identifiers	ID	source	name	fuzzy	metaNet
keratan sulfate i biosynthesis, precursor 17	[]	[]	[]	MNXM11953	['bigg.metabolite:ksi_pre17', 'biggM:M_ksi_pre17', 'biggM:ksi_pre17']	keratan sulfate i biosynthesis, precursor 17	[]	[]
ubiquitin	['C00496', '17471']	['C00496', '17471']	['C00496', '17471']	MNXM1098021	['reactome:R-GGA-216946', 'reactomeM:R-GGA-216946']	ubiquitin	['C00496', '17471']	[]
ubiquitin	['C00496', '17471']	['C00496', '17471']	['C00496', '17471']	MNXM1098059	['reactome:R-GGA-434147', 'reactomeM:R-GGA-434147']	ubiquitin	['C00496', '17471']	[]
ubiquitin	['C00496', '17471']	['C00496', '17471']	['C00496', '17471']	MNXM1099288	['reactome:R-MMU-517946', 'reactomeM:R-MMU-517946']	ubiquitin	['C00496', '17471']	[]
ubiquitin	['C00496', '17471']	['C00496', '17471']	['C00496', '17471']	MNXM906	['kegg.compound:C00496', 'keggC:C00496', 'keggC:M_C00496', 'sabiork.compound:2061', 'sabiorkM:2061', 'seed.compound:cpd11689', 'seedM:M_cpd11689', 'seedM:cpd11689']	ubiquitin	['C00496', '17471']	['C00496']
benzo[a]pyrene-2,3-diol	[]	[]	[]	MNXM163759	['bigg.metabolite:CN0009', 'biggM:CN0009', 'biggM:M_CN0009']	benzo[a]pyrene-2,3-diol	[]	[]
12,13-hydroxyoctadec-9(z)-enoate	[]	['84028', '72665', 'C14829']	['84028', '72665', 'C14829']	MNXM6634	['bigg.metabolite:CE2049', 'biggM:CE2049', 'hmdb:HMDB0004705']	12,13-hydroxyoctadec-9(z)-enoate	['72665', 'C14829', '84028']	[]
glycodeoxycholic acid	['C05464', '27471']	['C05464', 'GLYCODEOXYCHOLIC_ACID', '82982', '27471']	['82982', 'GLYCODEOXYCHOLIC_ACID', 'C05464', '27471']	MNXM49076	['hmdb:HMDB0000631']	glycodeoxycholic acid	['C05464', 'GLYCODEOXYCHOLIC_ACID', '82982', '27471']	[]
glycodeoxycholic acid	['C05464', '27471']	['C05464', 'GLYCODEOXYCHOLIC_ACID', '82982', '27471']	['82982', 'GLYCODEOXYCHOLIC_ACID', 'C05464', '27471']	MNXM740897	['CHEBI:27471', 'bigg.metabolite:M01989', 'biggM:M01989', 'chebi:27471', 'kegg.compound:C05464', 'keggC:C05464', 'lipidmaps:LMST05030006', 'lipidmapsM:LMST05030006', 'metacyc.compound:GLYCODEOXYCHOLIC_ACID', 'metacycM:GLYCODEOXYCHOLIC_ACID', 'seed.compound:cpd03245', 'seedM:cpd03245']	glycodeoxycholic acid	['C05464', 'GLYCODEOXYCHOLIC_ACID', '82982', '27471']	['C05464', 'GLYCODEOXYCHOLIC_ACID', '27471']
7,12-dimethylbenz[a]anthracene-3,4-diol-1,2-epoxide	[]	['C19559', '82558']	['C19559', '82558']	MNXM13488	['bigg.metabolite:CN0023', 'biggM:CN0023']	7,12-dimethylbenz[a]anthracene-3,4-diol-1,2-epoxide	['C19559', '82558']	[]
4'-carboxy-5'-cholesta-8,24-dien-3'-ol	['143575', '|CPD-4702|']	[]	['|CPD-4702|', '143575']	MNXM1092228	['bigg.metabolite:M00955', 'biggM:M00955', 'biggM:M_M00955']	4'-carboxy-5'-cholesta-8,24-dien-3'-ol	['CPD-4702', '143575']	[]
(gal)3 (galnac)1 (glc)1 (glcnac)2 (lfuc)1 (cer)1	['62540']	['G00072', 'G04888', '62540', 'G02817']	['G00072', 'G04888', '62540', 'G02817']	MNXM1104473	['bigg.metabolite:acgalfucgalacglcgal14acglcgalgluside_hs', 'biggM:M_acgalfucgalacglcgal14acglcgalgluside_hs', 'biggM:acgalfucgalacglcgal14acglcgalgluside_hs']	(gal)3 (galnac)1 (glc)1 (glcnac)2 (lfuc)1 (cer)1	['G04888', 'G02817', 'G00072', '62540']	[]
(gal)3 (galnac)1 (glc)1 (glcnac)2 (lfuc)1 (cer)1	['62540']	['G00072', 'G04888', '62540', 'G02817']	['G00072', 'G04888', '62540', 'G02817']	MNXM735643	['bigg.metabolite:acgalfucgalacglcgal14acglcgalgluside_cho', 'biggM:M_acgalfucgalacglcgal14acglcgalgluside_cho', 'biggM:acgalfucgalacglcgal14acglcgalgluside_cho']	(gal)3 (galnac)1 (glc)1 (glcnac)2 (lfuc)1 (cer)1	['G04888', 'G02817', 'G00072', '62540']	[]
maltononaose	[]	[]	[]	MNXM1103698	['bigg.metabolite:CE2838', 'biggM:CE2838', 'biggM:M_CE2838']	maltononaose	[]	[]
maltononaose	[]	[]	[]	MNXM1103699	['hmdb:HMDB0013001', 'hmdb:HMDB13001']	maltononaose	[]	[]
threonyl-arginyl-tyrosine	[]	['163685']	['163685']	MNXM744907	['bigg.metabolite:thrargtyr', 'biggM:M_thrargtyr', 'biggM:thrargtyr']	threonyl-arginyl-tyrosine	['163685']	[]
cholest-5-en-3beta-yl (11z-eicosenoate)	['88795']	['88795', 'Cholesterol-esters']	['Cholesterol-esters', '88795']	MNXM35509	['lipidmaps:LMST01020011', 'lipidmapsM:LMST01020011']	cholest-5-en-3beta-yl (11z-eicosenoate)	['88795', 'Cholesterol-esters']	[]
cholest-5-en-3beta-yl (11z-eicosenoate)	['88795']	['88795', 'Cholesterol-esters']	['Cholesterol-esters', '88795']	MNXM45911	['CHEBI:88795', 'bigg.metabolite:M01458', 'biggM:M01458', 'chebi:88795', 'hmdb:HMDB0005193']	cholest-5-en-3beta-yl (11z-eicosenoate)	['88795', 'Cholesterol-esters']	['88795']
3,4-dihydroxymandelaldehyde	['C05577', '27852']	['C05577', '27852', 'DIHYDROXYPHENYLGLYCOLALDEHYDE']	['DIHYDROXYPHENYLGLYCOLALDEHYDE', 'C05577', '27852']	MNXM1633	['CHEBI:27852', 'bigg.metabolite:34dhmald', 'biggM:34dhmald', 'chebi:27852', 'hmdb:HMDB0006242', 'kegg.compound:C05577', 'keggC:C05577', 'metacyc.compound:DIHYDROXYPHENYLGLYCOLALDEHYDE', 'metacycM:DIHYDROXYPHENYLGLYCOLALDEHYDE', 'seed.compound:cpd03307', 'seedM:cpd03307']	3,4-dihydroxymandelaldehyde	['27852', 'DIHYDROXYPHENYLGLYCOLALDEHYDE', 'C05577']	['DIHYDROXYPHENYLGLYCOLALDEHYDE', '27852', 'C05577']
flavin adenine dinucleotide oxidized	['C00016', '24040', '16238']	['C00016', '73627', '57692', '16238', 'C04253', '|ETF-Oxidized|', '|FAD|']	['C00016', '57692', 'C04253', '|FAD|', '73627', '24040', '|ETF-Oxidized|', '16238']	MNXM1103905	['bigg.metabolite:fad', 'biggM:M_fad', 'biggM:fad']	flavin adenine dinucleotide oxidized	['24040', '16238', 'ETF-Oxidized', '57692', '73627', 'C00016', 'FAD', 'C04253']	[]
neungc	['29025']	['29025', 'C03410']	['C03410', '29025']	MNXM1104635	['bigg.metabolite:HC01115', 'biggM:HC01115', 'biggM:M_HC01115']	neungc	['C03410', '29025']	[]
gama-l-glutamyl-l-alpha-aminobutyrate	['144027']	['133093', '133092']	['144027', '133092', '133093']	MNXM167780	['bigg.metabolite:CE1661', 'biggM:CE1661', 'biggM:M_CE1661']	gama-l-glutamyl-l-alpha-aminobutyrate	['133093', '133092', '144027']	[]
pitavastatin-m13	['71260', '32020']	[]	['71260', '32020']	MNXM744868	['bigg.metabolite:ptvstm13', 'biggM:M_ptvstm13', 'biggM:ptvstm13']	pitavastatin-m13	['32020', '71260']	[]
27alpha-hydroxy-8-dehydrocholesterol	[]	[]	[]	MNXM729367	['bigg.metabolite:CE1294', 'biggM:CE1294', 'biggM:M_CE1294']	27alpha-hydroxy-8-dehydrocholesterol	[]	[]
27alpha-hydroxy-8-dehydrocholesterol	[]	[]	[]	MNXM729368	['hmdb:HMDB0060132', 'hmdb:HMDB60132']	27alpha-hydroxy-8-dehydrocholesterol	[]	[]
3-hydroxyisovaleryl coenzyme a	['28291', 'C05998']	['C05997', '28291', '62555', '3-HYDROXY-ISOVALERYL-COA', 'C05998', '27874']	['62555', '3-HYDROXY-ISOVALERYL-COA', '27874', '28291', 'C05997', 'C05998']	MNXM1104561	['bigg.metabolite:3ivcoa', 'biggM:3ivcoa', 'biggM:M_3ivcoa']	3-hydroxyisovaleryl coenzyme a	['27874', '28291', '3-HYDROXY-ISOVALERYL-COA', 'C05997', '62555', 'C05998']	[]
12-hydroxy-13-o-d-glucuronoside-octadec-9z-enoate	[]	[]	[]	MNXM729331	['bigg.metabolite:CE2305', 'biggM:CE2305', 'biggM:M_CE2305']	12-hydroxy-13-o-d-glucuronoside-octadec-9z-enoate	[]	[]
12-hydroxy-13-o-d-glucuronoside-octadec-9z-enoate	[]	[]	[]	MNXM729332	['hmdb:HMDB0060118', 'hmdb:HMDB60118']	12-hydroxy-13-o-d-glucuronoside-octadec-9z-enoate	[]	[]
n-carbamoyl-beta-alaninate	['18261', 'C02642', '11892']	['C02642', '11892', '3-UREIDO-PROPIONATE']	['18261', 'C02642', '3-UREIDO-PROPIONATE', '11892']	MNXM802	['CHEBI:11892', 'chebi:11892', 'hmdb:HMDB0062812']	n-carbamoyl-beta-alaninate	['11892', '18261', 'C02642', '3-UREIDO-PROPIONATE']	['11892']
chondroitin sulfate d (glcnac6s-glca2s), free chain	[]	[]	[]	MNXM8409	['bigg.metabolite:cs_d', 'biggM:M_cs_d', 'biggM:cs_d']	chondroitin sulfate d (glcnac6s-glca2s), free chain	[]	[]
am1c9 (cyclosporine)	[]	[]	[]	MNXM744610	['bigg.metabolite:am1c9cs', 'biggM:M_am1c9cs', 'biggM:am1c9cs']	am1c9 (cyclosporine)	[]	[]
n(8)-acetylspermidine	['|CPD-3462|', 'C01029', '27911', '58535']	['27911', '58535', 'C01029', 'CPD-3462']	['CPD-3462', '|CPD-3462|', 'C01029', '58535', '27911']	MNXM1679	['CHEBI:27911', 'CHEBI:58535', 'bigg.metabolite:n8aspmd', 'biggM:M_n8aspmd', 'biggM:n8aspmd', 'chebi:21900', 'chebi:27911', 'chebi:58535', 'chebi:7420', 'hmdb:HMDB0002189', 'hmdb:HMDB0060288', 'hmdb:HMDB02189', 'hmdb:HMDB60288', 'kegg.compound:C01029', 'keggC:C01029', 'keggC:M_C01029', 'metacyc.compound:CPD-3462', 'metacycM:CPD-3462', 'seed.compound:cpd00758', 'seedM:M_cpd00758', 'seedM:cpd00758']	n(8)-acetylspermidine	['CPD-3462', 'C01029', '27911', '58535']	['C01029', '7420', '21900', 'CPD-3462', '27911', '58535']
octadecadienoate (n-c18:2)	[]	['137735', '75108', 'C01595', 'LINOLEIC_ACID', '86141', '92157', '30245', '17351']	['86141', '17351', 'C01595', 'LINOLEIC_ACID', '30245', '137735', '75108', '92157']	MNXM146422	['seed.compound:cpd16888', 'seedM:M_cpd16888', 'seedM:cpd16888']	octadecadienoate (n-c18:2)	['LINOLEIC_ACID', '137735', '17351', 'C01595', '92157', '75108', '86141', '30245']	[]
vi3neuac-nlc6cer	['G00088', '61850']	['61850', 'G00088']	['G00088', '61850']	MNXM731276	['hmdb:HMDB0062450', 'hmdb:HMDB62450']	vi3neuac-nlc6cer	['G00088', '61850']	[]
vi3neuac-nlc6cer	['G00088', '61850']	['61850', 'G00088']	['G00088', '61850']	MNXM731277	['bigg.metabolite:acngalacglcgal14acglcgalgluside_cho', 'biggM:M_acngalacglcgal14acglcgalgluside_cho', 'biggM:acngalacglcgal14acglcgalgluside_cho']	vi3neuac-nlc6cer	['G00088', '61850']	[]
vi3neuac-nlc6cer	['G00088', '61850']	['61850', 'G00088']	['G00088', '61850']	MNXM731278	['kegg.glycan:G00088', 'keggG:G00088', 'keggG:M_G00088']	vi3neuac-nlc6cer	['G00088', '61850']	[]
vi3neuac-nlc6cer	['G00088', '61850']	['61850', 'G00088']	['G00088', '61850']	MNXM731279	['seed.compound:cpd21573', 'seedM:M_cpd21573', 'seedM:cpd21573']	vi3neuac-nlc6cer	['G00088', '61850']	[]
vi3neuac-nlc6cer	['G00088', '61850']	['61850', 'G00088']	['G00088', '61850']	MNXM9231	['bigg.metabolite:acngalacglcgal14acglcgalgluside_hs', 'biggM:M_acngalacglcgal14acglcgalgluside_hs', 'biggM:acngalacglcgal14acglcgalgluside_hs']	vi3neuac-nlc6cer	['G00088', '61850']	[]
5alpha-androstane-3alpha,17beta-diol	['18011', '36713', 'C03852']	['36713']	['18011', '36713', 'C03852']	MNXM729267	['CHEBI:18011', 'CHEBI:36713', 'SLM:000001057', 'SLM:000390126', 'bigg.metabolite:CE2209', 'biggM:CE2209', 'biggM:M_CE2209', 'chebi:13831', 'chebi:18011', 'chebi:2711', 'chebi:36713', 'hmdb:HMDB0000554', 'hmdb:HMDB00554', 'kegg.compound:C03852', 'keggC:C03852', 'keggC:M_C03852', 'lipidmaps:LMST02020052', 'lipidmapsM:LMST02020052', 'metacyc.compound:ANDROSTAN-3-ALPHA17-BETA-DIOL', 'metacyc.compound:CPD-13179', 'metacycM:ANDROSTAN-3-ALPHA17-BETA-DIOL', 'metacycM:CPD-13179', 'seed.compound:cpd02403', 'seed.compound:cpd23769', 'seedM:M_cpd02403', 'seedM:M_cpd23769', 'seedM:cpd02403', 'seedM:cpd23769', 'slm:000001057', 'slm:000390126']	5alpha-androstane-3alpha,17beta-diol	['36713', 'C03852', '18011']	['CPD-13179', 'ANDROSTAN-3-ALPHA17-BETA-DIOL', '18011', 'C03852', '36713', '2711', '13831']
5alpha-androstane-3alpha,17beta-diol	['18011', '36713', 'C03852']	['36713']	['18011', '36713', 'C03852']	MNXM729269	['sabiork.compound:23012', 'sabiorkM:23012']	5alpha-androstane-3alpha,17beta-diol	['36713', 'C03852', '18011']	[]
heptaglutamyl folate (thf)	[]	[]	[]	MNXM5780	['bigg.metabolite:7thf', 'biggM:7thf', 'biggM:M_7thf']	heptaglutamyl folate (thf)	[]	[]
5beta-cholestan-7alpha,12alpha,27-triol-3-one	[]	['48834']	['48834']	MNXM1103395	['bigg.metabolite:M01082', 'biggM:M01082', 'biggM:M_M01082']	5beta-cholestan-7alpha,12alpha,27-triol-3-one	['48834']	[]
4-oh-9-cis-retinal	[]	['139346']	['139346']	MNXM164317	['bigg.metabolite:CE5592', 'biggM:CE5592', 'biggM:M_CE5592']	4-oh-9-cis-retinal	['139346']	[]
10z,13z,16z-docosatrienoylcarnitine	[]	[]	[]	MNXM744524	['bigg.metabolite:M00263', 'biggM:M00263', 'biggM:M_M00263']	10z,13z,16z-docosatrienoylcarnitine	[]	[]
(gal)1 (galnac)1 (glcnac)1 (ser/thr)1	[]	['G00032', 'G00025']	['G00025', 'G00032']	MNXM1092271	['bigg.metabolite:M01872', 'biggM:M01872', 'biggM:M_M01872']	(gal)1 (galnac)1 (glcnac)1 (ser/thr)1	['G00032', 'G00025']	[]
24,25,26,27-tetranor-23-oxo-hydroxyvitamin d3	[]	['47820']	['47820']	MNXM730938	['bigg.metabolite:CE6027', 'biggM:CE6027', 'biggM:M_CE6027']	24,25,26,27-tetranor-23-oxo-hydroxyvitamin d3	['47820']	[]
24,25,26,27-tetranor-23-oxo-hydroxyvitamin d3	[]	['47820']	['47820']	MNXM730939	['hmdb:HMDB0060114', 'hmdb:HMDB60114']	24,25,26,27-tetranor-23-oxo-hydroxyvitamin d3	['47820']	[]
6-hydroxy-fluvastatin-glucuronide	[]	[]	[]	MNXM744473	['bigg.metabolite:6ohfvsglu', 'biggM:6ohfvsglu', 'biggM:M_6ohfvsglu']	6-hydroxy-fluvastatin-glucuronide	[]	[]
1-palmitoyl-dihydroxyacetone-phosphate	['58303', '17868']	['17868', 'C01192', '58303']	['58303', '17868', 'C01192']	MNXM1061	['hmdb:HMDB0062190']	1-palmitoyl-dihydroxyacetone-phosphate	['C01192', '17868', '58303']	[]
gamma-linolenate	['|CPD-8117|', '32391', 'C06426']	['32391', 'CPD-8117', 'C06426', '28661']	['|CPD-8117|', 'CPD-8117', 'C06426', '28661', '32391']	MNXM3995	['CHEBI:32391', 'chebi:32391', 'hmdb:HMDB0003073', 'metacyc.compound:CPD-8117', 'metacycM:CPD-8117', 'seed.compound:cpd03849', 'seedM:cpd03849']	gamma-linolenate	['C06426', 'CPD-8117', '32391', '28661']	['CPD-8117', '32391']
