Name	Identifiers_fuzzy	Identifiers_classic	Identifiers	ID	source	name	fuzzy	metaNet
3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid	['11799', '16835']	['C05313', '11799', '57916', '16835']	['11799', 'C05313', '57916', '16835']	MNXM3166	['CHEBI:16835', 'chebi:16835', 'hmdb:HMDB0000977', 'lipidmaps:LMPR02010044', 'lipidmapsM:LMPR02010044', 'metacyc.compound:CPD-21769', 'metacycM:CPD-21769', 'reactome:R-ALL-2164809', 'reactomeM:R-ALL-2164809']	3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid	['11799', '16835', 'C05313', '57916']	['CPD-21769', '16835']
episteryl palmitoleate	['52376']	['52376']	['52376']	MNXM52369	['CHEBI:52376', 'chebi:52376', 'lipidmaps:LMST01031009', 'lipidmapsM:LMST01031009']	episteryl palmitoleate	['52376']	['52376']
episteryl oleate	['52375']	['52375']	['52375']	MNXM52367	['CHEBI:52375', 'chebi:52375', 'lipidmaps:LMST01031008', 'lipidmapsM:LMST01031008']	episteryl oleate	['52375']	['52375']
2,5-diamino-6-(5-phosphono)ribitylamino-4(3h)-pyrimidinone	['52402']	['C18910', '52402']	['C18910', '52402']	MNXM1099	['CHEBI:52402', 'chebi:52402']	2,5-diamino-6-(5-phosphono)ribitylamino-4(3h)-pyrimidinone	['52402', 'C18910']	['52402']
3',5'-cyclic gmp	['16356', 'C00942']	['16356', '57746', 'C00942']	['57746', '16356', 'C00942']	MNXM731192	['CHEBI:16356', 'CHEBI:57746', 'bigg.metabolite:35cgmp', 'biggM:35cgmp', 'biggM:M_35cgmp', 'chebi:11675', 'chebi:1327', 'chebi:14377', 'chebi:16356', 'chebi:19829', 'chebi:39915', 'chebi:44955', 'chebi:44957', 'chebi:57746', 'hmdb:HMDB0001314', 'hmdb:HMDB01314', 'kegg.compound:C00942', 'keggC:C00942', 'keggC:M_C00942', 'metacyc.compound:CGMP', 'metacycM:CGMP', 'reactome:R-ALL-30991', 'reactomeM:R-ALL-30991', 'sabiork.compound:1692', 'sabiorkM:1692', 'seed.compound:cpd00697', 'seedM:M_cpd00697', 'seedM:cpd00697']	3',5'-cyclic gmp	['C00942', '16356', '57746']	['16356', '19829', '39915', 'C00942', '11675', '14377', '57746', '44955', '44957', 'CGMP', '1327']
lignoceric acid	['C08320', '28866']	['C08320', '28866', 'TETRACOSANOATE', '31014']	['TETRACOSANOATE', '31014', 'C08320', '28866']	MNXM3297	['CHEBI:28866', 'bigg.metabolite:lgnc', 'biggM:lgnc', 'chebi:28866', 'hmdb:HMDB0002003', 'kegg.compound:C08320', 'keggC:C08320', 'lipidmaps:LMFA01010024', 'lipidmapsM:LMFA01010024', 'metacyc.compound:TETRACOSANOATE', 'metacycM:TETRACOSANOATE', 'reactome:R-ALL-879505', 'reactome:R-ALL-879605', 'reactomeM:R-ALL-879505', 'reactomeM:R-ALL-879605', 'sabiork.compound:10419', 'sabiorkM:10419', 'seed.compound:cpd05235', 'seedM:cpd05235']	lignoceric acid	['28866', 'C08320', '31014', 'TETRACOSANOATE']	['C08320', 'TETRACOSANOATE', '28866']
5-o-(1-carboxyvinyl)-3-phosphoshikimic acid	['16257']	['C01269', '57701', '16257']	['C01269', '16257', '57701']	MNXM1365	['CHEBI:16257', 'chebi:16257']	5-o-(1-carboxyvinyl)-3-phosphoshikimic acid	['C01269', '57701', '16257']	['16257']
5,6,7,8-tetrahydrofolyl-l-glutamic acid	['27650']	['C09332', '27650']	['27650', 'C09332']	MNXM1104336	['CHEBI:27650', 'chebi:27650']	5,6,7,8-tetrahydrofolyl-l-glutamic acid	['C09332', '27650']	['27650']
3-phospho-hydroxypyruvate	['30933', 'C03232', '18110']	['18110', '30933', '3-P-HYDROXYPYRUVATE', 'C03232']	['30933', '3-P-HYDROXYPYRUVATE', 'C03232', '18110']	MNXM541	['metacyc.compound:3-P-HYDROXYPYRUVATE', 'metacycM:3-P-HYDROXYPYRUVATE', 'seed.compound:cpd02069', 'seedM:cpd02069']	3-phospho-hydroxypyruvate	['30933', 'C03232', '3-P-HYDROXYPYRUVATE', '18110']	['3-P-HYDROXYPYRUVATE']
mannan	['28808', 'C00464']	['C00464', '28808', 'G10542']	['28808', 'G10542', 'C00464']	MNXM732280	['bigg.metabolite:mannan', 'biggM:M_mannan', 'biggM:mannan']	mannan	['G10542', '28808', 'C00464']	[]
mannan	['28808', 'C00464']	['C00464', '28808', 'G10542']	['28808', 'G10542', 'C00464']	MNXM732282	['CHEBI:28808', 'chebi:25159', 'chebi:28808', 'chebi:6684', 'reactome:R-ALL-5621136', 'reactomeM:R-ALL-5621136']	mannan	['G10542', '28808', 'C00464']	['25159', '28808', '6684']
mannan	['28808', 'C00464']	['C00464', '28808', 'G10542']	['28808', 'G10542', 'C00464']	MNXM732284	['seed.compound:cpd11685', 'seedM:M_cpd11685', 'seedM:cpd11685']	mannan	['G10542', '28808', 'C00464']	[]
mannan	['28808', 'C00464']	['C00464', '28808', 'G10542']	['28808', 'G10542', 'C00464']	MNXM735376	['kegg.compound:C00464', 'keggC:C00464', 'keggC:M_C00464']	mannan	['G10542', '28808', 'C00464']	['C00464']
4-guanidinobutanamide	['18062', 'C03078']	['18062', 'C03078', '58365']	['58365', '18062', 'C03078']	MNXM2617	['CHEBI:18062', 'CHEBI:58365', 'bigg.metabolite:4gudbd', 'biggM:4gudbd', 'biggM:M_4gudbd', 'chebi:11990', 'chebi:18062', 'chebi:1833', 'chebi:20371', 'chebi:58365', 'kegg.compound:C03078', 'keggC:C03078', 'keggC:M_C03078', 'metacyc.compound:4-GUANIDO-BUTYRAMIDE', 'metacycM:4-GUANIDO-BUTYRAMIDE', 'seed.compound:cpd01973', 'seedM:M_cpd01973', 'seedM:cpd01973']	4-guanidinobutanamide	['C03078', '18062', '58365']	['58365', '20371', 'C03078', '18062', '1833', '4-GUANIDO-BUTYRAMIDE', '11990']
phenylacetic acid	['30745', 'C07086']	['18401', 'C07086', '30745', 'PHENYLACETATE']	['30745', 'PHENYLACETATE', 'C07086', '18401']	MNXM737265	['CHEBI:30745', 'bigg.metabolite:pac', 'biggM:pac', 'chebi:30745', 'hmdb:HMDB0000209', 'kegg.compound:C07086', 'keggC:C07086', 'metacyc.compound:PHENYLACETATE', 'metacycM:PHENYLACETATE', 'sabiork.compound:9203', 'sabiorkM:9203', 'seed.compound:cpd19069', 'seedM:cpd19069']	phenylacetic acid	['PHENYLACETATE', '30745', '18401', 'C07086']	['PHENYLACETATE', '30745', 'C07086']
phenylacetic acid	['30745', 'C07086']	['18401', 'C07086', '30745', 'PHENYLACETATE']	['30745', 'PHENYLACETATE', 'C07086', '18401']	MNXM737266	['seed.compound:cpd00430', 'seedM:cpd00430']	phenylacetic acid	['PHENYLACETATE', '30745', '18401', 'C07086']	[]
protein asparagine	['C03021', '18342', '14927']	['C03021']	['C03021', '18342', '14927']	MNXM145923	['bigg.metabolite:Asn_X_Ser_Thr', 'biggM:Asn_X_Ser_Thr', 'biggM:M_Asn_X_Ser_Thr', 'kegg.compound:C03021', 'keggC:C03021', 'keggC:M_C03021', 'seed.compound:cpd12235', 'seedM:M_cpd12235', 'seedM:cpd12235']	protein asparagine	['C03021', '18342', '14927']	['C03021']
mg(2+)	['18420']	['18420', 'C00305']	['C00305', '18420']	MNXM653	['CHEBI:18420', 'CHEBI:39127', 'bigg.metabolite:mg2', 'biggM:M_mg2', 'biggM:mg2', 'chebi:13379', 'chebi:18420', 'chebi:25112', 'chebi:39127', 'chebi:49736', 'chebi:6635', 'hmdb:HMDB0000547', 'hmdb:HMDB00547', 'kegg.compound:C00305', 'keggC:C00305', 'keggC:M_C00305', 'metacyc.compound:MG+2', 'metacycM:MG+2', 'reactome:R-ALL-109496', 'reactome:R-ALL-114631', 'reactome:R-ALL-114632', 'reactome:R-ALL-140344', 'reactome:R-ALL-191328', 'reactome:R-ALL-200503', 'reactome:R-ALL-217314', 'reactome:R-ALL-2509819', 'reactome:R-ALL-29926', 'reactome:R-ALL-5336432', 'reactomeM:R-ALL-109496', 'reactomeM:R-ALL-114631', 'reactomeM:R-ALL-114632', 'reactomeM:R-ALL-140344', 'reactomeM:R-ALL-191328', 'reactomeM:R-ALL-200503', 'reactomeM:R-ALL-217314', 'reactomeM:R-ALL-2509819', 'reactomeM:R-ALL-29926', 'reactomeM:R-ALL-5336432', 'sabiork.compound:1327', 'sabiorkM:1327', 'seed.compound:cpd00254', 'seedM:M_cpd00254', 'seedM:cpd00254']	mg(2+)	['C00305', '18420']	['18420', '39127', 'C00305', '49736', 'MG+2', '6635', '25112', '13379']
trna(tyr)	['C00787', '29182']	['C00787', '29182']	['C00787', '29182']	MNXM1091294	['rheaG:9707']	trna(tyr)	['C00787', '29182']	[]
trna(phe)	['29184', 'C01648']	['C01648', '29184']	['29184', 'C01648']	MNXM1091278	['rheaG:9668']	trna(phe)	['29184', 'C01648']	[]
d-erythro-1-(imidazol-4-yl)glycerol 3-phosphate	['|D-ERYTHRO-IMIDAZOLE-GLYCEROL-P|', '58278', 'C04666', '17805']	['17805', '58278', 'C04666']	['|D-ERYTHRO-IMIDAZOLE-GLYCEROL-P|', '58278', 'C04666', '17805']	MNXM1422	['CHEBI:17805', 'CHEBI:58278', 'bigg.metabolite:eig3p', 'biggM:M_eig3p', 'biggM:eig3p', 'chebi:12888', 'chebi:17805', 'chebi:20923', 'chebi:4270', 'chebi:58278', 'hmdb:HMDB0012208', 'hmdb:HMDB12208', 'kegg.compound:C04666', 'keggC:C04666', 'keggC:M_C04666', 'metacyc.compound:D-ERYTHRO-IMIDAZOLE-GLYCEROL-P', 'metacycM:D-ERYTHRO-IMIDAZOLE-GLYCEROL-P', 'sabiork.compound:7476', 'sabiorkM:7476', 'seed.compound:cpd02843', 'seedM:M_cpd02843', 'seedM:cpd02843']	d-erythro-1-(imidazol-4-yl)glycerol 3-phosphate	['D-ERYTHRO-IMIDAZOLE-GLYCEROL-P', 'C04666', '17805', '58278']	['20923', '17805', 'D-ERYTHRO-IMIDAZOLE-GLYCEROL-P', 'C04666', '58278', '12888', '4270']
isoamyl acetate	['31725', 'C12296']	['31725', 'C12296']	['31725', 'C12296']	MNXM7451	['CHEBI:31725', 'bigg.metabolite:iamac', 'biggM:iamac', 'chebi:31725', 'hmdb:HMDB0031528', 'kegg.compound:C12296', 'keggC:C12296', 'metacyc.compound:CPD-19626', 'metacycM:CPD-19626', 'sabiork.compound:14329', 'sabiorkM:14329', 'seed.compound:cpd09068', 'seedM:cpd09068']	isoamyl acetate	['31725', 'C12296']	['31725', 'C12296', 'CPD-19626']
g00004	['G00004']	[]	['G00004']	MNXM512170	['seed.compound:cpd29763', 'seedM:M_cpd29763', 'seedM:cpd29763']	g00004	['G00004']	[]
g00004	['G00004']	[]	['G00004']	MNXM726448	['kegg.glycan:G00004', 'keggG:G00004', 'keggG:M_G00004']	g00004	['G00004']	[]
pentaprenyl diphosphate	['C04217', '53048', '16818']	['53048']	['C04217', '53048', '16818']	MNXM732669	['CHEBI:53048', 'chebi:53048']	pentaprenyl diphosphate	['C04217', '53048', '16818']	['53048']
beta-d-glucose	['15903', 'C00221']	['15903', 'C00221']	['15903', 'C00221']	MNXM105	['CHEBI:15903', 'bigg.metabolite:glc_D_B', 'bigg.metabolite:glc__bD', 'biggM:M_glc_D_B', 'biggM:M_glc__bD', 'biggM:glc_D_B', 'biggM:glc__bD', 'chebi:10397', 'chebi:12373', 'chebi:15903', 'chebi:22795', 'chebi:41140', 'hmdb:HMDB0000516', 'hmdb:HMDB0003340', 'hmdb:HMDB00516', 'hmdb:HMDB03340', 'kegg.compound:C00221', 'keggC:C00221', 'keggC:M_C00221', 'metacyc.compound:GLC', 'metacycM:GLC', 'sabiork.compound:1378', 'sabiorkM:1378', 'seed.compound:cpd00190', 'seedM:M_cpd00190', 'seedM:cpd00190']	beta-d-glucose	['C00221', '15903']	['C00221', '10397', '22795', '41140', 'GLC', '15903', '12373']
nicotinic acid d-ribonucleotide	['15763', 'C01185']	['C01185', '15763']	['15763', 'C01185']	MNXM732152	['CHEBI:15763', 'chebi:15763', 'hmdb:HMDB0059646', 'reactome:R-ALL-197220', 'reactome:R-ALL-200492', 'reactomeM:R-ALL-197220', 'reactomeM:R-ALL-200492']	nicotinic acid d-ribonucleotide	['15763', 'C01185']	['15763']
dna	['16991', 'C00039']	['16991', 'C00039']	['C00039', '16991']	MNXM634	['CHEBI:16991', 'bigg.metabolite:dna', 'biggM:M_dna', 'biggM:dna', 'chebi:13302', 'chebi:16991', 'chebi:21123', 'chebi:33698', 'chebi:4291', 'kegg.compound:C00039', 'keggC:C00039', 'keggC:M_C00039', 'metacyc.compound:DNA-Holder', 'metacycM:DNA-Holder', 'reactome:R-ALL-874088', 'reactome:R-ALL-976796', 'reactomeM:R-ALL-874088', 'reactomeM:R-ALL-976796', 'sabiork.compound:1770', 'sabiorkM:1770', 'seed.compound:cpd11461', 'seedM:M_cpd11461', 'seedM:cpd11461']	dna	['16991', 'C00039']	['21123', 'DNA-Holder', '13302', '16991', 'C00039', '33698', '4291']
(r)-5-diphosphomevalonic acid	['15899']	['15899', 'C01143', '57557']	['15899', 'C01143', '57557']	MNXM733934	['CHEBI:15899', 'chebi:15899', 'hmdb:HMDB0001090', 'lipidmaps:LMFA01050416', 'lipidmapsM:LMFA01050416', 'reactome:R-ALL-191403', 'reactomeM:R-ALL-191403']	(r)-5-diphosphomevalonic acid	['15899', 'C01143', '57557']	['15899']
(r)-5-diphosphomevalonic acid	['15899']	['15899', 'C01143', '57557']	['15899', 'C01143', '57557']	MNXM733935	['hmdb:HMDB0001981']	(r)-5-diphosphomevalonic acid	['15899', 'C01143', '57557']	[]
10-formyl-thf	['C00234', '15637']	['15637', 'C00234']	['C00234', '15637']	MNXM1102376	['CHEBI:15637', 'chebi:15637', 'hmdb:HMDB0000972', 'kegg.compound:C00234', 'keggC:C00234', 'reactome:R-ALL-419151', 'reactome:R-ALL-5389850', 'reactomeM:R-ALL-419151', 'reactomeM:R-ALL-5389850', 'seed.compound:cpd00201', 'seedM:cpd00201']	10-formyl-thf	['15637', 'C00234']	['15637', 'C00234']
10-formyl-thf	['C00234', '15637']	['15637', 'C00234']	['C00234', '15637']	MNXM1102377	['sabiork.compound:1318', 'sabiorkM:1318']	10-formyl-thf	['15637', 'C00234']	[]
