Name	Identifiers_fuzzy	Identifiers_classic	Identifiers	ID	source	name	fuzzy	metaNet
(2e)-hexadecenoyl-[acp]	['10729', 'C05763']	['10729', 'C05763']	['10729', 'C05763']	MNXM1091261	['rheaG:9651']	(2e)-hexadecenoyl-[acp]	['10729', 'C05763']	[]
5'-thymidylic acid	['17013', 'C00364']	['17013', 'C00364']	['17013', 'C00364']	MNXM257	['CHEBI:17013', 'chebi:17013', 'hmdb:HMDB0001227', 'kegg.compound:C00364', 'keggC:C00364', 'metacyc.compound:TMP', 'metacycM:TMP', 'reactome:R-ALL-109292', 'reactome:R-ALL-109366', 'reactome:R-ALL-109509', 'reactomeM:R-ALL-109292', 'reactomeM:R-ALL-109366', 'reactomeM:R-ALL-109509', 'sabiork.compound:65', 'sabiorkM:65', 'seed.compound:cpd00298', 'seedM:cpd00298']	5'-thymidylic acid	['17013', 'C00364']	['17013', 'TMP', 'C00364']
5,10-methylene-thf	['C00143', '1989']	['C00143', '1989']	['C00143', '1989']	MNXM1102150	['CHEBI:1989', 'chebi:1989', 'hmdb:HMDB0001533', 'kegg.compound:C00143', 'keggC:C00143', 'seed.compound:cpd00125', 'seedM:cpd00125']	5,10-methylene-thf	['C00143', '1989']	['C00143', '1989']
5,10-methylene-thf	['C00143', '1989']	['C00143', '1989']	['C00143', '1989']	MNXM1102151	['sabiork.compound:1308', 'sabiorkM:1308']	5,10-methylene-thf	['C00143', '1989']	[]
fructose 6-phosphate	['C00085', 'C05345', '61553', '16084', '15946']	['C00085', 'CPD-15709', '15946', '88003', 'C05345', '16084']	['88003', 'C00085', 'C05345', '61553', '16084', 'CPD-15709', '15946']	MNXM512144	['CHEBI:88003', 'chebi:88003']	fructose 6-phosphate	['15946', '16084', '88003', 'CPD-15709', '61553', 'C05345', 'C00085']	['88003']
5alpha-cholesta-7,24-dien-3beta-ol	['C05439', '16290', '|5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL|']	['C05439', '16290']	['C05439', '16290', '|5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL|']	MNXM730468	['CHEBI:145214', 'CHEBI:16290', 'SLM:000000469', 'bigg.metabolite:chlstol', 'biggM:M_chlstol', 'biggM:chlstol', 'chebi:12171', 'chebi:145214', 'chebi:16290', 'chebi:2140', 'chebi:23183', 'hmdb:HMDB0000997', 'hmdb:HMDB0006842', 'hmdb:HMDB00997', 'hmdb:HMDB06842', 'kegg.compound:C05439', 'keggC:C05439', 'keggC:M_C05439', 'lipidmaps:LMST01010206', 'lipidmapsM:LMST01010206', 'metacyc.compound:5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL', 'metacycM:5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL', 'reactome:R-ALL-195691', 'reactomeM:R-ALL-195691', 'seed.compound:cpd03222', 'seedM:M_cpd03222', 'seedM:cpd03222', 'slm:000000469']	5alpha-cholesta-7,24-dien-3beta-ol	['C05439', '16290', '5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL']	['12171', '145214', '16290', '2140', '23183', '5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL', 'C05439']
5alpha-cholesta-7,24-dien-3beta-ol	['C05439', '16290', '|5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL|']	['C05439', '16290']	['C05439', '16290', '|5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL|']	MNXM730469	['sabiork.compound:7911', 'sabiorkM:7911']	5alpha-cholesta-7,24-dien-3beta-ol	['C05439', '16290', '5-ALPHA-CHOLESTA-724-DIEN-3-BETA-OL']	[]
uridine 5'-monophosphate	['C00105', '16695']	['46470', '16695', 'C00105']	['46470', 'C00105', '16695']	MNXM1104824	['CHEBI:16695', 'chebi:16695', 'hmdb:HMDB0000288', 'kegg.compound:C00105', 'keggC:C00105', 'metacyc.compound:UMP', 'metacycM:UMP', 'reactome:R-ALL-109280', 'reactome:R-ALL-109402', 'reactome:R-ALL-109512', 'reactome:R-ALL-418075', 'reactome:R-ALL-735698', 'reactomeM:R-ALL-109280', 'reactomeM:R-ALL-109402', 'reactomeM:R-ALL-109512', 'reactomeM:R-ALL-418075', 'reactomeM:R-ALL-735698', 'sabiork.compound:1300', 'sabiorkM:1300', 'seed.compound:cpd00091', 'seedM:cpd00091']	uridine 5'-monophosphate	['16695', '46470', 'C00105']	['UMP', '16695', 'C00105']
aicar	['C04677', '18406']	['C04677', '18406', '28498']	['C04677', '28498', '18406']	MNXM1103366	['CHEBI:18406', 'chebi:18406', 'hmdb:HMDB0001517', 'kegg.compound:C04677', 'keggC:C04677', 'metacyc.compound:AICAR', 'metacycM:AICAR', 'reactome:R-ALL-111409', 'reactomeM:R-ALL-111409', 'sabiork.compound:1891', 'sabiorkM:1891', 'seed.compound:cpd02851', 'seedM:cpd02851']	aicar	['28498', 'C04677', '18406']	['AICAR', 'C04677', '18406']
aicar	['C04677', '18406']	['C04677', '18406', '28498']	['C04677', '28498', '18406']	MNXM39971	['CHEBI:28498', 'chebi:28498', 'hmdb:HMDB0062179', 'metacyc.compound:CPD-22415', 'metacycM:CPD-22415']	aicar	['28498', 'C04677', '18406']	['CPD-22415', '28498']
aicar	['C04677', '18406']	['C04677', '18406', '28498']	['C04677', '28498', '18406']	MNXM736125	['hmdb:HMDB0003192']	aicar	['28498', 'C04677', '18406']	[]
aicar	['C04677', '18406']	['C04677', '18406', '28498']	['C04677', '28498', '18406']	MNXM737372	['hmdb:HMDB0062424']	aicar	['28498', 'C04677', '18406']	[]
(r)-3-hydroxydecanoyl-[acyl-carrier protein]	['C04619', '16873']	['C04619']	['C04619', '16873']	MNXM728730	['bigg.metabolite:3hdecACP', 'biggM:3hdecACP', 'biggM:M_3hdecACP']	(r)-3-hydroxydecanoyl-[acyl-carrier protein]	['16873', 'C04619']	[]
(r)-3-hydroxydecanoyl-[acyl-carrier protein]	['C04619', '16873']	['C04619']	['C04619', '16873']	MNXM728731	['seed.compound:cpd11482', 'seedM:M_cpd11482', 'seedM:cpd11482']	(r)-3-hydroxydecanoyl-[acyl-carrier protein]	['16873', 'C04619']	[]
deoxyadenosine monophosphate	['17713', 'C00360']	['C00360', 'DAMP', '17713']	['DAMP', '17713', 'C00360']	MNXM432	['CHEBI:17713', 'chebi:17713', 'hmdb:HMDB0000905', 'kegg.compound:C00360', 'keggC:C00360', 'reactome:R-ALL-109295', 'reactome:R-ALL-109386', 'reactome:R-ALL-109732', 'reactomeM:R-ALL-109295', 'reactomeM:R-ALL-109386', 'reactomeM:R-ALL-109732', 'sabiork.compound:62', 'sabiorkM:62', 'seed.compound:cpd00294', 'seedM:cpd00294']	deoxyadenosine monophosphate	['17713', 'DAMP', 'C00360']	['17713', 'C00360']
l-lactic acid	['422', 'C00186', '16651']	['16651', '422', 'C00186', 'L-LACTATE']	['422', 'L-LACTATE', 'C00186', '16651']	MNXM731834	['hmdb:HMDB0000190', 'hmdb:HMDB0001311']	l-lactic acid	['422', 'L-LACTATE', '16651', 'C00186']	[]
l-lactic acid	['422', 'C00186', '16651']	['16651', '422', 'C00186', 'L-LACTATE']	['422', 'L-LACTATE', 'C00186', '16651']	MNXM731835	['CHEBI:422', 'chebi:422', 'kegg.compound:C00186', 'keggC:C00186', 'reactome:R-ALL-29708', 'reactome:R-ALL-373863', 'reactomeM:R-ALL-29708', 'reactomeM:R-ALL-373863', 'sabiork.compound:1312', 'sabiorkM:1312', 'seed.compound:cpd00159', 'seedM:cpd00159']	l-lactic acid	['422', 'L-LACTATE', '16651', 'C00186']	['422', 'C00186']
l-lactic acid	['422', 'C00186', '16651']	['16651', '422', 'C00186', 'L-LACTATE']	['422', 'L-LACTATE', 'C00186', '16651']	MNXM733758	['hmdb:HMDB0144295']	l-lactic acid	['422', 'L-LACTATE', '16651', 'C00186']	[]
3-mercaptopyruvic acid	['16208', 'C00957']	['16208', 'C00957', '3-MERCAPTO-PYRUVATE', '57678']	['3-MERCAPTO-PYRUVATE', '16208', 'C00957', '57678']	MNXM1214	['CHEBI:16208', 'chebi:16208', 'hmdb:HMDB0001368', 'kegg.compound:C00957', 'keggC:C00957', 'metacyc.compound:3-MERCAPTO-PYRUVATE', 'metacycM:3-MERCAPTO-PYRUVATE', 'seed.compound:cpd00706', 'seedM:cpd00706']	3-mercaptopyruvic acid	['3-MERCAPTO-PYRUVATE', '57678', '16208', 'C00957']	['C00957', '16208', '3-MERCAPTO-PYRUVATE']
xylulose 5-phosphate	['57737', 'C03291', 'C00231', '27354', '|XYLULOSE-5-PHOSPHATE|', '16332', '16593']	['27354']	['57737', 'C03291', 'C00231', '27354', '|XYLULOSE-5-PHOSPHATE|', '16332', '16593']	MNXM186	['CHEBI:27354', 'chebi:27354', 'hmdb:HMDB0000868', 'metacyc.compound:XYLULOSE-5-PHOSPHATE', 'metacycM:XYLULOSE-5-PHOSPHATE', 'seed.compound:cpd00198', 'seedM:cpd00198']	xylulose 5-phosphate	['XYLULOSE-5-PHOSPHATE', '57737', '16332', 'C00231', 'C03291', '27354', '16593']	['27354', 'XYLULOSE-5-PHOSPHATE']
adenylsuccinic acid	['C03794', '15919']	[]	['C03794', '15919']	MNXM1103623	['hmdb:HMDB0000536']	adenylsuccinic acid	['15919', 'C03794']	[]
adenylsuccinic acid	['C03794', '15919']	[]	['C03794', '15919']	MNXM38950	['hmdb:HMDB0013204']	adenylsuccinic acid	['15919', 'C03794']	[]
farnesyl pyrophosphate	['17407', 'C00448']	['17407', 'C00448']	['17407', 'C00448']	MNXM1103344	['CHEBI:17407', 'chebi:17407', 'hmdb:HMDB0000961', 'kegg.compound:C00448', 'keggC:C00448', 'lipidmaps:LMPR0103010002', 'lipidmapsM:LMPR0103010002', 'metacyc.compound:FARNESYL-PP', 'metacycM:FARNESYL-PP', 'reactome:R-ALL-191385', 'reactome:R-ALL-2162257', 'reactome:R-ALL-4419987', 'reactomeM:R-ALL-191385', 'reactomeM:R-ALL-2162257', 'reactomeM:R-ALL-4419987', 'seed.compound:cpd00350', 'seedM:cpd00350']	farnesyl pyrophosphate	['C00448', '17407']	['C00448', 'FARNESYL-PP', '17407']
farnesyl pyrophosphate	['17407', 'C00448']	['17407', 'C00448']	['17407', 'C00448']	MNXM1103345	['sabiork.compound:5095', 'sabiorkM:5095']	farnesyl pyrophosphate	['C00448', '17407']	[]
fructose 1,6-bisphosphate	['28013', '24105', 'C00354', 'C05378', '37736', '16905', '32966', '|FRUCTOSE-16-DIPHOSPHATE|']	['FRUCTOSE-16-DIPHOSPHATE', '16905', 'C00354', '24105']	['28013', '24105', 'C00354', 'C05378', 'FRUCTOSE-16-DIPHOSPHATE', '37736', '16905', '32966', '|FRUCTOSE-16-DIPHOSPHATE|']	MNXM735815	['metacyc.compound:FRUCTOSE-16-DIPHOSPHATE', 'metacycM:FRUCTOSE-16-DIPHOSPHATE', 'seed.compound:cpd19036', 'seedM:cpd19036']	fructose 1,6-bisphosphate	['24105', 'C00354', '37736', '28013', '32966', 'FRUCTOSE-16-DIPHOSPHATE', '16905', 'C05378']	['FRUCTOSE-16-DIPHOSPHATE']
fructose 1,6-bisphosphate	['28013', '24105', 'C00354', 'C05378', '37736', '16905', '32966', '|FRUCTOSE-16-DIPHOSPHATE|']	['FRUCTOSE-16-DIPHOSPHATE', '16905', 'C00354', '24105']	['28013', '24105', 'C00354', 'C05378', 'FRUCTOSE-16-DIPHOSPHATE', '37736', '16905', '32966', '|FRUCTOSE-16-DIPHOSPHATE|']	MNXM735816	['hmdb:HMDB0001058', 'hmdb:HMDB0060444', 'sabiork.compound:20960', 'sabiorkM:20960']	fructose 1,6-bisphosphate	['24105', 'C00354', '37736', '28013', '32966', 'FRUCTOSE-16-DIPHOSPHATE', '16905', 'C05378']	[]
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	['C15808', '64925', '|CPD-4577|', '50591']	['C15808', '50591']	['C15808', '64925', '|CPD-4577|', '50591']	MNXM732410	['CHEBI:50591', 'chebi:50591', 'hmdb:HMDB0001181', 'hmdb:HMDB0062383', 'kegg.compound:C15808', 'keggC:C15808', 'metacyc.compound:CPD-4577', 'metacycM:CPD-4577', 'seed.compound:cpd14544', 'seedM:cpd14544']	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	['64925', '50591', 'CPD-4577', 'C15808']	['50591', 'C15808', 'CPD-4577']
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	['C15808', '64925', '|CPD-4577|', '50591']	['C15808', '50591']	['C15808', '64925', '|CPD-4577|', '50591']	MNXM732411	['hmdb:HMDB0006927']	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	['64925', '50591', 'CPD-4577', 'C15808']	[]
dihydroxyacetone phosphate	['16108', 'C00111']	['16108', 'C00111', 'DIHYDROXY-ACETONE-PHOSPHATE', '57642']	['DIHYDROXY-ACETONE-PHOSPHATE', '16108', '57642', 'C00111']	MNXM77	['CHEBI:16108', 'CHEBI:57642', 'bigg.metabolite:dhap', 'biggM:M_dhap', 'biggM:dhap', 'chebi:14341', 'chebi:14342', 'chebi:16108', 'chebi:24355', 'chebi:39571', 'chebi:5454', 'chebi:57642', 'hmdb:HMDB0001473', 'hmdb:HMDB0011735', 'hmdb:HMDB01473', 'hmdb:HMDB11735', 'kegg.compound:C00111', 'keggC:C00111', 'keggC:M_C00111', 'metacyc.compound:DIHYDROXY-ACETONE-PHOSPHATE', 'metacycM:DIHYDROXY-ACETONE-PHOSPHATE', 'reactome:R-ALL-188451', 'reactome:R-ALL-390404', 'reactome:R-ALL-75970', 'reactomeM:R-ALL-188451', 'reactomeM:R-ALL-390404', 'reactomeM:R-ALL-75970', 'sabiork.compound:28', 'sabiorkM:28', 'seed.compound:cpd00095', 'seedM:M_cpd00095', 'seedM:cpd00095']	dihydroxyacetone phosphate	['C00111', 'DIHYDROXY-ACETONE-PHOSPHATE', '16108', '57642']	['DIHYDROXY-ACETONE-PHOSPHATE', 'C00111', '39571', '57642', '16108', '14342', '14341', '24355', '5454']
palmitic acid	['15756', 'C00249']	['C00249', 'PALMITATE', '7896', '15756']	['15756', 'C00249', 'PALMITATE', '7896']	MNXM108	['CHEBI:15756', 'chebi:15756', 'hmdb:HMDB0000220', 'kegg.compound:C00249', 'keggC:C00249', 'lipidmaps:LMFA01010001', 'lipidmapsM:LMFA01010001', 'metacyc.compound:PALMITATE', 'metacycM:PALMITATE', 'reactome:R-ALL-2453691', 'reactome:R-ALL-3632881', 'reactome:R-ALL-390435', 'reactome:R-ALL-400150', 'reactome:R-ALL-400452', 'reactome:R-ALL-426576', 'reactome:R-ALL-76168', 'reactomeM:R-ALL-2453691', 'reactomeM:R-ALL-3632881', 'reactomeM:R-ALL-390435', 'reactomeM:R-ALL-400150', 'reactomeM:R-ALL-400452', 'reactomeM:R-ALL-426576', 'reactomeM:R-ALL-76168', 'sabiork.compound:1990', 'sabiorkM:1990', 'seed.compound:cpd00214', 'seedM:cpd00214']	palmitic acid	['7896', 'PALMITATE', 'C00249', '15756']	['PALMITATE', 'C00249', '15756']
but-2-enoyl-[acyl-carrier protein]	['17017', 'C04246']	['C04246', '17017']	['17017', 'C04246']	MNXM1092589	['bigg.metabolite:b2eacp', 'biggM:M_b2eacp', 'biggM:b2eacp']	but-2-enoyl-[acyl-carrier protein]	['C04246', '17017']	[]
but-2-enoyl-[acyl-carrier protein]	['17017', 'C04246']	['C04246', '17017']	['17017', 'C04246']	MNXM728705	['bigg.metabolite:but2eACP', 'biggM:M_but2eACP', 'biggM:but2eACP']	but-2-enoyl-[acyl-carrier protein]	['C04246', '17017']	[]
but-2-enoyl-[acyl-carrier protein]	['17017', 'C04246']	['C04246', '17017']	['17017', 'C04246']	MNXM744119	['sabiork.compound:7177', 'sabiorkM:7177']	but-2-enoyl-[acyl-carrier protein]	['C04246', '17017']	[]
d-sedoheptulose 7-phosphate	['15721', 'C05382']	['D-SEDOHEPTULOSE-7-P', '15721', 'C05382', 'C00281', '57483']	['15721', 'C00281', '57483', 'C05382', 'D-SEDOHEPTULOSE-7-P']	MNXM733314	['CHEBI:15721', 'CHEBI:57483', 'bigg.metabolite:s7p', 'biggM:M_s7p', 'biggM:s7p', 'chebi:15073', 'chebi:15074', 'chebi:15721', 'chebi:26621', 'chebi:4244', 'chebi:57483', 'chebi:9083', 'kegg.compound:C05382', 'keggC:C05382', 'keggC:M_C05382', 'metacyc.compound:D-SEDOHEPTULOSE-7-P', 'metacycM:D-SEDOHEPTULOSE-7-P', 'reactome:R-ALL-29882', 'reactomeM:R-ALL-29882', 'sabiork.compound:1325', 'sabiork.compound:1618', 'sabiorkM:1325', 'sabiorkM:1618', 'seed.compound:cpd00238', 'seedM:M_cpd00238', 'seedM:cpd00238']	d-sedoheptulose 7-phosphate	['D-SEDOHEPTULOSE-7-P', '57483', '15721', 'C00281', 'C05382']	['9083', 'D-SEDOHEPTULOSE-7-P', '15073', '57483', '15721', '4244', '26621', '15074', 'C05382']
d-sedoheptulose 7-phosphate	['15721', 'C05382']	['D-SEDOHEPTULOSE-7-P', '15721', 'C05382', 'C00281', '57483']	['15721', 'C00281', '57483', 'C05382', 'D-SEDOHEPTULOSE-7-P']	MNXM733315	['hmdb:HMDB0001068', 'hmdb:HMDB01068']	d-sedoheptulose 7-phosphate	['D-SEDOHEPTULOSE-7-P', '57483', '15721', 'C00281', 'C05382']	[]
isopentenyl pyrophosphate	['16584']	['C00129', '16584', '128769']	['16584', 'C00129', '128769']	MNXM527455	['seed.compound:cpd29646', 'seedM:cpd29646']	isopentenyl pyrophosphate	['128769', 'C00129', '16584']	[]
isopentenyl pyrophosphate	['16584']	['C00129', '16584', '128769']	['16584', 'C00129', '128769']	MNXM83	['CHEBI:128769', 'CHEBI:16584', 'chebi:128769', 'chebi:16584', 'hmdb:HMDB0001347', 'lipidmaps:LMPR01010008', 'lipidmapsM:LMPR01010008', 'metacyc.compound:DELTA3-ISOPENTENYL-PP', 'metacycM:DELTA3-ISOPENTENYL-PP', 'reactome:R-ALL-191362', 'reactome:R-ALL-2162256', 'reactomeM:R-ALL-191362', 'reactomeM:R-ALL-2162256', 'seed.compound:cpd00113', 'seedM:cpd00113']	isopentenyl pyrophosphate	['128769', 'C00129', '16584']	['128769', '16584', 'DELTA3-ISOPENTENYL-PP']
fumaric acid	['C00122', '18012', '29806']	['24123', 'C00122', '18012', '29806']	['24123', 'C00122', '18012', '29806']	MNXM1239	['hmdb:HMDB0000176']	fumaric acid	['18012', 'C00122', '29806', '24123']	[]
fumaric acid	['C00122', '18012', '29806']	['24123', 'C00122', '18012', '29806']	['24123', 'C00122', '18012', '29806']	MNXM737340	['CHEBI:18012', 'chebi:18012', 'hmdb:HMDB0000134', 'kegg.compound:C00122', 'keggC:C00122', 'metacyc.compound:FUM', 'metacycM:FUM', 'reactome:R-ALL-113588', 'reactomeM:R-ALL-113588', 'sabiork.compound:1910', 'sabiorkM:1910', 'seed.compound:cpd00106', 'seedM:cpd00106']	fumaric acid	['18012', 'C00122', '29806', '24123']	['18012', 'C00122', 'FUM']
flavin adenine dinucleotide reduced	['17877']	['17877', 'C01352', '58307', 'C04570', '|ETF-Reduced|', '|FADH2|']	['C01352', '|ETF-Reduced|', '|FADH2|', '58307', 'C04570', '17877']	MNXM1102417	['CHEBI:17499', 'bigg.metabolite:fadh2', 'biggM:M_fadh2', 'biggM:fadh2', 'chebi:13233', 'chebi:15018', 'chebi:17499', 'chebi:8785']	flavin adenine dinucleotide reduced	['58307', '17877', 'C04570', 'C01352', 'ETF-Reduced', 'FADH2']	['15018', '8785', '13233', '17499']
2-phospho-d-glyceric acid	['17835']	['C00631', '2-PG', '17835']	['17835', '2-PG', 'C00631']	MNXM275	['CHEBI:17835', 'chebi:17835', 'hmdb:HMDB0003391', 'metacyc.compound:2-PG', 'metacycM:2-PG', 'seed.compound:cpd00482', 'seedM:cpd00482']	2-phospho-d-glyceric acid	['17835', 'C00631', '2-PG']	['17835', '2-PG']
flavin adenine dinucleotide oxidized	['C00016', '16238', '24040']	['C00016', '73627', '57692', '16238', 'C04253', '|ETF-Oxidized|', '|FAD|']	['C04253', '16238', '24040', '|FAD|', '|ETF-Oxidized|', '57692', '73627', 'C00016']	MNXM1103905	['bigg.metabolite:fad', 'biggM:M_fad', 'biggM:fad']	flavin adenine dinucleotide oxidized	['C04253', '16238', 'FAD', 'C00016', '57692', '24040', '73627', 'ETF-Oxidized']	[]
phosphoribosyl pyrophosphate	['C00119', '17111']	['17111', 'C00119', 'PRPP']	['C00119', 'PRPP', '17111']	MNXM1104454	['CHEBI:17111', 'chebi:17111', 'hmdb:HMDB0000280', 'reactome:R-ALL-73566', 'reactomeM:R-ALL-73566']	phosphoribosyl pyrophosphate	['17111', 'C00119', 'PRPP']	['17111']
citrulline	['16349', '57743', 'C00327', '18211', '|L-CITRULLINE|']	['18211', '16349', 'C00327']	['16349', '57743', 'C00327', '18211', '|L-CITRULLINE|']	MNXM732470	['CHEBI:18211', 'CHEBI:66922', 'chebi:14002', 'chebi:18211', 'chebi:3730', 'chebi:66922']	citrulline	['57743', '18211', 'C00327', '16349', 'L-CITRULLINE']	['14002', '18211', '3730', '66922']
cytidine triphosphate	['C00063', '17677']	['17677', 'C00063']	['C00063', '17677']	MNXM1103719	['CHEBI:17677', 'chebi:17677', 'hmdb:HMDB0000082', 'kegg.compound:C00063', 'keggC:C00063', 'reactome:R-ALL-110577', 'reactome:R-ALL-110614', 'reactome:R-ALL-29470', 'reactomeM:R-ALL-110577', 'reactomeM:R-ALL-110614', 'reactomeM:R-ALL-29470', 'sabiork.compound:1286', 'sabiorkM:1286', 'seed.compound:cpd00052', 'seedM:cpd00052']	cytidine triphosphate	['17677', 'C00063']	['17677', 'C00063']
(r)-3-hydroxypalmitoyl-[acyl-carrier protein]	['C04633', '18017']	['C04633']	['C04633', '18017']	MNXM733097	['kegg.compound:C04633', 'keggC:C04633', 'seed.compound:cpd11481', 'seedM:cpd11481']	(r)-3-hydroxypalmitoyl-[acyl-carrier protein]	['18017', 'C04633']	['C04633']
succinic acid	['C00042', '15741']	['15741', 'C00042', '30031', '26806']	['30031', 'C00042', '26806', '15741']	MNXM25	['CHEBI:15741', 'chebi:15741', 'hmdb:HMDB0000254', 'kegg.compound:C00042', 'keggC:C00042', 'lipidmaps:LMFA01170043', 'lipidmapsM:LMFA01170043', 'metacyc.compound:SUC', 'metacycM:SUC', 'sabiork.compound:1924', 'sabiorkM:1924', 'seed.compound:cpd00036', 'seedM:cpd00036']	succinic acid	['15741', 'C00042', '30031', '26806']	['15741', 'C00042', 'SUC']
